

D:\NogaKS21\Documents\Avisoft Bioacoustics\usv_lmt_035\
10/04/24	09:49:52	Monitoring_started
10/04/24	09:49:54	2024-10-04_09-49-53_0000001.wav	2.1 s
10/04/24	09:49:58	2024-10-04_09-49-58_0000002.wav	2.1 s
10/04/24	09:50:01	2024-10-04_09-50-01_0000003.wav	2.1 s
10/04/24	09:50:07	2024-10-04_09-50-07_0000004.wav	4.2 s
10/04/24	09:50:12	2024-10-04_09-50-12_0000005.wav	2.4 s
10/04/24	09:50:18	2024-10-04_09-50-18_0000006.wav	2.1 s
10/04/24	09:50:21	2024-10-04_09-50-21_0000007.wav	2.1 s
10/04/24	09:50:26	2024-10-04_09-50-26_0000008.wav	2.6 s
10/04/24	09:50:28	2024-10-04_09-50-28_0000009.wav	3.3 s
10/04/24	09:50:39	2024-10-04_09-50-39_0000010.wav	4.7 s
10/04/24	09:50:46	2024-10-04_09-50-46_0000011.wav	2.1 s
10/04/24	09:50:58	2024-10-04_09-50-58_0000012.wav	3.2 s
10/04/24	09:51:00	2024-10-04_09-51-00_0000013.wav	2.2 s
10/04/24	09:51:09	2024-10-04_09-51-09_0000014.wav	2.1 s
10/04/24	09:51:11	2024-10-04_09-51-11_0000015.wav	3.2 s
10/04/24	09:51:17	2024-10-04_09-51-17_0000016.wav	2.6 s
10/04/24	09:51:21	2024-10-04_09-51-21_0000017.wav	2.1 s
10/04/24	09:51:23	2024-10-04_09-51-23_0000018.wav	2.1 s
10/04/24	09:51:27	2024-10-04_09-51-27_0000019.wav	2.6 s
10/04/24	09:51:28	2024-10-04_09-51-28_0000020.wav	3.7 s
10/04/24	09:51:36	2024-10-04_09-51-36_0000021.wav	2.1 s
10/04/24	09:52:27	2024-10-04_09-52-27_0000022.wav	2.7 s
10/04/24	09:52:49	2024-10-04_09-52-49_0000023.wav	2.1 s
10/04/24	09:52:51	2024-10-04_09-52-51_0000024.wav	2.1 s
10/04/24	09:52:55	2024-10-04_09-52-55_0000025.wav	2.5 s
10/04/24	09:53:04	2024-10-04_09-53-04_0000026.wav	2.1 s
10/04/24	09:53:06	2024-10-04_09-53-06_0000027.wav	2.1 s
10/04/24	09:53:10	2024-10-04_09-53-10_0000028.wav	2.1 s
10/04/24	09:53:13	2024-10-04_09-53-13_0000029.wav	2.9 s
10/04/24	09:53:15	2024-10-04_09-53-15_0000030.wav	2.5 s
10/04/24	09:53:19	2024-10-04_09-53-19_0000031.wav	2.1 s
10/04/24	09:53:27	2024-10-04_09-53-27_0000032.wav	2.1 s
10/04/24	09:53:32	2024-10-04_09-53-32_0000033.wav	2.2 s
10/04/24	09:53:36	2024-10-04_09-53-36_0000034.wav	2.1 s
10/04/24	09:53:43	2024-10-04_09-53-43_0000035.wav	2.1 s
10/04/24	09:53:48	2024-10-04_09-53-48_0000036.wav	2.1 s
10/04/24	09:53:56	2024-10-04_09-53-56_0000037.wav	2.1 s
10/04/24	09:53:58	2024-10-04_09-53-58_0000038.wav	3.2 s
10/04/24	09:54:13	2024-10-04_09-54-13_0000039.wav	2.5 s
10/04/24	09:54:22	2024-10-04_09-54-22_0000040.wav	2.1 s
10/04/24	09:54:45	2024-10-04_09-54-45_0000041.wav	2.1 s
10/04/24	09:54:50	2024-10-04_09-54-50_0000042.wav	2.1 s
10/04/24	09:54:56	2024-10-04_09-54-56_0000043.wav	2.6 s
10/04/24	09:55:09	2024-10-04_09-55-09_0000044.wav	2.1 s
10/04/24	09:55:11	2024-10-04_09-55-11_0000045.wav	2.3 s
10/04/24	09:55:17	2024-10-04_09-55-17_0000046.wav	3.0 s
10/04/24	09:55:19	2024-10-04_09-55-19_0000047.wav	2.1 s
10/04/24	09:55:22	2024-10-04_09-55-22_0000048.wav	2.1 s
10/04/24	09:55:25	2024-10-04_09-55-25_0000049.wav	2.1 s
10/04/24	09:55:32	2024-10-04_09-55-32_0000050.wav	2.1 s
10/04/24	09:55:45	2024-10-04_09-55-45_0000051.wav	3.1 s
10/04/24	09:55:54	2024-10-04_09-55-54_0000052.wav	2.1 s
