wav_file,detection_index,start_time_s,end_time_s,duration_ms,max_prob,mean_prob,user_action,timestamp
131204_1400_m3fm3_chunk_170,0,0.022187,0.094720,72.53,0.999603,0.933903,,2026-05-11T13:12:48.491559
131204_1400_m3fm3_chunk_170,1,0.103253,0.167253,64.00,0.990831,0.892146,,2026-05-11T13:12:48.769160
131204_1400_m3fm3_chunk_170,2,0.205653,0.333653,128.00,0.998996,0.955241,,2026-05-11T13:12:49.101791
131204_1400_m3fm3_chunk_170,3,0.354987,0.431787,76.80,0.987497,0.889547,,2026-05-11T13:12:49.433564
131204_1400_m3fm3_chunk_170,4,0.461653,0.538453,76.80,0.997842,0.942946,,2026-05-11T13:12:49.837721
131204_1400_m3fm3_chunk_170,5,0.572587,0.657920,85.33,0.999463,0.968817,,2026-05-11T13:12:50.119548
131204_1400_m3fm3_chunk_170,6,0.687787,0.751787,64.00,0.999197,0.946166,,2026-05-11T13:12:50.397797
131204_1400_m3fm3_chunk_170,7,0.781653,0.849920,68.27,0.991818,0.887341,,2026-05-11T13:12:50.625747
131204_1400_m3fm3_chunk_170,8,1.268053,1.323520,55.47,0.986281,0.907947,,2026-05-11T13:12:50.895694
131204_1400_m3fm3_chunk_170,9,1.353387,1.400320,46.93,0.975026,0.922984,,2026-05-11T13:12:51.171080
131204_1400_m3fm3_chunk_170,10,1.532587,1.600853,68.27,0.997266,0.907328,,2026-05-11T13:12:51.439705
131204_1400_m3fm3_chunk_170,11,1.639253,1.694720,55.47,0.986344,0.922572,,2026-05-11T13:12:51.684791
131204_1400_m3fm3_chunk_170,12,1.741653,1.822720,81.07,0.999429,0.948750,,2026-05-11T13:12:51.924318
131204_1400_m3fm3_chunk_170,13,1.865387,1.937920,72.53,0.999632,0.948252,,2026-05-11T13:12:52.164306
