wav_file,detection_index,start_time_s,end_time_s,duration_ms,max_prob,mean_prob,timestamp
2024-09-30_11-18-52_0000005,0,1.024853,1.105920,81.07,0.070713,0.051859,2026-02-07T13:19:06.143622
2024-09-30_11-18-52_0000005,1,1.194146,1.233920,39.77,0.050681,0.038453,2026-02-07T13:19:06.385117
2024-09-30_11-18-52_0000005,2,1.322136,1.361920,39.78,0.050681,0.038453,2026-02-07T13:19:06.606293
2024-09-30_11-18-52_0000005,3,2.112853,2.180948,68.10,0.149210,0.079830,2026-02-07T13:19:06.815611
2024-09-30_11-18-52_0000005,4,2.253653,2.283520,29.87,0.053398,0.045897,2026-02-07T13:19:07.017084
2024-09-30_11-18-52_0000005,5,2.430102,2.499643,69.54,0.000000,0.000000,2026-02-07T13:19:07.310263
2024-09-30_11-18-52_0000005,6,2.761387,2.838187,76.80,0.160224,0.085990,2026-02-07T13:19:07.508286
2024-09-30_11-18-52_0000005,7,2.923520,3.081387,157.87,0.254568,0.131429,2026-02-07T13:19:07.762221
2024-09-30_11-18-52_0000005,8,3.098453,3.188053,89.60,0.362262,0.173699,2026-02-07T13:19:07.968788
2024-09-30_11-18-52_0000005,9,3.252053,3.324587,72.53,0.133058,0.084802,2026-02-07T13:19:08.177629
2024-09-30_11-18-52_0000005,10,3.371520,3.425437,53.92,0.082044,0.054621,2026-02-07T13:19:08.396790
2024-09-30_11-18-52_0000005,11,3.482606,3.519723,37.12,0.000000,0.000000,2026-02-07T13:19:08.602872
2024-09-30_11-18-52_0000005,12,3.582012,3.611449,29.44,0.000000,0.000000,2026-02-07T13:19:08.809066
2024-09-30_11-18-52_0000005,13,3.689096,3.738586,49.49,0.000000,0.000000,2026-02-07T13:19:09.014913
2024-09-30_11-18-52_0000005,14,3.783809,3.852924,69.11,0.000000,0.000000,2026-02-07T13:19:09.220044
2024-09-30_11-18-52_0000005,15,3.886628,3.992006,105.38,0.094185,0.068727,2026-02-07T13:19:09.443409
2024-09-30_11-18-52_0000005,16,4.027843,4.063254,35.41,0.000000,0.000000,2026-02-07T13:19:09.729962
2024-09-30_11-18-52_0000005,17,4.096958,4.209589,112.63,0.000000,0.000000,2026-02-07T13:19:09.935706
2024-09-30_11-18-52_0000005,18,4.122982,4.191244,68.26,0.000000,0.000000,2026-02-07T13:19:10.158580
2024-09-30_11-18-52_0000005,19,4.253532,4.322987,69.45,0.064413,0.049248,2026-02-07T13:19:10.348807
2024-09-30_11-18-52_0000005,20,4.399787,4.463009,63.22,0.042754,0.037548,2026-02-07T13:19:10.571770
2024-09-30_11-18-52_0000005,21,4.562841,4.604587,41.75,0.046271,0.040676,2026-02-07T13:19:10.777920
2024-09-30_11-18-52_0000005,22,4.694187,4.728320,34.13,0.068333,0.054138,2026-02-07T13:19:10.985616
