wav_file,detection_index,start_time_s,end_time_s,duration_ms,max_prob,mean_prob,user_action,timestamp
2024-10-01_01-03-15_0004134,0,0.982187,1.088853,106.67,0.747575,0.385470,,2026-03-31T13:04:14.065768
2024-10-01_01-03-15_0004134,1,1.122987,1.233920,110.93,0.735159,0.316740,,2026-03-31T13:04:14.301078
2024-10-01_01-03-15_0004134,2,1.289387,1.340587,51.20,0.430274,0.216834,,2026-03-31T13:04:14.544308
2024-10-01_01-03-15_0004134,3,1.353387,1.391787,38.40,0.103845,0.069446,,2026-03-31T13:04:14.865832
2024-10-01_01-03-15_0004134,4,1.489920,1.524053,34.13,0.086343,0.059067,,2026-03-31T13:04:15.082789
2024-10-01_01-03-15_0004134,5,1.630720,1.686187,55.47,0.232083,0.134613,,2026-03-31T13:04:15.293472
2024-10-01_01-03-15_0004134,6,1.767253,1.805653,38.40,0.153780,0.073412,,2026-03-31T13:04:15.509852
2024-10-01_01-03-15_0004134,7,1.818453,1.950720,132.27,0.597361,0.246505,,2026-03-31T13:04:15.742377
2024-10-01_01-03-15_0004134,8,1.975710,2.031787,56.08,0.092437,0.060193,,2026-03-31T13:04:15.959744
2024-10-01_01-03-15_0004134,9,2.061653,2.121387,59.73,0.809613,0.523526,,2026-03-31T13:04:16.170481
2024-10-01_01-03-15_0004134,10,2.919253,2.996053,76.80,0.545337,0.269790,,2026-03-31T13:04:16.388951
