wav_file,detection_index,start_time_s,end_time_s,duration_ms,max_prob,mean_prob,timestamp
2024-09-30_11-18-17_0000001,1,1.058987,1.122987,64.00,0.103250,0.069200,2026-02-06T12:58:07.360472
2024-09-30_11-18-17_0000001,2,1.195520,1.250987,55.47,0.103442,0.071260,2026-02-06T12:58:07.704956
2024-09-30_11-18-17_0000001,3,1.323520,1.378987,55.47,0.104012,0.071605,2026-02-06T12:58:08.037957
2024-09-30_11-18-17_0000001,4,1.451520,1.506987,55.47,0.103718,0.071505,2026-02-06T12:58:08.380956
2024-09-30_11-18-17_0000001,0,0.773120,0.815787,42.67,0.074479,0.050733,2026-02-06T12:58:10.631875
2024-09-30_11-18-17_0000001,5,1.579520,1.634987,55.47,0.103132,0.071295,2026-02-06T12:58:10.995376
2024-09-30_11-18-17_0000001,6,1.707520,1.762987,55.47,0.103203,0.071158,2026-02-06T12:58:11.420876
2024-09-30_11-18-17_0000001,7,1.835520,1.890987,55.47,0.103718,0.071693,2026-02-06T12:58:11.778972
2024-09-30_11-18-17_0000001,8,2.053120,2.082987,29.87,0.103520,0.063038,2026-02-06T12:58:12.128473
2024-09-30_11-18-17_0000001,9,2.757120,2.786987,29.87,0.048341,0.041912,2026-02-06T12:58:12.477471
2024-09-30_11-18-17_0000001,10,2.991787,3.004587,12.80,0.046690,0.041280,2026-02-06T12:58:12.812473
2024-09-30_11-18-17_0000001,11,3.798187,3.815253,17.07,0.053776,0.048528,2026-02-06T12:58:13.143473
2024-09-30_11-18-17_0000001,12,4.054187,4.071253,17.07,0.048825,0.041315,2026-02-06T12:58:13.486473
2024-09-30_11-18-17_0000001,13,4.540587,4.578987,38.40,0.063196,0.051704,2026-02-06T12:58:13.841473
2024-09-30_11-18-17_0000001,14,4.664320,4.706987,42.67,0.092315,0.061903,2026-02-06T12:58:14.192474
2024-09-30_11-18-17_0000001,15,4.770987,4.817920,46.93,0.093916,0.063217,2026-02-06T12:58:14.546972
2024-09-30_11-18-17_0000001,16,4.997120,5.014187,17.07,0.052053,0.042718,2026-02-06T12:58:14.887473
2024-09-30_11-18-17_0000001,17,5.125120,5.150720,25.60,0.085713,0.064490,2026-02-06T12:58:15.325798
2024-09-30_11-18-17_0000001,18,5.253120,5.265920,12.80,0.040711,0.037235,2026-02-06T12:58:15.667798
2024-09-30_11-18-17_0000001,19,5.329920,5.359787,29.87,0.065327,0.049359,2026-02-06T12:58:16.015298
2024-09-30_11-18-17_0000001,20,5.654187,5.692587,38.40,0.068715,0.056450,2026-02-06T12:58:16.370424
2024-09-30_11-18-17_0000001,21,6.673920,6.729387,55.47,0.126276,0.088303,2026-02-06T12:58:16.708924
2024-09-30_11-18-17_0000001,22,6.861653,6.934187,72.53,0.158225,0.101295,2026-02-06T12:58:17.053925
