wav_file,detection_index,start_time_s,end_time_s,duration_ms,max_prob,mean_prob,timestamp
2024-09-30_11-18-27_0000003,0,1.809920,1.846918,37.00,0.064331,0.052230,2026-02-06T18:17:30.321977
2024-09-30_11-18-27_0000003,1,2.769920,2.835866,65.95,0.086006,0.063495,2026-02-06T18:56:34.945060
2024-09-30_11-18-27_0000003,2,2.868053,2.880853,12.80,0.055834,0.048261,2026-02-06T18:56:35.301060
2024-09-30_11-18-27_0000003,0,1.700581,1.741965,41.38,0.000000,0.000000,added_manually,2026-02-15T23:39:59.795426
2024-09-30_11-18-27_0000003,2,1.909634,1.952724,43.09,0.000000,0.000000,added_manually,2026-02-15T23:40:00.196927
2024-09-30_11-18-27_0000003,3,2.013307,2.061944,48.64,0.000000,0.000000,added_manually,2026-02-15T23:40:00.601427
2024-09-30_11-18-27_0000003,4,2.127220,2.156658,29.44,0.000000,0.000000,added_manually,2026-02-15T23:40:00.978877
2024-09-30_11-18-27_0000003,5,2.297875,2.331153,33.28,0.000000,0.000000,added_manually,2026-02-15T23:40:01.344402
2024-09-30_11-18-27_0000003,6,2.502661,2.543192,40.53,0.000000,0.000000,added_manually,2026-02-15T23:40:01.807377
2024-09-30_11-18-27_0000003,7,2.765044,2.804053,39.01,0.086006,0.063495,,2026-02-15T23:40:02.183455
2024-09-30_11-18-27_0000003,8,2.868053,2.895595,27.54,0.055834,0.048261,,2026-02-15T23:40:02.551455
2024-09-30_11-18-27_0000003,9,3.431253,3.465387,34.13,0.075395,0.055111,,2026-02-15T23:40:02.927954
2024-09-30_11-18-27_0000003,10,3.582910,3.623867,40.96,0.000000,0.000000,added_manually,2026-02-15T23:40:03.452455
2024-09-30_11-18-27_0000003,11,3.755699,3.791110,35.41,0.000000,0.000000,added_manually,2026-02-15T23:40:03.854955
2024-09-30_11-18-27_0000003,12,3.844439,3.880277,35.84,0.000000,0.000000,added_manually,2026-02-15T23:40:04.317954
2024-09-30_11-18-27_0000003,13,3.951526,4.030027,78.50,0.050379,0.042572,,2026-02-15T23:40:04.971954
2024-09-30_11-18-27_0000003,14,4.085064,4.148053,62.99,0.089602,0.060289,,2026-02-15T23:40:05.666957
2024-09-30_11-18-27_0000003,15,4.212202,4.258705,46.50,0.000000,0.000000,added_manually,2026-02-15T23:40:06.614454
2024-09-30_11-18-27_0000003,16,4.315875,4.352566,36.69,0.000000,0.000000,added_manually,2026-02-15T23:40:07.237955
2024-09-30_11-18-27_0000003,17,4.432774,4.466052,33.28,0.000000,0.000000,added_manually,2026-02-15T23:40:08.031455
2024-09-30_11-18-27_0000003,18,5.077425,5.126488,49.06,0.000000,0.000000,added_manually,2026-02-15T23:40:08.783956
2024-09-30_11-18-27_0000003,19,5.308587,5.359787,51.20,0.127137,0.076309,,2026-02-15T23:40:09.592954
2024-09-30_11-18-27_0000003,20,5.423428,5.458413,34.98,0.045260,0.043511,,2026-02-15T23:40:10.165956
2024-09-30_11-18-27_0000003,21,6.171752,6.194791,23.04,0.000000,0.000000,added_manually,2026-02-15T23:40:10.963457
