wav_file,detection_index,start_time_s,end_time_s,duration_ms,max_prob,mean_prob,user_action,timestamp
2024-09-30_22-20-22_0003405,0,0.984235,1.069987,85.75,0.109379,0.070782,,2026-02-15T22:33:27.646009
2024-09-30_22-20-22_0003405,1,1.129289,1.196270,66.98,0.075941,0.050701,,2026-02-15T22:33:28.033529
2024-09-30_22-20-22_0003405,2,1.263787,1.317859,54.07,0.075941,0.050659,,2026-02-15T22:33:28.406503
2024-09-30_22-20-22_0003405,3,1.370453,1.400320,29.87,0.051946,0.039763,,2026-02-15T22:33:28.785485
2024-09-30_22-20-22_0003405,4,1.460780,1.494057,33.28,0.000000,0.000000,added_manually,2026-02-15T22:33:29.157986
2024-09-30_22-20-22_0003405,5,1.609387,1.643520,34.13,0.051107,0.041316,,2026-02-15T22:33:29.536486
2024-09-30_22-20-22_0003405,6,1.721878,1.753875,32.00,0.000000,0.000000,added_manually,2026-02-15T22:33:29.911985
2024-09-30_22-20-22_0003405,7,2.198187,2.274987,76.80,0.151055,0.090607,,2026-02-15T22:33:30.277179
2024-09-30_22-20-22_0003405,8,2.316173,2.454187,138.01,0.165508,0.113134,,2026-02-15T22:33:30.668180
2024-09-30_22-20-22_0003405,9,2.492587,2.616320,123.73,0.138696,0.087993,,2026-02-15T22:33:31.148717
