wav_file,detection_index,start_time_s,end_time_s,duration_ms,max_prob,mean_prob,user_action,timestamp
2024-09-30_11-21-01_0000034,0,0.103253,0.145920,42.67,0.130494,0.096428,deleted_by_user,2026-02-16T00:03:14.524400
2024-09-30_11-21-01_0000034,0,0.263237,0.363520,100.28,0.089638,0.068481,deleted_by_user,2026-02-16T00:03:16.193631
2024-09-30_11-21-01_0000034,0,0.431787,0.474453,42.67,0.131699,0.095296,deleted_by_user,2026-02-16T00:03:19.046314
2024-09-30_11-21-01_0000034,1,0.670720,0.738987,68.27,0.139591,0.100166,deleted_by_user,2026-02-16T00:03:22.236341
2024-09-30_11-21-01_0000034,10,2.688853,2.761387,72.53,0.069874,0.048757,deleted_by_user,2026-02-16T00:03:35.023950
2024-09-30_11-21-01_0000034,13,3.721387,3.734187,12.80,0.154884,0.100190,deleted_by_user,2026-02-16T00:03:48.310823
2024-09-30_11-21-01_0000034,15,4.314453,4.331520,17.07,0.058396,0.053944,deleted_by_user,2026-02-16T00:03:54.383225
2024-09-30_11-21-01_0000034,15,4.348587,4.399787,51.20,0.074568,0.058110,deleted_by_user,2026-02-16T00:03:56.579264
2024-09-30_11-21-01_0000034,15,4.472320,4.583253,110.93,0.104288,0.066705,deleted_by_user,2026-02-16T00:04:00.968528
2024-09-30_11-21-01_0000034,15,4.689920,4.711253,21.33,0.069687,0.057526,deleted_by_user,2026-02-16T00:04:03.551967
2024-09-30_11-21-01_0000034,17,5.078187,5.146453,68.27,0.075783,0.058038,deleted_by_user,2026-02-16T00:04:07.851235
2024-09-30_11-21-01_0000034,17,5.282987,5.295787,12.80,0.048317,0.044272,deleted_by_user,2026-02-16T00:04:15.947753
2024-09-30_11-21-01_0000034,17,5.368844,5.419520,50.68,0.064989,0.045027,deleted_by_user,2026-02-16T00:04:17.737254
2024-09-30_11-21-01_0000034,18,5.662720,5.675520,12.80,0.059010,0.052426,deleted_by_user,2026-02-16T00:04:23.330253
2024-09-30_11-21-01_0000034,18,5.703757,5.794987,91.23,0.110980,0.070254,deleted_by_user,2026-02-16T00:04:27.793851
2024-09-30_11-21-01_0000034,18,5.824853,5.910187,85.33,0.110025,0.077890,deleted_by_user,2026-02-16T00:04:29.514457
2024-09-30_11-21-01_0000034,18,5.918720,5.944320,25.60,0.070688,0.047465,deleted_by_user,2026-02-16T00:04:32.327510
2024-09-30_11-21-01_0000034,18,5.999787,6.033920,34.13,0.060018,0.052293,deleted_by_user,2026-02-16T00:04:34.218332
2024-09-30_11-21-01_0000034,19,6.408140,6.516053,107.91,0.105910,0.067510,deleted_by_user,2026-02-16T00:04:39.929186
2024-09-30_11-21-01_0000034,19,6.562987,6.618453,55.47,0.048766,0.040284,deleted_by_user,2026-02-16T00:04:42.220595
2024-09-30_11-21-01_0000034,19,6.698256,6.784853,86.60,0.092270,0.070492,deleted_by_user,2026-02-16T00:04:43.868058
