wav_file,detection_index,start_time_s,end_time_s,duration_ms,max_prob,mean_prob,user_action,timestamp
2024-09-30_21-25-09_0003146,40,6.114987,6.153387,38.40,0.066899,0.051745,deleted_by_user,2026-02-08T21:58:19.825141
2024-09-30_21-25-09_0003146,39,5.833387,5.961387,128.00,0.084548,0.051201,deleted_by_user,2026-02-08T21:58:22.220406
2024-09-30_21-25-09_0003146,38,5.611520,5.760043,148.52,0.114125,0.075135,deleted_by_user,2026-02-08T21:58:24.372666
2024-09-30_21-25-09_0003146,37,5.509120,5.552270,43.15,0.096462,0.077067,deleted_by_user,2026-02-08T21:58:27.031237
2024-09-30_21-25-09_0003146,36,5.342720,5.398187,55.47,0.066552,0.046513,deleted_by_user,2026-02-08T21:58:28.326584
2024-09-30_21-25-09_0003146,35,5.265920,5.308233,42.31,0.102411,0.084027,deleted_by_user,2026-02-08T21:58:30.492844
2024-09-30_21-25-09_0003146,34,5.154987,5.180587,25.60,0.050003,0.041528,deleted_by_user,2026-02-08T21:58:33.193055
2024-09-30_21-25-09_0003146,33,5.108053,5.146453,38.40,0.067268,0.053831,deleted_by_user,2026-02-08T21:58:34.932472
2024-09-30_21-25-09_0003146,17,2.769920,2.808320,38.40,0.047721,0.040609,deleted_by_user,2026-02-08T21:58:51.937539
2024-09-30_21-25-09_0003146,17,2.889387,2.919253,29.87,0.068590,0.056382,deleted_by_user,2026-02-08T21:58:56.783592
2024-09-30_21-25-09_0003146,15,2.646187,2.710187,64.00,0.100198,0.062606,deleted_by_user,2026-02-08T21:59:04.137040
2024-09-30_21-25-09_0003146,12,2.036053,2.048853,12.80,0.053975,0.037116,deleted_by_user,2026-02-08T21:59:13.236059
2024-09-30_21-25-09_0003146,20,3.832320,3.849387,17.07,0.085231,0.070309,deleted_by_user,2026-02-08T21:59:25.393112
2024-09-30_21-25-09_0003146,20,3.926187,3.977387,51.20,0.079677,0.058223,deleted_by_user,2026-02-08T21:59:27.520283
2024-09-30_21-25-09_0003146,19,3.746987,3.764053,17.07,0.055867,0.047505,deleted_by_user,2026-02-08T21:59:29.017186
2024-09-30_21-25-09_0003146,20,4.075520,4.088320,12.80,0.061969,0.054925,deleted_by_user,2026-02-08T21:59:33.747624
2024-09-30_21-25-09_0003146,19,4.011520,4.028587,17.07,0.074481,0.052345,deleted_by_user,2026-02-08T21:59:35.953244
2024-09-30_21-25-09_0003146,19,4.173653,4.271787,98.13,0.090372,0.058677,deleted_by_user,2026-02-08T21:59:37.125073
2024-09-30_21-25-09_0003146,19,4.297387,4.369920,72.53,0.098216,0.065604,deleted_by_user,2026-02-08T21:59:38.518273
2024-09-30_21-25-09_0003146,19,4.399787,4.421120,21.33,0.068801,0.051674,deleted_by_user,2026-02-08T21:59:41.411342
2024-09-30_21-25-09_0003146,19,4.446720,4.596053,149.33,0.063435,0.045973,deleted_by_user,2026-02-08T21:59:45.493681
2024-09-30_21-25-09_0003146,19,4.608853,4.642987,34.13,0.063069,0.050934,deleted_by_user,2026-02-08T21:59:48.225188
2024-09-30_21-25-09_0003146,11,1.954987,2.018987,64.00,0.072039,0.053159,deleted_by_user,2026-02-08T21:59:59.274004
2024-09-30_21-25-09_0003146,7,0.854187,0.892587,38.40,0.117682,0.098033,deleted_by_user,2026-02-08T22:00:25.783696
2024-09-30_21-25-09_0003146,6,0.640853,0.670720,29.87,0.071343,0.061779,deleted_by_user,2026-02-08T22:00:30.181046
2024-09-30_21-25-09_0003146,5,0.581120,0.606720,25.60,0.071728,0.051004,deleted_by_user,2026-02-08T22:00:32.460632
2024-09-30_21-25-09_0003146,1,0.265387,0.346453,81.07,0.077047,0.052420,deleted_by_user,2026-02-08T22:00:35.949962
2024-09-30_21-25-09_0003146,1,0.363520,0.418987,55.47,0.083331,0.061808,deleted_by_user,2026-02-08T22:00:37.658955
2024-09-30_21-25-09_0003146,1,0.436053,0.482987,46.93,0.109474,0.080803,deleted_by_user,2026-02-08T22:00:39.151239
2024-09-30_21-25-09_0003146,1,0.504320,0.538453,34.13,0.085124,0.059211,deleted_by_user,2026-02-08T22:00:40.624608
2024-09-30_21-25-09_0003146,16,2.727253,2.752853,25.60,0.121575,0.083480,deleted_by_user,2026-02-08T22:03:06.223226
2024-09-30_21-25-09_0003146,16,2.769920,2.808320,38.40,0.047721,0.040609,deleted_by_user,2026-02-08T22:03:09.499737
2024-09-30_21-25-09_0003146,16,2.889387,2.919253,29.87,0.068590,0.056382,deleted_by_user,2026-02-08T22:03:16.105403
2024-09-30_21-25-09_0003146,10,2.740724,2.791494,50.77,0.000000,0.000000,deleted_by_user,2026-02-08T22:07:42.925962
