candidate_id,source_file,source_path,start_ms,end_ms,duration_ms,max_prob,spectrogram_path
2024-09-30_11-19-34_0000014_00000000,2024-09-30_11-19-34_0000014.wav,C:\Users\light\PycharmProjects\mickey_london_lab\5970 USV\2024-09-30_11-19-34_0000014.wav,0.0,40.0,40.0,1.0,C:\Users\light\PycharmProjects\mickey_london_lab\analysis\5970_USV_detections\spectrograms\2024-09-30_11-19-34_0000014_00000000.png
2024-09-30_11-19-34_0000014_00000040,2024-09-30_11-19-34_0000014.wav,C:\Users\light\PycharmProjects\mickey_london_lab\5970 USV\2024-09-30_11-19-34_0000014.wav,40.0,80.0,40.0,1.0,C:\Users\light\PycharmProjects\mickey_london_lab\analysis\5970_USV_detections\spectrograms\2024-09-30_11-19-34_0000014_00000040.png
2024-09-30_11-19-34_0000014_00000080,2024-09-30_11-19-34_0000014.wav,C:\Users\light\PycharmProjects\mickey_london_lab\5970 USV\2024-09-30_11-19-34_0000014.wav,80.0,120.0,40.0,1.0,C:\Users\light\PycharmProjects\mickey_london_lab\analysis\5970_USV_detections\spectrograms\2024-09-30_11-19-34_0000014_00000080.png
2024-09-30_11-19-34_0000014_00000120,2024-09-30_11-19-34_0000014.wav,C:\Users\light\PycharmProjects\mickey_london_lab\5970 USV\2024-09-30_11-19-34_0000014.wav,120.0,160.0,40.0,1.0,C:\Users\light\PycharmProjects\mickey_london_lab\analysis\5970_USV_detections\spectrograms\2024-09-30_11-19-34_0000014_00000120.png
2024-09-30_11-19-34_0000014_00000160,2024-09-30_11-19-34_0000014.wav,C:\Users\light\PycharmProjects\mickey_london_lab\5970 USV\2024-09-30_11-19-34_0000014.wav,160.0,200.0,40.0,1.0,C:\Users\light\PycharmProjects\mickey_london_lab\analysis\5970_USV_detections\spectrograms\2024-09-30_11-19-34_0000014_00000160.png
2024-09-30_11-19-34_0000014_00000200,2024-09-30_11-19-34_0000014.wav,C:\Users\light\PycharmProjects\mickey_london_lab\5970 USV\2024-09-30_11-19-34_0000014.wav,200.0,240.0,40.0,1.0,C:\Users\light\PycharmProjects\mickey_london_lab\analysis\5970_USV_detections\spectrograms\2024-09-30_11-19-34_0000014_00000200.png
2024-09-30_11-19-34_0000014_00000240,2024-09-30_11-19-34_0000014.wav,C:\Users\light\PycharmProjects\mickey_london_lab\5970 USV\2024-09-30_11-19-34_0000014.wav,240.0,280.0,40.0,0.9999998807907104,C:\Users\light\PycharmProjects\mickey_london_lab\analysis\5970_USV_detections\spectrograms\2024-09-30_11-19-34_0000014_00000240.png
2024-09-30_11-19-34_0000014_00000280,2024-09-30_11-19-34_0000014.wav,C:\Users\light\PycharmProjects\mickey_london_lab\5970 USV\2024-09-30_11-19-34_0000014.wav,280.0,320.0,40.0,1.0,C:\Users\light\PycharmProjects\mickey_london_lab\analysis\5970_USV_detections\spectrograms\2024-09-30_11-19-34_0000014_00000280.png
2024-09-30_11-19-34_0000014_00000320,2024-09-30_11-19-34_0000014.wav,C:\Users\light\PycharmProjects\mickey_london_lab\5970 USV\2024-09-30_11-19-34_0000014.wav,320.0,360.0,40.0,1.0,C:\Users\light\PycharmProjects\mickey_london_lab\analysis\5970_USV_detections\spectrograms\2024-09-30_11-19-34_0000014_00000320.png
2024-09-30_11-19-34_0000014_00000360,2024-09-30_11-19-34_0000014.wav,C:\Users\light\PycharmProjects\mickey_london_lab\5970 USV\2024-09-30_11-19-34_0000014.wav,360.0,400.0,40.0,1.0,C:\Users\light\PycharmProjects\mickey_london_lab\analysis\5970_USV_detections\spectrograms\2024-09-30_11-19-34_0000014_00000360.png
2024-09-30_11-19-34_0000014_00000400,2024-09-30_11-19-34_0000014.wav,C:\Users\light\PycharmProjects\mickey_london_lab\5970 USV\2024-09-30_11-19-34_0000014.wav,400.0,440.0,40.0,1.0,C:\Users\light\PycharmProjects\mickey_london_lab\analysis\5970_USV_detections\spectrograms\2024-09-30_11-19-34_0000014_00000400.png
2024-09-30_11-19-34_0000014_00000440,2024-09-30_11-19-34_0000014.wav,C:\Users\light\PycharmProjects\mickey_london_lab\5970 USV\2024-09-30_11-19-34_0000014.wav,440.0,480.0,40.0,1.0,C:\Users\light\PycharmProjects\mickey_london_lab\analysis\5970_USV_detections\spectrograms\2024-09-30_11-19-34_0000014_00000440.png
2024-09-30_11-19-34_0000014_00000480,2024-09-30_11-19-34_0000014.wav,C:\Users\light\PycharmProjects\mickey_london_lab\5970 USV\2024-09-30_11-19-34_0000014.wav,480.0,520.0,40.0,1.0,C:\Users\light\PycharmProjects\mickey_london_lab\analysis\5970_USV_detections\spectrograms\2024-09-30_11-19-34_0000014_00000480.png
2024-09-30_11-19-34_0000014_00000520,2024-09-30_11-19-34_0000014.wav,C:\Users\light\PycharmProjects\mickey_london_lab\5970 USV\2024-09-30_11-19-34_0000014.wav,520.0,560.0,40.0,1.0,C:\Users\light\PycharmProjects\mickey_london_lab\analysis\5970_USV_detections\spectrograms\2024-09-30_11-19-34_0000014_00000520.png
2024-09-30_11-19-34_0000014_00000560,2024-09-30_11-19-34_0000014.wav,C:\Users\light\PycharmProjects\mickey_london_lab\5970 USV\2024-09-30_11-19-34_0000014.wav,560.0,600.0,40.0,1.0,C:\Users\light\PycharmProjects\mickey_london_lab\analysis\5970_USV_detections\spectrograms\2024-09-30_11-19-34_0000014_00000560.png
2024-09-30_11-19-34_0000014_00000600,2024-09-30_11-19-34_0000014.wav,C:\Users\light\PycharmProjects\mickey_london_lab\5970 USV\2024-09-30_11-19-34_0000014.wav,600.0,640.0,40.0,1.0,C:\Users\light\PycharmProjects\mickey_london_lab\analysis\5970_USV_detections\spectrograms\2024-09-30_11-19-34_0000014_00000600.png
2024-09-30_11-19-34_0000014_00000640,2024-09-30_11-19-34_0000014.wav,C:\Users\light\PycharmProjects\mickey_london_lab\5970 USV\2024-09-30_11-19-34_0000014.wav,640.0,680.0,40.0,1.0,C:\Users\light\PycharmProjects\mickey_london_lab\analysis\5970_USV_detections\spectrograms\2024-09-30_11-19-34_0000014_00000640.png
2024-09-30_11-19-34_0000014_00000680,2024-09-30_11-19-34_0000014.wav,C:\Users\light\PycharmProjects\mickey_london_lab\5970 USV\2024-09-30_11-19-34_0000014.wav,680.0,720.0,40.0,1.0,C:\Users\light\PycharmProjects\mickey_london_lab\analysis\5970_USV_detections\spectrograms\2024-09-30_11-19-34_0000014_00000680.png
2024-09-30_11-19-34_0000014_00000720,2024-09-30_11-19-34_0000014.wav,C:\Users\light\PycharmProjects\mickey_london_lab\5970 USV\2024-09-30_11-19-34_0000014.wav,720.0,760.0,40.0,0.9999998807907104,C:\Users\light\PycharmProjects\mickey_london_lab\analysis\5970_USV_detections\spectrograms\2024-09-30_11-19-34_0000014_00000720.png
2024-09-30_11-19-34_0000014_00000760,2024-09-30_11-19-34_0000014.wav,C:\Users\light\PycharmProjects\mickey_london_lab\5970 USV\2024-09-30_11-19-34_0000014.wav,760.0,800.0,40.0,1.0,C:\Users\light\PycharmProjects\mickey_london_lab\analysis\5970_USV_detections\spectrograms\2024-09-30_11-19-34_0000014_00000760.png
2024-09-30_11-19-34_0000014_00000800,2024-09-30_11-19-34_0000014.wav,C:\Users\light\PycharmProjects\mickey_london_lab\5970 USV\2024-09-30_11-19-34_0000014.wav,800.0,840.0,40.0,1.0,C:\Users\light\PycharmProjects\mickey_london_lab\analysis\5970_USV_detections\spectrograms\2024-09-30_11-19-34_0000014_00000800.png
2024-09-30_11-19-34_0000014_00000840,2024-09-30_11-19-34_0000014.wav,C:\Users\light\PycharmProjects\mickey_london_lab\5970 USV\2024-09-30_11-19-34_0000014.wav,840.0,880.0,40.0,0.9999998807907104,C:\Users\light\PycharmProjects\mickey_london_lab\analysis\5970_USV_detections\spectrograms\2024-09-30_11-19-34_0000014_00000840.png
2024-09-30_11-19-34_0000014_00000880,2024-09-30_11-19-34_0000014.wav,C:\Users\light\PycharmProjects\mickey_london_lab\5970 USV\2024-09-30_11-19-34_0000014.wav,880.0,920.0,40.0,0.9999998807907104,C:\Users\light\PycharmProjects\mickey_london_lab\analysis\5970_USV_detections\spectrograms\2024-09-30_11-19-34_0000014_00000880.png
