max_gap_ms,freq_tolerance_hz,energy_tolerance_db,merge_gap_ms,score,percentage,single_usv_count,multi_syllable_count,details
5.0,1500.0,10.0,3.0,2.0,100.0,1,4,"[{'test_case': 'Single USV with dips', 'expected': 1, 'actual': 1, 'points': 1.0, 'status': 'PERFECT'}, {'test_case': 'Multi-syllable call (446ms)', 'expected': 4, 'actual': 4, 'points': 1.0, 'status': 'PERFECT'}]"
5.0,1500.0,10.0,5.0,2.0,100.0,1,4,"[{'test_case': 'Single USV with dips', 'expected': 1, 'actual': 1, 'points': 1.0, 'status': 'PERFECT'}, {'test_case': 'Multi-syllable call (446ms)', 'expected': 4, 'actual': 4, 'points': 1.0, 'status': 'PERFECT'}]"
5.0,1500.0,10.0,10.0,2.0,100.0,1,4,"[{'test_case': 'Single USV with dips', 'expected': 1, 'actual': 1, 'points': 1.0, 'status': 'PERFECT'}, {'test_case': 'Multi-syllable call (446ms)', 'expected': 4, 'actual': 4, 'points': 1.0, 'status': 'PERFECT'}]"
5.0,1500.0,15.0,3.0,2.0,100.0,1,4,"[{'test_case': 'Single USV with dips', 'expected': 1, 'actual': 1, 'points': 1.0, 'status': 'PERFECT'}, {'test_case': 'Multi-syllable call (446ms)', 'expected': 4, 'actual': 4, 'points': 1.0, 'status': 'PERFECT'}]"
5.0,1500.0,15.0,5.0,2.0,100.0,1,4,"[{'test_case': 'Single USV with dips', 'expected': 1, 'actual': 1, 'points': 1.0, 'status': 'PERFECT'}, {'test_case': 'Multi-syllable call (446ms)', 'expected': 4, 'actual': 4, 'points': 1.0, 'status': 'PERFECT'}]"
5.0,1500.0,15.0,10.0,2.0,100.0,1,4,"[{'test_case': 'Single USV with dips', 'expected': 1, 'actual': 1, 'points': 1.0, 'status': 'PERFECT'}, {'test_case': 'Multi-syllable call (446ms)', 'expected': 4, 'actual': 4, 'points': 1.0, 'status': 'PERFECT'}]"
5.0,1500.0,20.0,3.0,2.0,100.0,1,4,"[{'test_case': 'Single USV with dips', 'expected': 1, 'actual': 1, 'points': 1.0, 'status': 'PERFECT'}, {'test_case': 'Multi-syllable call (446ms)', 'expected': 4, 'actual': 4, 'points': 1.0, 'status': 'PERFECT'}]"
5.0,1500.0,20.0,5.0,2.0,100.0,1,4,"[{'test_case': 'Single USV with dips', 'expected': 1, 'actual': 1, 'points': 1.0, 'status': 'PERFECT'}, {'test_case': 'Multi-syllable call (446ms)', 'expected': 4, 'actual': 4, 'points': 1.0, 'status': 'PERFECT'}]"
5.0,1500.0,20.0,10.0,2.0,100.0,1,4,"[{'test_case': 'Single USV with dips', 'expected': 1, 'actual': 1, 'points': 1.0, 'status': 'PERFECT'}, {'test_case': 'Multi-syllable call (446ms)', 'expected': 4, 'actual': 4, 'points': 1.0, 'status': 'PERFECT'}]"
5.0,2000.0,10.0,3.0,2.0,100.0,1,4,"[{'test_case': 'Single USV with dips', 'expected': 1, 'actual': 1, 'points': 1.0, 'status': 'PERFECT'}, {'test_case': 'Multi-syllable call (446ms)', 'expected': 4, 'actual': 4, 'points': 1.0, 'status': 'PERFECT'}]"
