candidate_id,label,model_probability,disagreement,spectrogram_path
2024-09-30_11-20-26_0000023_00001032,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-20-26_0000023_00001032.png
2024-09-30_11-21-24_0000039_00001966,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-21-24_0000039_00001966.png
2024-09-30_11-21-26_0000040_00000218,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-21-26_0000040_00000218.png
2024-09-30_11-20-29_0000024_00001294,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-20-29_0000024_00001294.png
2024-09-30_11-21-40_0000044_00002905,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-21-40_0000044_00002905.png
2024-09-30_11-20-32_0000025_00001843,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-20-32_0000025_00001843.png
2024-09-30_11-20-07_0000020_00002621,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-20-07_0000020_00002621.png
2024-09-30_11-18-27_0000003_00001918,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-18-27_0000003_00001918.png
2024-09-30_11-18-17_0000001_00005439,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-18-17_0000001_00005439.png
2024-09-30_11-21-07_0000035_00003616,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-21-07_0000035_00003616.png
2024-09-30_11-20-26_0000023_00001379,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-20-26_0000023_00001379.png
2024-09-30_11-20-26_0000023_00001783,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-20-26_0000023_00001783.png
2024-09-30_11-20-32_0000025_00002505,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-20-32_0000025_00002505.png
2024-09-30_11-20-34_0000026_00000593,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-20-34_0000026_00000593.png
2024-09-30_11-20-07_0000020_00002019,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-20-07_0000020_00002019.png
2024-09-30_11-18-17_0000001_00003200,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-18-17_0000001_00003200.png
2024-09-30_11-18-52_0000005_00001207,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-18-52_0000005_00001207.png
2024-09-30_11-18-52_0000005_00001335,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-18-52_0000005_00001335.png
2024-09-30_11-20-34_0000026_00001105,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-20-34_0000026_00001105.png
2024-09-30_11-20-29_0000024_00002079,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-20-29_0000024_00002079.png
2024-09-30_11-18-34_0000004_00001037,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-18-34_0000004_00001037.png
2024-09-30_11-20-38_0000028_00001679,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-20-38_0000028_00001679.png
2024-09-30_11-18-27_0000003_00003588,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-18-27_0000003_00003588.png
2024-09-30_11-20-29_0000024_00002181,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-20-29_0000024_00002181.png
2024-09-30_11-19-58_0000018_00001932,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-19-58_0000018_00001932.png
2024-09-30_11-20-14_0000022_00002945,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-20-14_0000022_00002945.png
2024-09-30_11-19-19_0000012_00002940,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-19-19_0000012_00002940.png
2024-09-30_11-18-27_0000003_00003431,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-18-27_0000003_00003431.png
2024-09-30_11-20-14_0000022_00000706,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-20-14_0000022_00000706.png
2024-09-30_11-19-54_0000016_00001439,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-19-54_0000016_00001439.png
2024-09-30_11-19-55_0000017_00000292,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-19-55_0000017_00000292.png
2024-09-30_11-18-34_0000004_00004925,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-18-34_0000004_00004925.png
2024-09-30_11-20-53_0000032_00000782,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-20-53_0000032_00000782.png
2024-09-30_11-18-52_0000005_00002263,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-18-52_0000005_00002263.png
2024-09-30_11-19-34_0000014_00003436,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-19-34_0000014_00003436.png
2024-09-30_11-20-07_0000020_00001696,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-20-07_0000020_00001696.png
2024-09-30_11-19-34_0000014_00002615,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-19-34_0000014_00002615.png
2024-09-30_11-20-34_0000026_00000111,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-20-34_0000026_00000111.png
2024-09-30_11-20-14_0000022_00000794,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-20-14_0000022_00000794.png
2024-09-30_11-21-07_0000035_00003959,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-21-07_0000035_00003959.png
2024-09-30_11-18-34_0000004_00003222,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-18-34_0000004_00003222.png
2024-09-30_11-20-32_0000025_00002402,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-20-32_0000025_00002402.png
2024-09-30_11-20-34_0000026_00000491,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-20-34_0000026_00000491.png
2024-09-30_11-18-17_0000001_00003548,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-18-17_0000001_00003548.png
2024-09-30_11-19-16_0000011_00001155,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-19-16_0000011_00001155.png
2024-09-30_11-18-17_0000001_00003440,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-18-17_0000001_00003440.png
2024-09-30_11-19-55_0000017_00002566,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-19-55_0000017_00002566.png
2024-09-30_11-19-19_0000012_00001450,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-19-19_0000012_00001450.png
2024-09-30_11-21-07_0000035_00003102,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-21-07_0000035_00003102.png
2024-09-30_11-21-30_0000042_00002135,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-21-30_0000042_00002135.png
2024-09-30_11-20-29_0000024_00002299,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-20-29_0000024_00002299.png
2024-09-30_11-18-27_0000003_00005424,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-18-27_0000003_00005424.png
2024-09-30_11-19-34_0000014_00001820,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-19-34_0000014_00001820.png
2024-09-30_11-20-45_0000030_00003157,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-20-45_0000030_00003157.png
2024-09-30_11-20-38_0000028_00002548,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-20-38_0000028_00002548.png
2024-09-30_11-18-34_0000004_00000165,USV,0.0000,1.0000,analysis\label_outliers\false_negative_candidates\spectrograms\2024-09-30_11-18-34_0000004_00000165.png
