call_id,path,cohort,wav_stem,slope
131204_1400_m1fm1_chunk_022__det0,/home/shachar/projects/mickey_london_lab/data/alpha3_human_patches/131204_1400_m1fm1_chunk_022__det0.png,m1fm1,131204_1400_m1fm1_chunk_022,277.08840324795773
131204_1400_m1fm1_chunk_030__det0,/home/shachar/projects/mickey_london_lab/data/alpha3_human_patches/131204_1400_m1fm1_chunk_030__det0.png,m1fm1,131204_1400_m1fm1_chunk_030,-114.44707497980752
131204_1400_m1fm1_chunk_031__det0,/home/shachar/projects/mickey_london_lab/data/alpha3_human_patches/131204_1400_m1fm1_chunk_031__det0.png,m1fm1,131204_1400_m1fm1_chunk_031,-4.5832202805665085
131204_1400_m1fm1_chunk_031__det1,/home/shachar/projects/mickey_london_lab/data/alpha3_human_patches/131204_1400_m1fm1_chunk_031__det1.png,m1fm1,131204_1400_m1fm1_chunk_031,-698.2220437369953
131204_1400_m1fm1_chunk_031__det2,/home/shachar/projects/mickey_london_lab/data/alpha3_human_patches/131204_1400_m1fm1_chunk_031__det2.png,m1fm1,131204_1400_m1fm1_chunk_031,1425.2860235003077
131204_1400_m1fm1_chunk_031__det3,/home/shachar/projects/mickey_london_lab/data/alpha3_human_patches/131204_1400_m1fm1_chunk_031__det3.png,m1fm1,131204_1400_m1fm1_chunk_031,-74.96229193787273
131204_1400_m1fm1_chunk_031__det4,/home/shachar/projects/mickey_london_lab/data/alpha3_human_patches/131204_1400_m1fm1_chunk_031__det4.png,m1fm1,131204_1400_m1fm1_chunk_031,-117.90439042697234
131204_1400_m1fm1_chunk_031__det5,/home/shachar/projects/mickey_london_lab/data/alpha3_human_patches/131204_1400_m1fm1_chunk_031__det5.png,m1fm1,131204_1400_m1fm1_chunk_031,-411.7373902771548
131204_1400_m1fm1_chunk_031__det6,/home/shachar/projects/mickey_london_lab/data/alpha3_human_patches/131204_1400_m1fm1_chunk_031__det6.png,m1fm1,131204_1400_m1fm1_chunk_031,-249.6349726097125
131204_1400_m1fm1_chunk_031__det7,/home/shachar/projects/mickey_london_lab/data/alpha3_human_patches/131204_1400_m1fm1_chunk_031__det7.png,m1fm1,131204_1400_m1fm1_chunk_031,2427.327291985403
131204_1400_m1fm1_chunk_032__det0,/home/shachar/projects/mickey_london_lab/data/alpha3_human_patches/131204_1400_m1fm1_chunk_032__det0.png,m1fm1,131204_1400_m1fm1_chunk_032,11363.531379052292
131204_1400_m1fm1_chunk_032__det1,/home/shachar/projects/mickey_london_lab/data/alpha3_human_patches/131204_1400_m1fm1_chunk_032__det1.png,m1fm1,131204_1400_m1fm1_chunk_032,516.5597890315119
131204_1400_m1fm1_chunk_032__det2,/home/shachar/projects/mickey_london_lab/data/alpha3_human_patches/131204_1400_m1fm1_chunk_032__det2.png,m1fm1,131204_1400_m1fm1_chunk_032,476.5045064897179
131204_1400_m1fm1_chunk_032__det3,/home/shachar/projects/mickey_london_lab/data/alpha3_human_patches/131204_1400_m1fm1_chunk_032__det3.png,m1fm1,131204_1400_m1fm1_chunk_032,1770.2596380802463
131204_1400_m1fm1_chunk_032__det4,/home/shachar/projects/mickey_london_lab/data/alpha3_human_patches/131204_1400_m1fm1_chunk_032__det4.png,m1fm1,131204_1400_m1fm1_chunk_032,153.4053367147267
131204_1400_m1fm1_chunk_032__det5,/home/shachar/projects/mickey_london_lab/data/alpha3_human_patches/131204_1400_m1fm1_chunk_032__det5.png,m1fm1,131204_1400_m1fm1_chunk_032,-63.02261668018111
131204_1400_m1fm1_chunk_032__det6,/home/shachar/projects/mickey_london_lab/data/alpha3_human_patches/131204_1400_m1fm1_chunk_032__det6.png,m1fm1,131204_1400_m1fm1_chunk_032,-2.0149195832881577
131204_1400_m1fm1_chunk_032__det7,/home/shachar/projects/mickey_london_lab/data/alpha3_human_patches/131204_1400_m1fm1_chunk_032__det7.png,m1fm1,131204_1400_m1fm1_chunk_032,-246.49082789620465
131204_1400_m1fm1_chunk_032__det8,/home/shachar/projects/mickey_london_lab/data/alpha3_human_patches/131204_1400_m1fm1_chunk_032__det8.png,m1fm1,131204_1400_m1fm1_chunk_032,310.70357222958
131204_1400_m1fm1_chunk_033__det0,/home/shachar/projects/mickey_london_lab/data/alpha3_human_patches/131204_1400_m1fm1_chunk_033__det0.png,m1fm1,131204_1400_m1fm1_chunk_033,-963.0746452431216
131204_1400_m1fm1_chunk_033__det1,/home/shachar/projects/mickey_london_lab/data/alpha3_human_patches/131204_1400_m1fm1_chunk_033__det1.png,m1fm1,131204_1400_m1fm1_chunk_033,2.025837446126105
131204_1400_m1fm1_chunk_033__det2,/home/shachar/projects/mickey_london_lab/data/alpha3_human_patches/131204_1400_m1fm1_chunk_033__det2.png,m1fm1,131204_1400_m1fm1_chunk_033,-920.8518264424628
131204_1400_m1fm1_chunk_033__det3,/home/shachar/projects/mickey_london_lab/data/alpha3_human_patches/131204_1400_m1fm1_chunk_033__det3.png,m1fm1,131204_1400_m1fm1_chunk_033,-155.4380807437872
131204_1400_m1fm1_chunk_033__det4,/home/shachar/projects/mickey_london_lab/data/alpha3_human_patches/131204_1400_m1fm1_chunk_033__det4.png,m1fm1,131204_1400_m1fm1_chunk_033,-453.19702925728296
