call_id,path,cohort,slope
131204_1400_m1fm1_chunk_047__det9,data/alpha3_gamma_relabel/131204_1400_m1fm1_chunk_047__det9.png,m1fm1,-49.60628513182466
131204_1400_m2fm2_chunk_025__det1,data/alpha3_gamma_relabel/131204_1400_m2fm2_chunk_025__det1.png,m2fm2,-60.47456985747392
131204_1400_m3fm3_chunk_074__det5,data/alpha3_gamma_relabel/131204_1400_m3fm3_chunk_074__det5.png,m3fm3,15.32688161406344
131204_1400_m3fm3_chunk_126__det6,data/alpha3_gamma_relabel/131204_1400_m3fm3_chunk_126__det6.png,m3fm3,22.22210508842277
131204_1400_m3fm3_chunk_281__det2,data/alpha3_gamma_relabel/131204_1400_m3fm3_chunk_281__det2.png,m3fm3,9.559063105070123
131204_1800_m5fm5_chunk_048__det8,data/alpha3_gamma_relabel/131204_1800_m5fm5_chunk_048__det8.png,m5fm5,7.140712132300066
131204_1800_m6fm6_chunk_140__det1,data/alpha3_gamma_relabel/131204_1800_m6fm6_chunk_140__det1.png,m6fm6,-232.69793173130324
131205_1000_m2fm2_chunk_011__det7,data/alpha3_gamma_relabel/131205_1000_m2fm2_chunk_011__det7.png,m2fm2,-391.8178654672597
131205_1000_m2fm2_chunk_259__det7,data/alpha3_gamma_relabel/131205_1000_m2fm2_chunk_259__det7.png,m2fm2,-33.16480419345544
131205_1000_m6fm6_chunk_082__det1,data/alpha3_gamma_relabel/131205_1000_m6fm6_chunk_082__det1.png,m6fm6,-66.71492618648674
131205_1400_m6fm6_chunk_298__det7,data/alpha3_gamma_relabel/131205_1400_m6fm6_chunk_298__det7.png,m6fm6,-78.79289748589423
131208_1000_m4fm4_chunk_239__det1,data/alpha3_gamma_relabel/131208_1000_m4fm4_chunk_239__det1.png,m4fm4,532.2075055906192
131210_1000_m2fm4_chunk_029__det5,data/alpha3_gamma_relabel/131210_1000_m2fm4_chunk_029__det5.png,m2fm4,-62.17888616397111
131210_1000_m2fm4_chunk_042__det4,data/alpha3_gamma_relabel/131210_1000_m2fm4_chunk_042__det4.png,m2fm4,-169.02057547167578
131210_1000_m3fm2_chunk_063__det5,data/alpha3_gamma_relabel/131210_1000_m3fm2_chunk_063__det5.png,m3fm2,12.012236993177948
131210_1000_m4fm1_chunk_022__det6,data/alpha3_gamma_relabel/131210_1000_m4fm1_chunk_022__det6.png,m4fm1,-232.2110493912164
131210_1000_m4fm1_chunk_023__det6,data/alpha3_gamma_relabel/131210_1000_m4fm1_chunk_023__det6.png,m4fm1,-168.72694585709263
131210_1000_m4fm1_chunk_031__det1,data/alpha3_gamma_relabel/131210_1000_m4fm1_chunk_031__det1.png,m4fm1,-63.41839730287937
131210_1000_m4fm1_chunk_062__det1,data/alpha3_gamma_relabel/131210_1000_m4fm1_chunk_062__det1.png,m4fm1,-60.73341911621365
131210_1000_m4fm1_chunk_063__det4,data/alpha3_gamma_relabel/131210_1000_m4fm1_chunk_063__det4.png,m4fm1,66.96056137396842
131211_1000_m2fm1_chunk_045__det0,data/alpha3_gamma_relabel/131211_1000_m2fm1_chunk_045__det0.png,m2fm1,-237.100315830356
131211_1000_m2fm1_chunk_049__det1,data/alpha3_gamma_relabel/131211_1000_m2fm1_chunk_049__det1.png,m2fm1,-166.56588121564417
131211_1000_m2fm1_chunk_058__det5,data/alpha3_gamma_relabel/131211_1000_m2fm1_chunk_058__det5.png,m2fm1,-3.690729364064149
131211_1000_m2fm1_chunk_064__det8,data/alpha3_gamma_relabel/131211_1000_m2fm1_chunk_064__det8.png,m2fm1,-1.2501822016267508
131211_1000_m3fm1_chunk_025__det4,data/alpha3_gamma_relabel/131211_1000_m3fm1_chunk_025__det4.png,m3fm1,-72.98043364335811
131211_1000_m3fm1_chunk_090__det2,data/alpha3_gamma_relabel/131211_1000_m3fm1_chunk_090__det2.png,m3fm1,-17.739038648689313
