candidate_id,spectrogram_path,label,source_file
2024-09-30_11-19-19_0000012_00006941,data/experiment_dataset/spectrograms/2024-09-30_11-19-19_0000012_00006941.png,USV,2024-09-30_11-19-19_0000012.wav
2024-09-30_11-21-30_0000042_00002641,data/experiment_dataset/spectrograms/2024-09-30_11-21-30_0000042_00002641.png,USV,2024-09-30_11-21-30_0000042.wav
2024-09-30_11-19-09_0000008_noise_8eae33dd,data/experiment_dataset/spectrograms/2024-09-30_11-19-09_0000008_noise_8eae33dd.png,Not USV,2024-09-30_11-19-09_0000008.wav
2024-09-30_11-20-29_0000024_noise_1c8bac50,data/experiment_dataset/spectrograms/2024-09-30_11-20-29_0000024_noise_1c8bac50.png,Not USV,2024-09-30_11-20-29_0000024.wav
2024-09-30_11-19-19_0000012_noise_4d032330,data/experiment_dataset/spectrograms/2024-09-30_11-19-19_0000012_noise_4d032330.png,Not USV,2024-09-30_11-19-19_0000012.wav
2024-09-30_11-21-34_0000043_noise_0a2095e2,data/experiment_dataset/spectrograms/2024-09-30_11-21-34_0000043_noise_0a2095e2.png,Not USV,2024-09-30_11-21-34_0000043.wav
2024-09-30_11-21-24_0000039_noise_8c7a711f,data/experiment_dataset/spectrograms/2024-09-30_11-21-24_0000039_noise_8c7a711f.png,Not USV,2024-09-30_11-21-24_0000039.wav
2024-09-30_11-19-55_0000017_noise_5a919fe3,data/experiment_dataset/spectrograms/2024-09-30_11-19-55_0000017_noise_5a919fe3.png,Not USV,2024-09-30_11-19-55_0000017.wav
random_neg_00076,data/experiment_dataset/spectrograms/random_neg_00076.png,Not USV,2024-09-30_11-21-22_0000038.wav
2024-09-30_11-19-19_0000012_00001358,data/experiment_dataset/spectrograms/2024-09-30_11-19-19_0000012_00001358.png,USV,2024-09-30_11-19-19_0000012.wav
2024-09-30_11-19-55_0000017_00000292,data/experiment_dataset/spectrograms/2024-09-30_11-19-55_0000017_00000292.png,USV,2024-09-30_11-19-55_0000017.wav
2024-09-30_11-21-26_0000040_noise_ca6b3e2b,data/experiment_dataset/spectrograms/2024-09-30_11-21-26_0000040_noise_ca6b3e2b.png,Not USV,2024-09-30_11-21-26_0000040.wav
2024-09-30_11-18-27_0000003_00005310,data/experiment_dataset/spectrograms/2024-09-30_11-18-27_0000003_00005310.png,USV,2024-09-30_11-18-27_0000003.wav
2024-09-30_11-21-01_0000034_noise_2862af09,data/experiment_dataset/spectrograms/2024-09-30_11-21-01_0000034_noise_2862af09.png,Not USV,2024-09-30_11-21-01_0000034.wav
random_neg_00011,data/experiment_dataset/spectrograms/random_neg_00011.png,Not USV,2024-09-30_11-18-57_0000006.wav
2024-09-30_11-18-34_0000004_00003222,data/experiment_dataset/spectrograms/2024-09-30_11-18-34_0000004_00003222.png,USV,2024-09-30_11-18-34_0000004.wav
2024-09-30_11-20-56_0000033_00001187,data/experiment_dataset/spectrograms/2024-09-30_11-20-56_0000033_00001187.png,USV,2024-09-30_11-20-56_0000033.wav
2024-09-30_11-21-07_0000035_00003739,data/experiment_dataset/spectrograms/2024-09-30_11-21-07_0000035_00003739.png,USV,2024-09-30_11-21-07_0000035.wav
2024-09-30_11-18-57_0000006_00001298,data/experiment_dataset/spectrograms/2024-09-30_11-18-57_0000006_00001298.png,USV,2024-09-30_11-18-57_0000006.wav
2024-09-30_11-21-28_0000041_00001089,data/experiment_dataset/spectrograms/2024-09-30_11-21-28_0000041_00001089.png,Not USV,2024-09-30_11-21-28_0000041.wav
2024-09-30_11-18-34_0000004_noise_9a8c3fcc,data/experiment_dataset/spectrograms/2024-09-30_11-18-34_0000004_noise_9a8c3fcc.png,Not USV,2024-09-30_11-18-34_0000004.wav
2024-09-30_11-19-00_0000007_noise_b169a437,data/experiment_dataset/spectrograms/2024-09-30_11-19-00_0000007_noise_b169a437.png,Not USV,2024-09-30_11-19-00_0000007.wav
2024-09-30_11-18-25_0000002_noise_3027324b,data/experiment_dataset/spectrograms/2024-09-30_11-18-25_0000002_noise_3027324b.png,Not USV,2024-09-30_11-18-25_0000002.wav
2024-09-30_11-19-00_0000007_noise_59072935,data/experiment_dataset/spectrograms/2024-09-30_11-19-00_0000007_noise_59072935.png,Not USV,2024-09-30_11-19-00_0000007.wav
2024-09-30_11-18-17_0000001_00004192,data/experiment_dataset/spectrograms/2024-09-30_11-18-17_0000001_00004192.png,USV,2024-09-30_11-18-17_0000001.wav
2024-09-30_11-21-18_0000037_00001529,data/experiment_dataset/spectrograms/2024-09-30_11-21-18_0000037_00001529.png,USV,2024-09-30_11-21-18_0000037.wav
2024-09-30_11-19-54_0000016_noise_a36a420e,data/experiment_dataset/spectrograms/2024-09-30_11-19-54_0000016_noise_a36a420e.png,Not USV,2024-09-30_11-19-54_0000016.wav
