candidate_id,spectrogram_path,label,source_file,sample_type
2024-09-30_11-20-53_0000032_00000893,data/full_training_dataset/spectrograms/2024-09-30_11-20-53_0000032_00000893.png,USV,2024-09-30_11-20-53_0000032.wav,original
2024-09-30_11-18-34_0000004_00001546,data/full_training_dataset/spectrograms/2024-09-30_11-18-34_0000004_00001546.png,USV,2024-09-30_11-18-34_0000004.wav,original
2024-09-30_11-20-26_0000023_noise_ee6f438f,data/full_training_dataset/spectrograms/2024-09-30_11-20-26_0000023_noise_ee6f438f.png,Not USV,2024-09-30_11-20-26_0000023.wav,original
2024-09-30_11-19-00_0000007_noise_aefe6222,data/full_training_dataset/spectrograms/2024-09-30_11-19-00_0000007_noise_aefe6222.png,Not USV,2024-09-30_11-19-00_0000007.wav,original
2024-09-30_11-18-17_0000001_00004192,data/full_training_dataset/spectrograms/2024-09-30_11-18-17_0000001_00004192.png,USV,2024-09-30_11-18-17_0000001.wav,original
2024-09-30_11-18-25_0000002_noise_2d5fb8e6,data/full_training_dataset/spectrograms/2024-09-30_11-18-25_0000002_noise_2d5fb8e6.png,Not USV,2024-09-30_11-18-25_0000002.wav,original
2024-09-30_11-21-40_0000044_noise_00e3feb3,data/full_training_dataset/spectrograms/2024-09-30_11-21-40_0000044_noise_00e3feb3.png,Not USV,2024-09-30_11-21-40_0000044.wav,original
2024-09-30_11-20-29_0000024_00001746,data/full_training_dataset/spectrograms/2024-09-30_11-20-29_0000024_00001746.png,USV,2024-09-30_11-20-29_0000024.wav,original
neg_random_00436,data/full_training_dataset/spectrograms/neg_random_00436.png,Not USV,2024-09-30_11-21-40_0000044.wav,random
2024-09-30_11-19-00_0000007_00005022,data/full_training_dataset/spectrograms/2024-09-30_11-19-00_0000007_00005022.png,USV,2024-09-30_11-19-00_0000007.wav,original
neg_random_00127,data/full_training_dataset/spectrograms/neg_random_00127.png,Not USV,2024-09-30_11-19-31_0000013.wav,random
neg_inter_usv_gap_00245,data/full_training_dataset/spectrograms/neg_inter_usv_gap_00245.png,Not USV,2024-09-30_11-18-34_0000004.wav,inter_usv_gap
2024-09-30_11-21-22_0000038_00001003,data/full_training_dataset/spectrograms/2024-09-30_11-21-22_0000038_00001003.png,USV,2024-09-30_11-21-22_0000038.wav,original
neg_inter_usv_gap_00268,data/full_training_dataset/spectrograms/neg_inter_usv_gap_00268.png,Not USV,2024-09-30_11-19-38_0000015.wav,inter_usv_gap
neg_random_00154,data/full_training_dataset/spectrograms/neg_random_00154.png,Not USV,2024-09-30_11-19-54_0000016.wav,random
neg_inter_usv_gap_00168,data/full_training_dataset/spectrograms/neg_inter_usv_gap_00168.png,Not USV,2024-09-30_11-20-14_0000022.wav,inter_usv_gap
neg_random_00235,data/full_training_dataset/spectrograms/neg_random_00235.png,Not USV,2024-09-30_11-20-29_0000024.wav,random
2024-09-30_11-21-07_0000035_00003959,data/full_training_dataset/spectrograms/2024-09-30_11-21-07_0000035_00003959.png,USV,2024-09-30_11-21-07_0000035.wav,original
neg_random_00441,data/full_training_dataset/spectrograms/neg_random_00441.png,Not USV,2024-09-30_11-21-44_0000045.wav,random
neg_random_00122,data/full_training_dataset/spectrograms/neg_random_00122.png,Not USV,2024-09-30_11-19-31_0000013.wav,random
neg_random_00312,data/full_training_dataset/spectrograms/neg_random_00312.png,Not USV,2024-09-30_11-20-53_0000032.wav,random
neg_random_00248,data/full_training_dataset/spectrograms/neg_random_00248.png,Not USV,2024-09-30_11-20-32_0000025.wav,random
neg_inter_usv_gap_00052,data/full_training_dataset/spectrograms/neg_inter_usv_gap_00052.png,Not USV,2024-09-30_11-19-38_0000015.wav,inter_usv_gap
neg_random_00254,data/full_training_dataset/spectrograms/neg_random_00254.png,Not USV,2024-09-30_11-20-34_0000026.wav,random
neg_random_00013,data/full_training_dataset/spectrograms/neg_random_00013.png,Not USV,2024-09-30_11-18-25_0000002.wav,random
neg_random_00153,data/full_training_dataset/spectrograms/neg_random_00153.png,Not USV,2024-09-30_11-19-54_0000016.wav,random
neg_random_00012,data/full_training_dataset/spectrograms/neg_random_00012.png,Not USV,2024-09-30_11-18-25_0000002.wav,random
neg_random_00395,data/full_training_dataset/spectrograms/neg_random_00395.png,Not USV,2024-09-30_11-21-26_0000040.wav,random
neg_random_00100,data/full_training_dataset/spectrograms/neg_random_00100.png,Not USV,2024-09-30_11-19-16_0000011.wav,random
2024-09-30_11-19-16_0000011_00002287,data/full_training_dataset/spectrograms/2024-09-30_11-19-16_0000011_00002287.png,USV,2024-09-30_11-19-16_0000011.wav,original
neg_random_00268,data/full_training_dataset/spectrograms/neg_random_00268.png,Not USV,2024-09-30_11-20-35_0000027.wav,random
neg_inter_usv_gap_00064,data/full_training_dataset/spectrograms/neg_inter_usv_gap_00064.png,Not USV,2024-09-30_11-19-55_0000017.wav,inter_usv_gap
neg_inter_usv_gap_00042,data/full_training_dataset/spectrograms/neg_inter_usv_gap_00042.png,Not USV,2024-09-30_11-19-00_0000007.wav,inter_usv_gap
2024-09-30_11-20-09_0000021_noise_ef825b56,data/full_training_dataset/spectrograms/2024-09-30_11-20-09_0000021_noise_ef825b56.png,Not USV,2024-09-30_11-20-09_0000021.wav,original
neg_random_00037,data/full_training_dataset/spectrograms/neg_random_00037.png,Not USV,2024-09-30_11-18-34_0000004.wav,random
