candidate_id,label,labeled_at
2024-09-30_11-18-17_0000001_00000777,USV,2026-01-22T16:59:36.214698
2024-09-30_11-18-17_0000001_00000903,USV,2026-01-22T16:59:37.301245
2024-09-30_11-18-17_0000001_00001014,USV,2026-01-22T16:59:38.411161
2024-09-30_11-18-17_0000001_00001190,USV,2026-01-22T16:59:39.329727
2024-09-30_11-18-17_0000001_00001318,USV,2026-01-22T16:59:40.424340
2024-09-30_11-18-17_0000001_00001446,USV,2026-01-22T16:59:40.932209
2024-09-30_11-18-17_0000001_00001574,USV,2026-01-22T16:59:41.325847
2024-09-30_11-18-17_0000001_00001702,USV,2026-01-22T16:59:41.716494
2024-09-30_11-18-17_0000001_00001830,USV,2026-01-22T16:59:42.431852
2024-09-30_11-18-17_0000001_00002042,USV,2026-01-22T16:59:43.204360
2024-09-30_11-18-17_0000001_00002114,Not USV,2026-01-22T16:59:48.359269
2024-09-30_11-18-17_0000001_00002457,USV,2026-01-22T16:59:49.261504
2024-09-30_11-18-17_0000001_00002572,USV,2026-01-22T16:59:49.908003
2024-09-30_11-18-17_0000001_00002766,USV,2026-01-22T16:59:51.011490
2024-09-30_11-18-17_0000001_00002828,USV,2026-01-22T16:59:51.694677
2024-09-30_11-18-17_0000001_00002944,USV,2026-01-22T16:59:52.435617
2024-09-30_11-18-17_0000001_00003075,USV,2026-01-22T16:59:53.126079
2024-09-30_11-18-17_0000001_00003200,USV,2026-01-22T16:59:54.241104
2024-09-30_11-18-17_0000001_00003316,USV,2026-01-22T16:59:54.993869
2024-09-30_11-18-17_0000001_00003440,USV,2026-01-22T16:59:56.107295
2024-09-30_11-18-17_0000001_00003548,USV,2026-01-22T16:59:56.733050
2024-09-30_11-18-17_0000001_00003662,USV,2026-01-22T16:59:57.539057
2024-09-30_11-18-17_0000001_00003799,USV,2026-01-22T16:59:58.819417
2024-09-30_11-18-17_0000001_00004192,USV,2026-01-22T16:59:59.579198
2024-09-30_11-18-17_0000001_00004305,USV,2026-01-22T17:00:00.237146
2024-09-30_11-18-17_0000001_00004426,USV,2026-01-22T17:00:00.864460
2024-09-30_11-18-17_0000001_00004535,USV,2026-01-22T17:00:01.528728
2024-09-30_11-18-17_0000001_00004648,USV,2026-01-22T17:00:02.154347
2024-09-30_11-18-17_0000001_00004776,USV,2026-01-22T17:00:02.726011
2024-09-30_11-18-17_0000001_00004893,USV,2026-01-22T17:00:03.220186
2024-09-30_11-18-17_0000001_00005004,USV,2026-01-22T17:00:03.742582
2024-09-30_11-18-17_0000001_00005119,USV,2026-01-22T17:00:04.286286
2024-09-30_11-18-17_0000001_00005332,USV,2026-01-22T17:00:04.812341
2024-09-30_11-18-17_0000001_00005439,USV,2026-01-22T17:00:05.320212
2024-09-30_11-18-17_0000001_00005662,USV,2026-01-22T17:00:05.908574
2024-09-30_11-18-17_0000001_00005771,USV,2026-01-22T17:00:07.995691
2024-09-30_11-18-17_0000001_00006359,Not USV,2026-01-22T17:00:09.488030
2024-09-30_11-18-17_0000001_00006689,USV,2026-01-22T17:00:10.278532
2024-09-30_11-18-17_0000001_00006868,USV,2026-01-22T17:00:10.907033
2024-09-30_11-18-17_0000001_00007012,USV,2026-01-22T17:00:11.530058
2024-09-30_11-18-17_0000001_00007110,USV,2026-01-22T17:00:12.149536
2024-09-30_11-18-25_0000002_00000923,Not USV,2026-01-22T17:00:13.916833
2024-09-30_11-18-27_0000003_00001710,USV,2026-01-22T17:00:14.738447
2024-09-30_11-18-27_0000003_00001815,USV,2026-01-22T17:00:15.397184
