stem,suffix,detection_idx,label,start_time_s,end_time_s,duration_s,max_probability,mean_probability,window_count,start_window,end_window,source,png_path
2024-09-30_12-19-37_0000491,491,0,noise,0.2568533333333333,0.2696533333333333,0.0128,0.6289791464805603,0.5315420255064964,4,55,58,,
2024-09-30_12-19-37_0000491,491,1,noise,0.32512,0.36352,0.0383999999999999,0.6313618421554565,0.5724649846553802,10,71,80,,
2024-09-30_12-19-37_0000491,491,2,noise,1.2253866666666666,1.23392,0.0085333333333332,0.6747965812683105,0.574180414279302,3,282,284,,
2024-09-30_12-19-37_0000491,491,3,noise,1.98912,2.02752,0.0383999999999999,0.6308625936508179,0.6022031217813492,10,461,470,,
2024-09-30_12-19-37_0000491,491,4,usv,2.29632,2.3560533333333336,0.0597333333333334,0.8511344194412231,0.7121171136697133,15,533,547,,
2024-09-30_12-19-37_0000491,491,5,usv,2.4541866666666667,2.4925866666666665,0.0383999999999997,0.6386705636978149,0.5543889820575714,10,570,579,,
2024-09-30_12-19-52_0000494,494,0,noise,0.4360533333333333,0.4872533333333333,0.0511999999999999,0.7066567540168762,0.5682740555359767,13,97,109,,
2024-09-30_12-19-52_0000494,494,1,noise,1.68192,1.7245866666666667,0.0426666666666666,0.8585973978042603,0.8028417067094282,11,389,399,,
2024-09-30_12-19-52_0000494,494,2,usv,1.805653333333333,1.8568533333333328,0.0511999999999999,0.8297532796859741,0.7518257865538964,13,418,430,,
2024-09-30_12-19-52_0000494,494,3,usv,2.1000533333333333,2.11712,0.0170666666666665,0.6685872673988342,0.587126225233078,5,487,491,,
2024-09-30_12-19-52_0000494,494,4,noise,2.125653333333333,2.15552,0.0298666666666669,0.6018916368484497,0.5247809924185276,8,493,500,,
2024-09-30_12-19-52_0000494,494,5,noise,2.6845866666666667,2.69312,0.0085333333333332,0.6284494996070862,0.5602414011955261,3,624,626,,
2024-09-30_12-19-52_0000494,494,6,noise,2.75712,2.799786666666667,0.0426666666666668,0.6752628087997437,0.576912828467109,11,641,651,,
2024-09-30_12-28-58_0000551,551,0,noise,1.6136533333333334,1.65632,0.0426666666666666,0.8956257104873657,0.7950928211212158,11,373,383,,
2024-09-30_17-03-56_0001628,1628,0,noise,0.2440533333333333,0.2653866666666666,0.0213333333333333,0.640513002872467,0.5658429861068726,6,52,57,,
2024-09-30_17-03-56_0001628,1628,1,noise,0.68352,0.7261866666666666,0.0426666666666666,0.6879444122314453,0.5909571539271962,11,155,165,,
2024-09-30_17-03-56_0001628,1628,2,noise,1.0461866666666666,1.08032,0.0341333333333333,0.6305945515632629,0.551504049036238,9,240,248,,
2024-09-30_17-03-56_0001628,1628,3,noise,1.1869866666666666,1.2296533333333333,0.0426666666666666,0.7936370372772217,0.7037439942359924,11,273,283,,
2024-09-30_17-03-56_0001628,1628,4,usv,1.3149866666666667,1.3576533333333334,0.0426666666666666,0.7936370372772217,0.7037439942359924,11,303,313,,
2024-09-30_17-03-56_0001628,1628,5,usv,1.40032,1.4216533333333334,0.0213333333333334,0.6088541746139526,0.5227131992578506,6,323,328,,
