candidate_id,threshold_sweep_proba
2024-09-30_11-19-09_0000008_00001861,0.23660289
2024-09-30_11-19-09_0000008_00001978,0.28708875
2024-09-30_11-19-09_0000008_00002118,0.3916346
2024-09-30_11-19-09_0000008_00002272,0.25880605
2024-09-30_11-19-09_0000008_00002397,0.435481
2024-09-30_11-19-09_0000008_00002591,0.43306538
2024-09-30_11-19-09_0000008_00003107,0.45355302
2024-09-30_11-19-09_0000008_00003252,0.40247598
2024-09-30_11-19-09_0000008_noise_bec13e21,0.47349617
2024-09-30_11-19-09_0000008_noise_21b4c901,0.37619978
2024-09-30_11-19-09_0000008_noise_6f535677,0.41040164
2024-09-30_11-19-09_0000008_noise_0ee37d49,0.447513
2024-09-30_11-19-09_0000008_noise_a0150faf,0.45974207
2024-09-30_11-19-09_0000008_noise_5dc1db89,0.38761124
2024-09-30_11-19-09_0000008_noise_ed39f09e,0.3700503
2024-09-30_11-19-15_0000010_00000438,0.26988357
2024-09-30_11-19-15_0000010_00001007,0.5299834
2024-09-30_11-19-15_0000010_00001198,0.5662096
2024-09-30_11-19-15_0000010_00001326,0.45816794
2024-09-30_11-19-15_0000010_00002031,0.39106926
2024-09-30_11-19-15_0000010_00001501,0.24836253
2024-09-30_11-19-15_0000010_00001915,0.4376973
2024-09-30_11-19-15_0000010_00002121,0.51864064
2024-09-30_11-19-55_0000017_00000185,0.42849547
2024-09-30_11-19-55_0000017_00000292,0.46181077
2024-09-30_11-19-55_0000017_00000621,0.11553441
2024-09-30_11-19-55_0000017_00000963,0.48434946
2024-09-30_11-19-55_0000017_00001403,0.38745692
2024-09-30_11-19-55_0000017_00001607,0.38399723
2024-09-30_11-19-55_0000017_00001716,0.32204947
2024-09-30_11-19-55_0000017_00002376,0.2971123
2024-09-30_11-19-55_0000017_00002566,0.24451998
2024-09-30_11-19-55_0000017_00002787,0.545951
2024-09-30_11-19-55_0000017_00003440,0.5548759
2024-09-30_11-19-55_0000017_noise_5a919fe3,0.3744943
2024-09-30_11-19-55_0000017_noise_83b3c6dd,0.50451785
2024-09-30_11-19-55_0000017_noise_bc45442b,0.48286384
2024-09-30_11-19-55_0000017_00001041,0.52317226
2024-09-30_11-19-55_0000017_00002868,0.5349695
2024-09-30_11-19-55_0000017_00003532,0.5612017
2024-09-30_11-19-58_0000018_00000891,0.5516072
2024-09-30_11-19-58_0000018_00001932,0.5708927
2024-09-30_11-19-58_0000018_00002045,0.562136
2024-09-30_11-19-58_0000018_00002356,0.5407453
2024-09-30_11-19-58_0000018_00002654,0.44988278
2024-09-30_11-19-58_0000018_00003530,0.5476548
2024-09-30_11-19-58_0000018_noise_16befa5f,0.1559723
2024-09-30_11-19-58_0000018_noise_e1279753,0.20504983
2024-09-30_11-19-58_0000018_noise_d949c4d7,0.14457425
2024-09-30_11-19-58_0000018_noise_06ad020e,0.021661365
2024-09-30_11-19-58_0000018_00001031,0.43428183
