candidate_id,source_file,label,spectrogram_path,original_detection_idx,jitter_idx
2024-09-30_12-19-37_0000491_005380,2024-09-30_12-19-37_0000491.wav,USV,/home/shachar/projects/mickey_london_lab/data/training/hard_usvs/spectrograms/2024-09-30_12-19-37_0000491_005380.png,4,0
2024-09-30_12-19-37_0000491_005380_jit01,2024-09-30_12-19-37_0000491.wav,USV,/home/shachar/projects/mickey_london_lab/data/training/hard_usvs/spectrograms/2024-09-30_12-19-37_0000491_005380_jit01.png,4,1
2024-09-30_12-19-37_0000491_005380_jit02,2024-09-30_12-19-37_0000491.wav,USV,/home/shachar/projects/mickey_london_lab/data/training/hard_usvs/spectrograms/2024-09-30_12-19-37_0000491_005380_jit02.png,4,2
2024-09-30_12-19-37_0000491_005380_jit03,2024-09-30_12-19-37_0000491.wav,USV,/home/shachar/projects/mickey_london_lab/data/training/hard_usvs/spectrograms/2024-09-30_12-19-37_0000491_005380_jit03.png,4,3
2024-09-30_12-19-37_0000491_005750,2024-09-30_12-19-37_0000491.wav,USV,/home/shachar/projects/mickey_london_lab/data/training/hard_usvs/spectrograms/2024-09-30_12-19-37_0000491_005750.png,5,0
2024-09-30_12-19-37_0000491_005750_jit01,2024-09-30_12-19-37_0000491.wav,USV,/home/shachar/projects/mickey_london_lab/data/training/hard_usvs/spectrograms/2024-09-30_12-19-37_0000491_005750_jit01.png,5,1
2024-09-30_12-19-37_0000491_005750_jit02,2024-09-30_12-19-37_0000491.wav,USV,/home/shachar/projects/mickey_london_lab/data/training/hard_usvs/spectrograms/2024-09-30_12-19-37_0000491_005750_jit02.png,5,2
2024-09-30_12-19-37_0000491_005750_jit03,2024-09-30_12-19-37_0000491.wav,USV,/home/shachar/projects/mickey_london_lab/data/training/hard_usvs/spectrograms/2024-09-30_12-19-37_0000491_005750_jit03.png,5,3
2024-09-30_12-19-52_0000494_004230,2024-09-30_12-19-52_0000494.wav,USV,/home/shachar/projects/mickey_london_lab/data/training/hard_usvs/spectrograms/2024-09-30_12-19-52_0000494_004230.png,2,0
2024-09-30_12-19-52_0000494_004230_jit01,2024-09-30_12-19-52_0000494.wav,USV,/home/shachar/projects/mickey_london_lab/data/training/hard_usvs/spectrograms/2024-09-30_12-19-52_0000494_004230_jit01.png,2,1
2024-09-30_12-19-52_0000494_004230_jit02,2024-09-30_12-19-52_0000494.wav,USV,/home/shachar/projects/mickey_london_lab/data/training/hard_usvs/spectrograms/2024-09-30_12-19-52_0000494_004230_jit02.png,2,2
2024-09-30_12-19-52_0000494_004230_jit03,2024-09-30_12-19-52_0000494.wav,USV,/home/shachar/projects/mickey_london_lab/data/training/hard_usvs/spectrograms/2024-09-30_12-19-52_0000494_004230_jit03.png,2,3
2024-09-30_12-19-52_0000494_004920,2024-09-30_12-19-52_0000494.wav,USV,/home/shachar/projects/mickey_london_lab/data/training/hard_usvs/spectrograms/2024-09-30_12-19-52_0000494_004920.png,3,0
2024-09-30_12-19-52_0000494_004920_jit01,2024-09-30_12-19-52_0000494.wav,USV,/home/shachar/projects/mickey_london_lab/data/training/hard_usvs/spectrograms/2024-09-30_12-19-52_0000494_004920_jit01.png,3,1
2024-09-30_12-19-52_0000494_004920_jit02,2024-09-30_12-19-52_0000494.wav,USV,/home/shachar/projects/mickey_london_lab/data/training/hard_usvs/spectrograms/2024-09-30_12-19-52_0000494_004920_jit02.png,3,2
2024-09-30_12-19-52_0000494_004920_jit03,2024-09-30_12-19-52_0000494.wav,USV,/home/shachar/projects/mickey_london_lab/data/training/hard_usvs/spectrograms/2024-09-30_12-19-52_0000494_004920_jit03.png,3,3
2024-09-30_17-03-56_0001628_003080,2024-09-30_17-03-56_0001628.wav,USV,/home/shachar/projects/mickey_london_lab/data/training/hard_usvs/spectrograms/2024-09-30_17-03-56_0001628_003080.png,4,0
2024-09-30_17-03-56_0001628_003080_jit01,2024-09-30_17-03-56_0001628.wav,USV,/home/shachar/projects/mickey_london_lab/data/training/hard_usvs/spectrograms/2024-09-30_17-03-56_0001628_003080_jit01.png,4,1
2024-09-30_17-03-56_0001628_003080_jit02,2024-09-30_17-03-56_0001628.wav,USV,/home/shachar/projects/mickey_london_lab/data/training/hard_usvs/spectrograms/2024-09-30_17-03-56_0001628_003080_jit02.png,4,2
2024-09-30_17-03-56_0001628_003080_jit03,2024-09-30_17-03-56_0001628.wav,USV,/home/shachar/projects/mickey_london_lab/data/training/hard_usvs/spectrograms/2024-09-30_17-03-56_0001628_003080_jit03.png,4,3
2024-09-30_17-03-56_0001628_003280,2024-09-30_17-03-56_0001628.wav,USV,/home/shachar/projects/mickey_london_lab/data/training/hard_usvs/spectrograms/2024-09-30_17-03-56_0001628_003280.png,5,0
2024-09-30_17-03-56_0001628_003280_jit01,2024-09-30_17-03-56_0001628.wav,USV,/home/shachar/projects/mickey_london_lab/data/training/hard_usvs/spectrograms/2024-09-30_17-03-56_0001628_003280_jit01.png,5,1
2024-09-30_17-03-56_0001628_003280_jit02,2024-09-30_17-03-56_0001628.wav,USV,/home/shachar/projects/mickey_london_lab/data/training/hard_usvs/spectrograms/2024-09-30_17-03-56_0001628_003280_jit02.png,5,2
2024-09-30_17-03-56_0001628_003280_jit03,2024-09-30_17-03-56_0001628.wav,USV,/home/shachar/projects/mickey_london_lab/data/training/hard_usvs/spectrograms/2024-09-30_17-03-56_0001628_003280_jit03.png,5,3
2024-09-30_17-32-22_0001845_006290,2024-09-30_17-32-22_0001845.wav,USV,/home/shachar/projects/mickey_london_lab/data/training/hard_usvs/spectrograms/2024-09-30_17-32-22_0001845_006290.png,7,0
2024-09-30_17-32-22_0001845_006290_jit01,2024-09-30_17-32-22_0001845.wav,USV,/home/shachar/projects/mickey_london_lab/data/training/hard_usvs/spectrograms/2024-09-30_17-32-22_0001845_006290_jit01.png,7,1
2024-09-30_17-32-22_0001845_006290_jit02,2024-09-30_17-32-22_0001845.wav,USV,/home/shachar/projects/mickey_london_lab/data/training/hard_usvs/spectrograms/2024-09-30_17-32-22_0001845_006290_jit02.png,7,2
2024-09-30_17-32-22_0001845_006290_jit03,2024-09-30_17-32-22_0001845.wav,USV,/home/shachar/projects/mickey_london_lab/data/training/hard_usvs/spectrograms/2024-09-30_17-32-22_0001845_006290_jit03.png,7,3
2024-09-30_17-32-28_0001847_003070,2024-09-30_17-32-28_0001847.wav,USV,/home/shachar/projects/mickey_london_lab/data/training/hard_usvs/spectrograms/2024-09-30_17-32-28_0001847_003070.png,0,0
2024-09-30_17-32-28_0001847_003070_jit01,2024-09-30_17-32-28_0001847.wav,USV,/home/shachar/projects/mickey_london_lab/data/training/hard_usvs/spectrograms/2024-09-30_17-32-28_0001847_003070_jit01.png,0,1
2024-09-30_17-32-28_0001847_003070_jit02,2024-09-30_17-32-28_0001847.wav,USV,/home/shachar/projects/mickey_london_lab/data/training/hard_usvs/spectrograms/2024-09-30_17-32-28_0001847_003070_jit02.png,0,2
2024-09-30_17-32-28_0001847_003070_jit03,2024-09-30_17-32-28_0001847.wav,USV,/home/shachar/projects/mickey_london_lab/data/training/hard_usvs/spectrograms/2024-09-30_17-32-28_0001847_003070_jit03.png,0,3
2024-09-30_17-32-28_0001847_003190,2024-09-30_17-32-28_0001847.wav,USV,/home/shachar/projects/mickey_london_lab/data/training/hard_usvs/spectrograms/2024-09-30_17-32-28_0001847_003190.png,1,0
2024-09-30_17-32-28_0001847_003190_jit01,2024-09-30_17-32-28_0001847.wav,USV,/home/shachar/projects/mickey_london_lab/data/training/hard_usvs/spectrograms/2024-09-30_17-32-28_0001847_003190_jit01.png,1,1
2024-09-30_17-32-28_0001847_003190_jit02,2024-09-30_17-32-28_0001847.wav,USV,/home/shachar/projects/mickey_london_lab/data/training/hard_usvs/spectrograms/2024-09-30_17-32-28_0001847_003190_jit02.png,1,2
2024-09-30_17-32-28_0001847_003190_jit03,2024-09-30_17-32-28_0001847.wav,USV,/home/shachar/projects/mickey_london_lab/data/training/hard_usvs/spectrograms/2024-09-30_17-32-28_0001847_003190_jit03.png,1,3
2024-09-30_18-03-47_0002096_002920,2024-09-30_18-03-47_0002096.wav,USV,/home/shachar/projects/mickey_london_lab/data/training/hard_usvs/spectrograms/2024-09-30_18-03-47_0002096_002920.png,10,0
2024-09-30_18-03-47_0002096_003410,2024-09-30_18-03-47_0002096.wav,USV,/home/shachar/projects/mickey_london_lab/data/training/hard_usvs/spectrograms/2024-09-30_18-03-47_0002096_003410.png,11,0
2024-09-30_18-03-47_0002096_003410_jit01,2024-09-30_18-03-47_0002096.wav,USV,/home/shachar/projects/mickey_london_lab/data/training/hard_usvs/spectrograms/2024-09-30_18-03-47_0002096_003410_jit01.png,11,1
2024-09-30_18-03-47_0002096_003410_jit02,2024-09-30_18-03-47_0002096.wav,USV,/home/shachar/projects/mickey_london_lab/data/training/hard_usvs/spectrograms/2024-09-30_18-03-47_0002096_003410_jit02.png,11,2
2024-09-30_18-03-47_0002096_003410_jit03,2024-09-30_18-03-47_0002096.wav,USV,/home/shachar/projects/mickey_london_lab/data/training/hard_usvs/spectrograms/2024-09-30_18-03-47_0002096_003410_jit03.png,11,3
2024-09-30_21-34-29_0003189_006030,2024-09-30_21-34-29_0003189.wav,USV,/home/shachar/projects/mickey_london_lab/data/training/hard_usvs/spectrograms/2024-09-30_21-34-29_0003189_006030.png,2,0
2024-09-30_21-34-29_0003189_006030_jit01,2024-09-30_21-34-29_0003189.wav,USV,/home/shachar/projects/mickey_london_lab/data/training/hard_usvs/spectrograms/2024-09-30_21-34-29_0003189_006030_jit01.png,2,1
2024-09-30_21-34-29_0003189_006030_jit02,2024-09-30_21-34-29_0003189.wav,USV,/home/shachar/projects/mickey_london_lab/data/training/hard_usvs/spectrograms/2024-09-30_21-34-29_0003189_006030_jit02.png,2,2
2024-09-30_21-34-29_0003189_006030_jit03,2024-09-30_21-34-29_0003189.wav,USV,/home/shachar/projects/mickey_london_lab/data/training/hard_usvs/spectrograms/2024-09-30_21-34-29_0003189_006030_jit03.png,2,3
2024-09-30_21-34-29_0003189_006240,2024-09-30_21-34-29_0003189.wav,USV,/home/shachar/projects/mickey_london_lab/data/training/hard_usvs/spectrograms/2024-09-30_21-34-29_0003189_006240.png,3,0
2024-09-30_21-34-29_0003189_006240_jit01,2024-09-30_21-34-29_0003189.wav,USV,/home/shachar/projects/mickey_london_lab/data/training/hard_usvs/spectrograms/2024-09-30_21-34-29_0003189_006240_jit01.png,3,1
2024-09-30_21-34-29_0003189_006240_jit02,2024-09-30_21-34-29_0003189.wav,USV,/home/shachar/projects/mickey_london_lab/data/training/hard_usvs/spectrograms/2024-09-30_21-34-29_0003189_006240_jit02.png,3,2
2024-09-30_21-34-29_0003189_006240_jit03,2024-09-30_21-34-29_0003189.wav,USV,/home/shachar/projects/mickey_london_lab/data/training/hard_usvs/spectrograms/2024-09-30_21-34-29_0003189_006240_jit03.png,3,3
2024-09-30_21-34-29_0003189_006380,2024-09-30_21-34-29_0003189.wav,USV,/home/shachar/projects/mickey_london_lab/data/training/hard_usvs/spectrograms/2024-09-30_21-34-29_0003189_006380.png,4,0
2024-09-30_21-34-29_0003189_006380_jit01,2024-09-30_21-34-29_0003189.wav,USV,/home/shachar/projects/mickey_london_lab/data/training/hard_usvs/spectrograms/2024-09-30_21-34-29_0003189_006380_jit01.png,4,1
2024-09-30_21-34-29_0003189_006380_jit02,2024-09-30_21-34-29_0003189.wav,USV,/home/shachar/projects/mickey_london_lab/data/training/hard_usvs/spectrograms/2024-09-30_21-34-29_0003189_006380_jit02.png,4,2
2024-09-30_21-34-29_0003189_006380_jit03,2024-09-30_21-34-29_0003189.wav,USV,/home/shachar/projects/mickey_london_lab/data/training/hard_usvs/spectrograms/2024-09-30_21-34-29_0003189_006380_jit03.png,4,3
2024-10-01_05-57-44_0004783_000420,2024-10-01_05-57-44_0004783.wav,USV,/home/shachar/projects/mickey_london_lab/data/training/hard_usvs/spectrograms/2024-10-01_05-57-44_0004783_000420.png,0,0
