candidate_id,label,labeled_at
2024-09-30_11-18-17_0000001_00000764,USV,2026-01-18T18:52:57.311854
2024-09-30_11-18-17_0000001_00000788,USV,2026-01-18T14:27:38.665520
2024-09-30_11-18-17_0000001_00000930,USV,2026-01-18T14:27:40.995619
2024-09-30_11-18-17_0000001_00001013,Uncertain,2026-01-18T14:38:53.886553
2024-09-30_11-18-17_0000001_00001190,USV,2026-01-18T18:52:59.445768
2024-09-30_11-18-17_0000001_00001318,USV,2026-01-18T18:53:00.993766
2024-09-30_11-18-17_0000001_00001446,USV,2026-01-18T18:53:01.861202
2024-09-30_11-18-17_0000001_00001574,USV,2026-01-18T18:53:02.652061
2024-09-30_11-18-17_0000001_00001702,USV,2026-01-18T18:53:03.242410
2024-09-30_11-18-17_0000001_00001830,USV,2026-01-18T18:53:04.649870
2024-09-30_11-18-17_0000001_00002041,USV,2026-01-18T18:53:05.390664
2024-09-30_11-18-17_0000001_00002115,Not USV,2026-01-18T18:53:10.650484
2024-09-30_11-18-17_0000001_00002363,USV,2026-01-18T18:53:12.306138
2024-09-30_11-18-17_0000001_00002461,USV,2026-01-18T18:53:13.334235
2024-09-30_11-18-17_0000001_00002566,USV,2026-01-18T18:53:14.005335
2024-09-30_11-18-17_0000001_00002760,USV,2026-01-18T18:53:14.855156
2024-09-30_11-18-17_0000001_00002825,USV,2026-01-18T18:53:15.625930
2024-09-30_11-18-17_0000001_00002946,USV,2026-01-18T18:53:16.462915
2024-09-30_11-18-17_0000001_00003071,USV,2026-01-18T18:53:17.245582
2024-09-30_11-18-17_0000001_00003199,USV,2026-01-18T18:53:18.304209
2024-09-30_11-18-17_0000001_00003312,USV,2026-01-18T18:53:19.683280
2024-09-30_11-18-17_0000001_00003432,USV,2026-01-18T18:53:21.149822
2024-09-30_11-18-17_0000001_00003543,USV,2026-01-18T18:53:21.894525
2024-09-30_11-18-17_0000001_00003793,USV,2026-01-18T18:53:22.820804
2024-09-30_11-18-17_0000001_00004192,USV,2026-01-18T18:53:23.533486
2024-09-30_11-18-17_0000001_00004304,USV,2026-01-18T18:53:24.317944
2024-09-30_11-18-17_0000001_00004419,USV,2026-01-18T18:55:10.884882
2024-09-30_11-18-17_0000001_00004525,USV,2026-01-18T18:55:11.638822
2024-09-30_11-18-17_0000001_00004643,USV,2026-01-18T18:55:12.208359
2024-09-30_11-18-17_0000001_00004777,USV,2026-01-18T18:55:12.747242
2024-09-30_11-18-17_0000001_00004887,USV,2026-01-18T18:55:13.269087
2024-09-30_11-18-17_0000001_00005001,USV,2026-01-18T18:55:14.102399
2024-09-30_11-18-17_0000001_00005114,USV,2026-01-18T18:55:14.684137
2024-09-30_11-18-17_0000001_00005332,USV,2026-01-18T18:55:15.361841
2024-09-30_11-18-17_0000001_00005439,USV,2026-01-18T18:55:15.903943
2024-09-30_11-18-17_0000001_00005659,USV,2026-01-18T18:55:16.728005
2024-09-30_11-18-17_0000001_00005793,USV,2026-01-18T18:55:17.317358
2024-09-30_11-18-17_0000001_00006683,USV,2026-01-18T18:55:18.001009
2024-09-30_11-18-17_0000001_00006867,USV,2026-01-18T18:55:18.519276
2024-09-30_11-18-17_0000001_00007100,USV,2026-01-18T18:55:19.025821
2024-09-30_11-18-27_0000003_00001816,USV,2026-01-18T18:55:19.619447
2024-09-30_11-18-27_0000003_00001918,USV,2026-01-18T18:55:20.201647
2024-09-30_11-18-27_0000003_00002506,Uncertain,2026-01-18T18:55:26.154797
2024-09-30_11-18-27_0000003_00002874,USV,2026-01-18T18:55:27.458573
2024-09-30_11-18-27_0000003_00003432,USV,2026-01-18T18:55:28.151706
2024-09-30_11-18-27_0000003_00003588,USV,2026-01-18T18:55:32.809641
2024-09-30_11-18-27_0000003_00003852,USV,2026-01-18T18:55:33.600654
2024-09-30_11-18-27_0000003_00003959,USV,2026-01-18T18:55:34.691654
2024-09-30_11-18-27_0000003_00004092,USV,2026-01-18T18:55:35.359528
2024-09-30_11-18-27_0000003_00004178,USV,2026-01-18T18:55:36.695162
2024-09-30_11-18-27_0000003_00004259,Not USV,2026-01-18T18:55:42.365107
2024-09-30_11-18-27_0000003_00004451,Not USV,2026-01-18T18:55:44.264008
2024-09-30_11-18-27_0000003_00004787,Not USV,2026-01-18T18:55:45.893191
2024-09-30_11-18-27_0000003_00004814,Not USV,2026-01-18T18:55:53.068480
2024-09-30_11-18-27_0000003_00005028,Not USV,2026-01-18T18:55:55.012822
2024-09-30_11-18-27_0000003_00005078,USV,2026-01-18T18:55:55.589441
2024-09-30_11-18-27_0000003_00005137,Not USV,2026-01-18T18:55:56.547437
2024-09-30_11-18-27_0000003_00005308,USV,2026-01-18T18:55:57.305400
2024-09-30_11-18-27_0000003_00005424,USV,2026-01-18T18:55:57.981870
2024-09-30_11-18-34_0000004_00001550,USV,2026-01-18T18:55:58.964996
2024-09-30_11-18-34_0000004_00001856,USV,2026-01-18T18:55:59.867931
2024-09-30_11-18-34_0000004_00002828,USV,2026-01-18T18:56:00.643327
2024-09-30_11-18-34_0000004_00003024,USV,2026-01-18T18:56:01.407683
2024-09-30_11-18-34_0000004_00003123,USV,2026-01-18T18:56:02.134315
2024-09-30_11-18-34_0000004_00005618,USV,2026-01-18T18:56:03.146837
2024-09-30_11-18-34_0000004_00005655,USV,2026-01-18T18:56:04.064667
2024-09-30_11-18-34_0000004_00006232,USV,2026-01-18T18:56:05.019872
2024-09-30_11-18-34_0000004_00006607,USV,2026-01-18T18:56:05.762499
2024-09-30_11-18-34_0000004_00007090,USV,2026-01-18T18:56:06.686463
2024-09-30_11-18-34_0000004_00007466,USV,2026-01-18T18:56:07.373551
2024-09-30_11-18-34_0000004_00007591,USV,2026-01-18T18:56:08.240507
2024-09-30_11-18-34_0000004_00007745,USV,2026-01-18T18:56:08.920847
2024-09-30_11-18-34_0000004_00007958,USV,2026-01-18T18:56:09.560004
2024-09-30_11-18-34_0000004_00008151,USV,2026-01-18T18:56:10.198616
2024-09-30_11-18-34_0000004_00008262,USV,2026-01-18T18:56:10.811331
2024-09-30_11-18-34_0000004_00008992,USV,2026-01-18T18:56:11.472802
2024-09-30_11-18-34_0000004_00009234,USV,2026-01-18T18:56:12.211397
2024-09-30_11-18-34_0000004_00009265,USV,2026-01-18T18:56:12.763072
2024-09-30_11-18-34_0000004_noise_7ff87a9e,USV,2026-01-18T19:37:43.433210
2024-09-30_11-18-34_0000004_noise_867f0af5,USV,2026-01-18T19:37:43.434210
2024-09-30_11-18-34_0000004_noise_cce41b79,USV,2026-01-18T19:37:43.435712
