formatted_date,P1L,P1R,PNO
05-09-2025,1500,1500,1500
06-09-2025,1500,1500,1500
07-09-2025,798,798,798
08-09-2025,960,798,798
09-09-2025,1500,1500,1500
10-09-2025,1476,1500,1500
11-09-2025,960,798,954
12-09-2025,1500,1500,1500
13-09-2025,1500,1500,1500
14-09-2025,960,798,798
15-09-2025,960,798,798
16-09-2025,960,798,798
17-09-2025,960,798,798
18-09-2025,960,798,798
19-09-2025,1500,1356,1500
20-09-2025,978,1356,1500
21-09-2025,960,798,798
22-09-2025,780,600,600
23-09-2025,780,600,600
24-09-2025,780,600,600
25-09-2025,780,600,600
26-09-2025,1500,1344,1500
27-09-2025,1500,1500,1500
28-09-2025,780,600,600
29-09-2025,780,600,600
30-09-2025,900,780,780
01-10-2025,834,162,120
02-10-2025,1500,1500,1500
03-10-2025,1500,1422,1500
04-10-2025,1500,1500,1500
05-10-2025,1500,1488,1500
06-10-2025,900,780,780
07-10-2025,1020,900,900
08-10-2025,1020,900,900
09-10-2025,0,0,0
10-10-2025,1506,1506,1506
11-10-2025,1500,1500,1500
12-10-2025,1098,1002,900
13-10-2025,900,900,1500
14-10-2025,996,900,1500
15-10-2025,1200,1200,1200
16-10-2025,1200,1200,1200
17-10-2025,1800,1800,1800
18-10-2025,1800,1800,1800
19-10-2025,924,1200,1200
20-10-2025,1380,1080,1080
21-10-2025,1380,546,1080
22-10-2025,1500,1500,1500
23-10-2025,7536,5556,6732
24-10-2025,5410,6660,6970
25-10-2025,6100,5440,5640
26-10-2025,2350,2100,2150
27-10-2025,1500,1500,1500
28-10-2025,1800,1500,1500
29-10-2025,2000,2000,2000
30-10-2025,2000,2000,2000
31-10-2025,610,770,940
01-11-2025,1610,1510,1600
02-11-2025,2000,2000,2000
03-11-2025,1160,2000,2000
04-11-2025,2000,1980,2000
05-11-2025,2000,2000,2000
06-11-2025,2000,2000,2000
07-11-2025,2000,2000,1980
08-11-2025,2000,2000,2000
09-11-2025,1500,1500,1500
10-11-2025,1350,1500,1460
11-11-2025,1200,1200,1200
12-11-2025,1200,1200,1200
13-11-2025,660,1200,1200
14-11-2025,2000,2000,2000
15-11-2025,2000,2000,2000
16-11-2025,1480,1500,1040
17-11-2025,0,2000,2000
18-11-2025,0,1500,1500
19-11-2025,0,1500,1500
20-11-2025,0,1500,1500
21-11-2025,0,2000,1750
22-11-2025,0,2000,2000
23-11-2025,0,1250,1250
24-11-2025,0,1250,1250
25-11-2025,0,1260,1260
