threshold,TPR_recall,FPR,precision,specificity,F1,TP,FP,FN,TN,n_predicted_positive,pct_passing,is_youden_optimal
0.01,0.9850187265917603,0.5862068965517241,0.9392857142857143,0.41379310344827586,0.9616087751371115,263,17,4,12,280,94.5945945945946,False
0.0281,0.8651685393258427,0.06896551724137931,0.9914163090128756,0.9310344827586207,0.9240000000000002,231,2,36,27,233,78.71621621621621,True
0.05,0.6966292134831461,0.034482758620689655,0.9946524064171123,0.9655172413793104,0.8193832599118943,186,1,81,28,187,63.17567567567568,False
0.1,0.46441947565543074,0.0,1.0,1.0,0.6342710997442456,124,0,143,29,124,41.891891891891895,False
0.15,0.27340823970037453,0.0,1.0,1.0,0.4294117647058824,73,0,194,29,73,24.66216216216216,False
0.2,0.19101123595505617,0.0,1.0,1.0,0.32075471698113206,51,0,216,29,51,17.22972972972973,False
0.25,0.1198501872659176,0.0,1.0,1.0,0.2140468227424749,32,0,235,29,32,10.81081081081081,False
0.3,0.06367041198501873,0.0,1.0,1.0,0.11971830985915494,17,0,250,29,17,5.743243243243244,False
0.4,0.02247191011235955,0.0,1.0,1.0,0.04395604395604395,6,0,261,29,6,2.027027027027027,False
0.5,0.011235955056179775,0.0,1.0,1.0,0.02222222222222222,3,0,264,29,3,1.0135135135135136,False
0.6,0.011235955056179775,0.0,1.0,1.0,0.02222222222222222,3,0,264,29,3,1.0135135135135136,False
0.7,0.0,0.0,0.0,1.0,0.0,0,0,267,29,0,0.0,False
0.8,0.0,0.0,0.0,1.0,0.0,0,0,267,29,0,0.0,False
0.9,0.0,0.0,0.0,1.0,0.0,0,0,267,29,0,0.0,False
0.95,0.0,0.0,0.0,1.0,0.0,0,0,267,29,0,0.0,False
