candidate_id,source_file,start_ms,end_ms,duration_ms,context_start_ms,context_end_ms,peak_freq_hz,peak_energy_db,interference_flag,spectrogram_path,label
2024-09-30_11-20-35_0000027_noise_57d481f9,2024-09-30_11-20-35_0000027.wav,460.17557553389463,506.8911214557636,46.715545921868966,410.17557553389463,556.8911214557636,0.0,0.0,False,noise_samples\2024-09-30_11-20-35_0000027_noise_57d481f9.png,Not USV
2024-09-30_11-20-45_0000030_noise_2338f4b8,2024-09-30_11-20-45_0000030.wav,2757.29629529916,2819.592802849078,62.296507549917806,2707.29629529916,2869.592802849078,0.0,0.0,False,noise_samples\2024-09-30_11-20-45_0000030_noise_2338f4b8.png,Not USV
2024-09-30_11-20-32_0000025_noise_748325bd,2024-09-30_11-20-32_0000025.wav,656.1131290443965,678.8015668279982,22.68843778360167,606.1131290443965,728.8015668279982,0.0,0.0,False,noise_samples\2024-09-30_11-20-32_0000025_noise_748325bd.png,Not USV
2024-09-30_11-19-58_0000018_noise_2feee470,2024-09-30_11-19-58_0000018.wav,2998.654374376689,3030.0598881401775,31.40551376348867,2948.654374376689,3080.0598881401775,0.0,0.0,False,noise_samples\2024-09-30_11-19-58_0000018_noise_2feee470.png,Not USV
2024-09-30_11-20-07_0000020_noise_826459b8,2024-09-30_11-20-07_0000020.wav,2913.164533012889,2991.082579356458,77.91804634356913,2863.164533012889,3041.082579356458,0.0,0.0,False,noise_samples\2024-09-30_11-20-07_0000020_noise_826459b8.png,Not USV
2024-09-30_11-20-07_0000020_noise_786a28d0,2024-09-30_11-20-07_0000020.wav,2914.8723493323905,3010.2426058886767,95.37025655628622,2864.8723493323905,3060.2426058886767,0.0,0.0,False,noise_samples\2024-09-30_11-20-07_0000020_noise_786a28d0.png,Not USV
2024-09-30_11-21-24_0000039_noise_b2a87002,2024-09-30_11-21-24_0000039.wav,1704.3546706791242,1746.6883838478218,42.333713168697614,1654.3546706791242,1796.6883838478218,0.0,0.0,False,noise_samples\2024-09-30_11-21-24_0000039_noise_b2a87002.png,Not USV
2024-09-30_11-18-57_0000006_noise_92f33cf4,2024-09-30_11-18-57_0000006.wav,2442.3931394352726,2477.8677988690374,35.47465943376483,2392.3931394352726,2527.8677988690374,0.0,0.0,False,noise_samples\2024-09-30_11-18-57_0000006_noise_92f33cf4.png,Not USV
2024-09-30_11-20-14_0000022_noise_5ae46aaa,2024-09-30_11-20-14_0000022.wav,4844.982926617106,4876.617521908091,31.63459529098418,4794.982926617106,4926.617521908091,0.0,0.0,False,noise_samples\2024-09-30_11-20-14_0000022_noise_5ae46aaa.png,Not USV
2024-09-30_11-21-26_0000040_noise_7551c490,2024-09-30_11-21-26_0000040.wav,674.0366218785719,760.815310729564,86.77868885099213,624.0366218785719,810.815310729564,0.0,0.0,False,noise_samples\2024-09-30_11-21-26_0000040_noise_7551c490.png,Not USV
