api_prefix,api_pattern,model,generation,years_approx,notes
8L,starts_with,A3,8L (Gen 1),1996-2003,
8P,starts_with,A3,8P (Gen 2),2003-2012,
8V,starts_with,A3,8V (Gen 3),2013-2020,
8Y,starts_with,A3,8Y (Gen 4),2020-2024,
GY,starts_with,A3,8Y (Gen 4),2020-2024,Alternative A3 8Y code
8D,starts_with,A4,B5 (Gen 1),1995-2001,
8E,starts_with,A4,B6/B7,2001-2008,
8K,starts_with,A4,B8,2008-2016,
8W,starts_with,A4,B9,2016-2024,
8H,starts_with,A4 Cabriolet,B6/B7,2002-2009,
8T,starts_with,A5,8T (Gen 1),2007-2016,
F5,starts_with,A5,F5 (Gen 2),2016-2024,Also catches some A4 B9 Avant via F5A
8F,starts_with,A5 Cabriolet,8F,2009-2016,
FV,starts_with,TT,FV/8S,2014-2024,TT Gen 3
8N,starts_with,TT,8N (Gen 1),1998-2006,
8J,starts_with,TT,8J (Gen 2),2006-2014,Also catches 8J-FV cross codes
4A,starts_with,A6,C4,1994-1997,Older A6
4B,starts_with,A6,C5,1997-2004,
4F,starts_with,A6,C6,2004-2011,
4G,starts_with,A6,C7,2011-2018,
GE,starts_with,A6,C8,2018-2024,
F2,starts_with,A6,C7/C8,2011-2024,Variant codes (catches 4F2...)
4D,starts_with,A8,D2,1994-2002,
4E,starts_with,A8,D3,2002-2010,
4H,starts_with,A8,D4,2010-2017,
4HC,starts_with,A8,D5,2018-2024,4HC prefix for D5
4N,starts_with,A8,D5,2018-2024,
8X,starts_with,A1,8X,2010-2018,
GB,starts_with,A1,GB,2019-2024,A1 Gen 2
8R,starts_with,Q5,8R (Gen 1),2008-2017,
FY,starts_with,Q5,FY (Gen 2),2017-2024,
8U,starts_with,Q3,8U (Gen 1),2011-2018,
F3,starts_with,Q3,F3 (Gen 2),2019-2024,
FJ,starts_with,Q3,F3 (Gen 2),2019-2024,Q3 Sportback
4L,starts_with,Q7,4L (Gen 1),2006-2015,
4M,starts_with,Q7,4M (Gen 2),2015-2024,
GU,starts_with,Q8,GU,2019-2024,
FN,starts_with,Q2,GA,2017-2024,Q2 code
FU,starts_with,Q2,GA,2017-2024,
F4,starts_with,Q8 e-tron,F4,2023-2024,Electric Q8 e-tron
GF,starts_with,A7,C8,2018-2024,A7 Sportback Gen 2
GC,starts_with,A7,C7,2010-2018,A7 Sportback Gen 1
KA,starts_with,A6,C8,2018-2024,Some A6 variant codes use 4KA
MG,starts_with,Q7,4M (Gen 2),2015-2024,4MG codes are Q7
MT,starts_with,Q7,4M (Gen 2),2015-2024,4MT codes are Q7
MN,starts_with,Q7,4M (Gen 2),2015-2024,
MQ,starts_with,Q8,GU,2019-2024,4MQ codes
MB,starts_with,Q7,4M (Gen 2),2015-2024,4MB codes
B8,starts_with,A4/A5,B8/B9,2008-2024,Cross-generation code B8-8K... B8-8W... B8-F5...
XD,starts_with,Q2,GA,2017-2024,Catches XDPXAQ2
42,starts_with,A6,C4,1994-1997,Older 42-4S30AE format
35,starts_with,A6,C4,1994-1997,35CFU code
A4,contains,A4,,1995-2024,Catches readable "A4 אודי"
A3,contains,A3,,1996-2024,
A6,contains,A6,,1994-2024,
A7,contains,A7,,2010-2024,
A8,contains,A8,,1994-2024,
Q2,contains,Q2,,2017-2024,
Q3,contains,Q3,,2011-2024,
Q5,contains,Q5,,2008-2024,
Q7,contains,Q7,,2006-2024,
Q8,contains,Q8,,2019-2024,
TT,contains,TT,,1998-2024,
RS,contains,RS,,2000-2024,RS models
S3,contains,S3,,2000-2024,S-line performance
S4,contains,S4,,2000-2024,
S5,contains,S5,,2007-2024,
AUDI,contains,Audi,,1995-2024,Catches "AUDI-A3 8L1..." legacy readable
KA,starts_with,A6,C8,2018-2024,4KA prefix for new A6 (matching without 4)
כר,contains,A4,B5,1995-2001,Hebrew prefix entries with 8D codes
2B,starts_with,A6,C5,1997-2004,2B20QK code
BH,starts_with,A6,C6/C7,2004-2018,4BH prefix codes
4KA,starts_with,A6,C8,2018-2024,A6 C8 with 4KA prefix
4SP,starts_with,A6/S6,C4,1994-1997,Older S6/allroad
4SR,starts_with,A6/RS6,C5-C8,1997-2024,RS6 variant
8B,starts_with,A4/A5,B9,2016-2024,Catches 8B-F53... codes
F8,starts_with,Q8/e-tron,GU/F4,2019-2024,Q8 and e-tron codes
FW,starts_with,Q8/e-tron,GU/F4,2019-2024,
FZ,starts_with,Q8/e-tron,GU/F4,2019-2024,
GA,starts_with,A6/A7,C8,2018-2024,GAB... GABA... codes for new A6
GH,starts_with,A8,D5,2018-2024,A8 D5 variant codes
AL,starts_with,A8,D4 Long,2010-2017,A8 L codes
AY,starts_with,A3,8V/8Y,2013-2024,A3 variant
C5,starts_with,A6,C5,1997-2004,
BE,starts_with,A4,B6,2001-2008,BE206H
XB,starts_with,Q3,F3,2019-2024,
XC,starts_with,Q5,FY,2017-2024,
KF,starts_with,Arona/Ibiza,KF,2017-2024,KF12D3 Seat Arona code appearing under Audi make erroneously
RC,starts_with,Q3,F3,2019-2024,
8 D,starts_with,A4,B5,1995-2001,Space in code "8 D 20 HA"
AA,starts_with,Unknown,,2000-2024,AABA etc - edge case
WA,starts_with,Unknown,,1995-2024,WAUZZZ - VIN prefix not model code
ZZZ,starts_with,Unknown,,1995-2024,ZZZF8 ZZZGE - VIN fragments
