api_prefix,api_pattern,series,body,generation,years_approx,notes
11,starts_with,1 Series,5-door Hatchback,F20,2011-2019,
13,starts_with,1 Series,3-door Hatchback,F21,2011-2019,
1A,starts_with,1 Series,,F40,2019-2024,New gen compact codes
1B,starts_with,1 Series,,F40,2019-2024,
1D,starts_with,1 Series,,F20,2011-2019,
1H,starts_with,1 Series,,F20,2011-2019,
1J,starts_with,1 Series,,F40,2019-2024,
1L,starts_with,1 Series,,F40,2019-2024,
1M,starts_with,1 Series,,F40,2019-2024,
1N,starts_with,1 Series,,F40,2019-2024,
1P,starts_with,1 Series,,F40,2019-2024,
1R,starts_with,1 Series,,F40,2019-2024,
1S,starts_with,1 Series,,F20,2011-2019,
1U,starts_with,1 Series,,F40,2019-2024,
1V,starts_with,1 Series,,F40,2019-2024,
1W,starts_with,1 Series,,F40,2019-2024,
1Y,starts_with,1 Series,,F40,2019-2024,
1Z,starts_with,1 Series,,F40,2019-2024,
21,starts_with,2 Series,Coupe,F22,2014-2021,
23,starts_with,2 Series,Convertible,F23,2014-2021,
28,starts_with,2 Series,Active Tourer,F45,2014-2021,
2D,starts_with,2 Series,,F44/F22,2014-2024,Gran Coupe or Coupe
2F,starts_with,2 Series,,F44,2019-2024,
2G,starts_with,2 Series,,F22,2014-2021,
2H,starts_with,2 Series,,F44,2019-2024,
2J,starts_with,2 Series,,F44,2019-2024,
2K,starts_with,2 Series,,F44,2019-2024,
2L,starts_with,2 Series,,F44,2019-2024,
2M,starts_with,2 Series,,F44,2019-2024,
2N,starts_with,2 Series,,F44,2019-2024,
2R,starts_with,2 Series,,F44,2019-2024,
2U,starts_with,2 Series,,U06,2022-2024,Active Tourer new gen
2V,starts_with,2 Series,,U06,2022-2024,
2Z,starts_with,2 Series,,F44,2019-2024,
31,starts_with,3 Series,Sedan,F30/G20,2012-2024,F30 until 2018 then G20
33,starts_with,3 Series,Touring,F31/G21,2012-2024,
38,starts_with,3 Series,Gran Turismo,F34,2013-2019,
39,starts_with,3 Series,Long Wheelbase,F35,2012-2019,China market
3A,starts_with,3 Series,,G20,2019-2024,
3B,starts_with,3 Series,,G20,2019-2024,
3C,starts_with,3 Series,,G20,2019-2024,
3F,starts_with,3 Series,,G20,2019-2024,
3G,starts_with,3 Series,,G20,2019-2024,
3N,starts_with,3 Series,,G20,2019-2024,
3R,starts_with,3 Series,,G20,2019-2024,
3T,starts_with,3 Series,,G20,2019-2024,
3U,starts_with,3 Series,,G20,2019-2024,
3V,starts_with,3 Series,,G20,2019-2024,
3X,starts_with,3 Series,,G20,2019-2024,
41,starts_with,4 Series,Coupe,F32/G22,2013-2024,
43,starts_with,4 Series,Convertible,F33/G23,2013-2024,
48,starts_with,4 Series,Gran Coupe,F36/G26,2014-2024,
49,starts_with,4 Series,M4,F82/G82,2014-2024,
4A,starts_with,4 Series,,G22,2020-2024,
4B,starts_with,4 Series,,G22,2020-2024,
4D,starts_with,4 Series,,G22,2020-2024,
4E,starts_with,4 Series,,G22,2020-2024,
4H,starts_with,4 Series,,G22,2020-2024,
4J,starts_with,4 Series,,G26,2021-2024,Gran Coupe
4N,starts_with,4 Series,,G22,2020-2024,
4P,starts_with,4 Series,,G22,2020-2024,
