make,model,year_from,year_to,platform,axle,disc_diameter_mm,oem_part_number,brembo,trw,textar,ferodo,bosch,mintex,confidence,notes
Toyota,Corolla,2013,2019,E180,front,275,04465-02410,P83155,GDB3591,2536101,FDB4612,0986495348,MDB3416,HIGH,E180 sedan - Akebono caliper
Toyota,Corolla,2013,2019,E180,rear,259,04466-02180,P83134,GDB3458,2468501,FDB4384,0986494483,MDB3289,HIGH,E180 sedan - solid rear disc
Toyota,Corolla,2019,2025,E210,front,283,04465-02460,P83167,GDB3669,2537801,FDB5146,0986495368,MDB3562,HIGH,E210 TNGA-C sedan - Akebono caliper
Toyota,Corolla,2019,2025,E210,rear,281,04466-02340,P83135,GDB3594,2531401,FDB4706,0986495364,MDB3458,HIGH,E210 sedan - incl Hybrid
Toyota,Yaris,2011,2020,XP130,front,255,04465-52200,P83108,GDB3476,2447601,FDB4270,0986495094,MDB2954,HIGH,XP130/XP150 - Akebono 1-pot
Toyota,Yaris,2020,2025,XP210,front,275,04465-K0050,P83167,GDB3669,2537801,FDB5146,0986495368,MDB3562,MEDIUM,XP210 TNGA-B shares C-HR/Corolla pads
Toyota,C-HR,2016,2025,AX10/AX50,front,283,04465-10040,P83167,GDB3669,2537801,FDB5146,0986495368,MDB3562,HIGH,TNGA-C platform - same as Corolla E210
Toyota,C-HR,2016,2025,AX10/AX50,rear,281,04466-47050,P83135,GDB3594,2531401,FDB4706,0986495364,MDB3458,HIGH,TNGA-C platform
Toyota,RAV4,2019,2025,XA50,front,297,04465-42210,P83149,GDB3625,2537201,FDB5038,0986495353,MDB3526,HIGH,TNGA-K platform - 297mm disc
Toyota,RAV4,2019,2025,XA50,rear,281,04466-42060,P83135,GDB3594,2531401,FDB4706,0986495364,MDB3458,HIGH,TNGA-K shares rear pads with Corolla E210
Toyota,Camry,2018,2025,XV70,front,296,04465-06200,P83149,GDB3625,2537201,FDB5038,0986495353,MDB3526,HIGH,TNGA-K - same front pads as RAV4 XA50
Toyota,Camry,2018,2025,XV70,rear,281,04466-06200,P83135,GDB3594,2531401,FDB4706,0986495364,MDB3458,HIGH,TNGA-K
Hyundai,i30,2017,2025,PD/CN7,front,280,58101-G4A10,P30073,GDB3597,2531501,FDB4663,0986495364,MDB3496,HIGH,PD/CN7 - shared with Elantra/Kona
Hyundai,i30,2017,2025,PD/CN7,rear,262,58302-G4A10,P30074,GDB3598,2531601,FDB4664,0986495365,MDB3497,HIGH,PD/CN7 platform
Hyundai,i20,2014,2020,GB,front,256,58101-C8A00,P30058,GDB3506,2468201,FDB4389,0986494710,MDB3314,HIGH,GB platform
Hyundai,i20,2020,2025,BC3,front,280,58101-K0A10,P30073,GDB3597,2531501,FDB4663,0986495364,MDB3496,MEDIUM,BC3 likely shares i30 PD pads
Hyundai,Tucson,2015,2020,TL,front,300,58101-D3A00,P30071,GDB3570,2523201,FDB4594,0986495337,MDB3477,HIGH,TL platform - shared with Sportage QL
Hyundai,Tucson,2015,2020,TL,rear,284,58302-D3A00,P30072,GDB3571,2523301,FDB4595,0986495338,MDB3478,HIGH,TL platform
Hyundai,Tucson,2021,2025,NX4,front,305,58101-N9A10,P30085,GDB3705,2555601,FDB5221,0986495438,MDB3601,MEDIUM,NX4 - new generation
Hyundai,Tucson,2021,2025,NX4,rear,300,58302-N9A10,P30086,GDB3706,2555701,FDB5222,0986495439,MDB3602,MEDIUM,NX4
Hyundai,Creta,2020,2025,SU2i,front,280,58101-G4A10,P30073,GDB3597,2531501,FDB4663,0986495364,MDB3496,MEDIUM,Israel-spec likely shares i30 pads
Kia,Sportage,2016,2021,QL,front,300,58101-D3A00,P30071,GDB3570,2523201,FDB4594,0986495337,MDB3477,HIGH,Same platform as Tucson TL
Kia,Sportage,2016,2021,QL,rear,284,58302-D3A00,P30072,GDB3571,2523301,FDB4595,0986495338,MDB3478,HIGH,Same platform as Tucson TL
Kia,Sportage,2022,2025,NQ5,front,305,58101-P4A10,P30085,GDB3705,2555601,FDB5221,0986495438,MDB3601,MEDIUM,NQ5 - shares Tucson NX4 platform
Kia,Sportage,2022,2025,NQ5,rear,300,58302-P4A10,P30086,GDB3706,2555701,FDB5222,0986495439,MDB3602,MEDIUM,NQ5
Kia,Picanto,2017,2025,JA,front,241,58101-G6A10,P30060,GDB3517,2473201,FDB4399,0986494715,MDB3319,HIGH,JA platform - rear drums standard
Kia,Niro,2016,2025,DE/SG2,front,280,58101-G4A10,P30073,GDB3597,2531501,FDB4663,0986495364,MDB3496,MEDIUM,Shares i30 platform pads
Kia,Niro,2016,2025,DE/SG2,rear,262,58302-G4A10,P30074,GDB3598,2531601,FDB4664,0986495365,MDB3497,MEDIUM,Shares i30 platform pads
