make,model,year_from,year_to,engine_code,fuel_type,oil_filter_oem,oil_filter_mann,oil_filter_filtron,air_filter_oem,air_filter_mann,air_filter_filtron,cabin_filter_oem,cabin_filter_mann,cabin_filter_filtron,notes
BMW,2 Series,2014,2021,N20B20,petrol,11 42 7 953 129,HU 816 x,OE 649/7,13 71 7 602 643,C 30 135,AP 035/3,64 11 9 237 555,CUK 25 001,K 1311A,Same as 1 Series/3 Series N20
BMW,2 Series,2014,2021,B47D20,diesel,11 42 8 575 211,HU 6015 z,OE 688/6,13 71 8 519 129,C 25 070,AP 139/5,64 11 9 237 555,CUK 25 001,K 1311A,
BMW,2 Series Gran Coupe,2020,2024,B38B15,petrol,11 42 8 575 211,HU 6015 z,OE 688/6,13 71 8 519 129,C 25 070,AP 139/5,64 11 9 321 875,CUK 26 023,K 1432,Same as 1 Series F40
BMW,2 Series Gran Coupe,2020,2024,B48B20,petrol,11 42 8 575 211,HU 6015 z,OE 688/6,13 71 8 519 129,C 25 070,AP 139/5,64 11 9 321 875,CUK 26 023,K 1432,
BMW,4 Series,2013,2020,N20B20,petrol,11 42 7 953 129,HU 816 x,OE 649/7,13 71 7 602 643,C 30 135,AP 035/3,64 11 9 237 555,CUK 25 001,K 1311A,Same as 3 Series F30
BMW,4 Series,2021,2024,B48B20,petrol,11 42 8 575 211,HU 6015 z,OE 688/6,13 71 8 519 129,C 25 070,AP 139/5,64 11 9 321 875,CUK 26 023,K 1432,Same as 3 Series G20
BMW,4 Series,2021,2024,B47D20,diesel,11 42 8 575 211,HU 6015 z,OE 688/6,13 71 8 519 129,C 25 070,AP 139/5,64 11 9 321 875,CUK 26 023,K 1432,
BMW,5 Series,2010,2016,N20B20,petrol,11 42 7 953 129,HU 816 x,OE 649/7,13 71 7 602 643,C 30 135,AP 035/3,64 11 9 163 329,CUK 25 001,K 1311A,F10 same oil filter as 3 Series
BMW,5 Series,2017,2024,B48B20,petrol,11 42 8 575 211,HU 6015 z,OE 688/6,13 71 8 519 129,C 25 070,AP 139/5,64 11 9 321 875,CUK 26 023,K 1432,G30/G60
BMW,5 Series,2017,2024,B47D20,diesel,11 42 8 575 211,HU 6015 z,OE 688/6,13 71 8 519 129,C 25 070,AP 139/5,64 11 9 321 875,CUK 26 023,K 1432,
BMW,5 Series,2017,2024,B58B30,petrol,11 42 8 575 211,HU 6015 z,OE 688/6,13 71 8 519 129,C 25 070,AP 139/5,64 11 9 321 875,CUK 26 023,K 1432,540i same filter housing
BMW,6 Series GT,2017,2024,B48B20,petrol,11 42 8 575 211,HU 6015 z,OE 688/6,13 71 8 519 129,C 25 070,AP 139/5,64 11 9 321 875,CUK 26 023,K 1432,Same as 5 Series G30
BMW,7 Series,2015,2024,B48B20,petrol,11 42 8 575 211,HU 6015 z,OE 688/6,13 71 8 519 129,C 25 070,AP 139/5,64 11 9 321 875,CUK 26 023,K 1432,730i
BMW,7 Series,2015,2024,B58B30,petrol,11 42 8 575 211,HU 6015 z,OE 688/6,13 71 8 519 129,C 25 070,AP 139/5,64 11 9 321 875,CUK 26 023,K 1432,740i
BMW,7 Series,2015,2024,B57D30,diesel,11 42 8 575 211,HU 6015 z,OE 688/6,13 71 8 519 129,C 25 070,AP 139/5,64 11 9 321 875,CUK 26 023,K 1432,730d/740d
BMW,8 Series,2018,2024,B58B30,petrol,11 42 8 575 211,HU 6015 z,OE 688/6,13 71 8 519 129,C 25 070,AP 139/5,64 11 9 321 875,CUK 26 023,K 1432,Same filter housing as 7 Series
BMW,X2,2018,2024,B48B20,petrol,11 42 8 575 211,HU 6015 z,OE 688/6,13 71 8 519 129,C 25 070,AP 139/5,64 31 9 194 098,CUK 26 009,K 1311A,Same as X1
BMW,X2,2018,2024,B47D20,diesel,11 42 8 575 211,HU 6015 z,OE 688/6,13 71 8 519 129,C 25 070,AP 139/5,64 31 9 194 098,CUK 26 009,K 1311A,
BMW,X4,2018,2024,B48B20,petrol,11 42 8 575 211,HU 6015 z,OE 688/6,13 71 8 519 129,C 25 070,AP 139/5,64 11 9 321 875,CUK 26 023,K 1432,Same as X3
BMW,X4,2018,2024,B47D20,diesel,11 42 8 575 211,HU 6015 z,OE 688/6,13 71 8 519 129,C 25 070,AP 139/5,64 11 9 321 875,CUK 26 023,K 1432,
BMW,X6,2019,2024,B58B30,petrol,11 42 8 575 211,HU 6015 z,OE 688/6,13 71 8 519 129,C 25 070,AP 139/5,64 11 9 321 875,CUK 26 023,K 1432,Same as X5
BMW,X7,2019,2024,B58B30,petrol,11 42 8 575 211,HU 6015 z,OE 688/6,13 71 8 519 129,C 25 070,AP 139/5,64 11 9 321 875,CUK 26 023,K 1432,
BMW,Z4,2019,2024,B48B20,petrol,11 42 8 575 211,HU 6015 z,OE 688/6,13 71 8 519 129,C 25 070,AP 139/5,64 11 9 321 875,CUK 26 023,K 1432,G29 same as 3 Series
BMW,M3,2021,2024,S58B30,petrol,11 42 8 575 211,HU 6015 z,OE 688/6,13 71 8 519 129,C 25 070,AP 139/5,64 11 9 321 875,CUK 26 023,K 1432,Same filter housing
BMW,i3,2013,2022,,electric,,,,,,,64 11 9 237 555,CUK 25 001,K 1311A,EV - cabin filter only
BMW,i4,2021,2024,,electric,,,,,,,64 11 9 321 875,CUK 26 023,K 1432,EV - cabin filter only
BMW,iX,2021,2024,,electric,,,,,,,64 11 9 321 875,CUK 26 023,K 1432,EV - cabin filter only
BMW,iX1,2023,2024,,electric,,,,,,,64 31 9 194 098,CUK 26 009,K 1311A,Same cabin as X1
BMW,iX3,2020,2024,,electric,,,,,,,64 11 9 321 875,CUK 26 023,K 1432,Same cabin as X3
Mercedes-Benz,CLA,2013,2019,M270,petrol,270 180 01 09,HU 711/51 x,OE 682/2,270 094 02 04,C 27 006,AP 035/4,246 830 03 18,CUK 29 005,K 1316A,Same as A-Class W176
Mercedes-Benz,CLA,2020,2024,M282,petrol,282 180 00 09,HU 6008 z,OE 688/7,177 094 02 05,C 22 019,AP 183/4,177 830 00 00,CUK 26 023,K 1432,Same as A-Class W177
Mercedes-Benz,GLB,2020,2024,M282,petrol,282 180 00 09,HU 6008 z,OE 688/7,177 094 02 05,C 22 019,AP 183/4,247 830 00 00,CUK 26 023,K 1432,
Mercedes-Benz,B-Class,2019,2024,M282,petrol,282 180 00 09,HU 6008 z,OE 688/7,177 094 02 05,C 22 019,AP 183/4,177 830 00 00,CUK 26 023,K 1432,W247 same as A-Class
Mercedes-Benz,GLE,2019,2024,M264,petrol,264 180 00 09,HU 6008 z,OE 688/7,167 094 00 04,C 30 030,AP 035/7,167 835 00 00,CUK 29 005,K 1316A,W167
Mercedes-Benz,GLE,2019,2024,OM654,diesel,654 180 01 09,HU 6008 z,OE 688/7,167 094 00 04,C 30 030,AP 035/7,167 835 00 00,CUK 29 005,K 1316A,
Mercedes-Benz,GLE Coupe,2020,2024,M264,petrol,264 180 00 09,HU 6008 z,OE 688/7,167 094 00 04,C 30 030,AP 035/7,167 835 00 00,CUK 29 005,K 1316A,C167 same as GLE
Mercedes-Benz,GLS,2020,2024,M256,petrol,256 180 00 09,HU 6008 z,OE 688/7,167 094 00 04,C 30 030,AP 035/7,167 835 00 00,CUK 29 005,K 1316A,X167 same cabin as GLE
Mercedes-Benz,S-Class,2014,2020,M274,petrol,274 180 00 09,HU 711/51 x,OE 682/2,274 094 01 04,C 30 017,AP 035/5,222 830 00 18,CUK 29 005,K 1316A,W222
Mercedes-Benz,S-Class,2021,2024,M256,petrol,256 180 00 09,HU 6008 z,OE 688/7,223 094 00 04,C 30 030,AP 035/7,223 830 00 00,CUK 29 005,K 1316A,W223
Mercedes-Benz,CLS,2019,2024,M256,petrol,256 180 00 09,HU 6008 z,OE 688/7,213 094 01 04,C 30 030,AP 035/7,213 835 00 47,CUK 29 005,K 1316A,C257
Mercedes-Benz,G-Class,2018,2024,M256,petrol,256 180 00 09,HU 6008 z,OE 688/7,463 094 01 04,C 30 030,AP 035/7,463 830 01 18,CUK 29 005,K 1316A,W463A
Mercedes-Benz,SL,2022,2024,M256,petrol,256 180 00 09,HU 6008 z,OE 688/7,232 094 00 04,C 30 030,AP 035/7,232 830 00 00,CUK 29 005,K 1316A,R232
Mercedes-Benz,V-Class,2014,2024,OM651,diesel,651 180 01 09,HU 711/51 x,OE 682/2,651 094 02 04,C 30 017,AP 035/5,447 830 00 00,CUK 29 005,K 1316A,W447
Mercedes-Benz,Vito,2014,2024,OM651,diesel,651 180 01 09,HU 711/51 x,OE 682/2,651 094 02 04,C 30 017,AP 035/5,447 830 00 00,CUK 29 005,K 1316A,Same as V-Class
Mercedes-Benz,Sprinter,2018,2024,OM654,diesel,654 180 01 09,HU 6008 z,OE 688/7,907 094 00 04,C 32 005,AP 183/5,907 835 00 00,CUK 29 005,K 1316A,W907
Mercedes-Benz,EQA,2021,2024,,electric,,,,,,,243 830 00 00,CUK 26 023,K 1432,EV cabin filter only
Mercedes-Benz,EQB,2022,2024,,electric,,,,,,,247 830 00 00,CUK 26 023,K 1432,EV cabin filter
Mercedes-Benz,EQE,2022,2024,,electric,,,,,,,295 830 00 00,CUK 29 005,K 1316A,EV cabin filter
Mercedes-Benz,EQS,2022,2024,,electric,,,,,,,297 830 00 00,CUK 29 005,K 1316A,EV cabin filter
Audi,A1,2010,2018,CWVA,petrol,04E 115 561 H,W 712/95,OP 641/2,6C0 129 620,C 25 056,AP 139/4,6R0 819 653,CUK 26 010,K 1311,Same as VW Polo
Audi,A1,2019,2024,DKRF,petrol,04E 115 561 H,W 712/95,OP 641/2,04C 129 620 C,C 25 070,AP 139/5,2Q0 819 653,CUK 26 009,K 1311A,
Audi,A5,2016,2024,CZDA,petrol,04E 115 561 H,W 712/95,OP 641/2,8W0 133 843,C 30 030,AP 139/6,4M0 819 439 A,CUK 2939,K 1350A,Same as A4
Audi,A5,2016,2024,DFGA,diesel,03N 115 562,HU 7012 z,OE 688/1,8W0 133 843,C 30 030,AP 139/6,4M0 819 439 A,CUK 2939,K 1350A,
Audi,A6,2011,2024,CZDA,petrol,04E 115 561 H,W 712/95,OP 641/2,4G0 133 843 A,C 30 030,AP 139/6,4M0 819 439 A,CUK 2939,K 1350A,C7/C8
Audi,A6,2011,2024,DFGA,diesel,03N 115 562,HU 7012 z,OE 688/1,4G0 133 843 A,C 30 030,AP 139/6,4M0 819 439 A,CUK 2939,K 1350A,
Audi,A7,2018,2024,CZDA,petrol,04E 115 561 H,W 712/95,OP 641/2,4G0 133 843 A,C 30 030,AP 139/6,4M0 819 439 A,CUK 2939,K 1350A,Same as A6
Audi,A7,2018,2024,DFGA,diesel,03N 115 562,HU 7012 z,OE 688/1,4G0 133 843 A,C 30 030,AP 139/6,4M0 819 439 A,CUK 2939,K 1350A,
Audi,A8,2018,2024,CZDA,petrol,04E 115 561 H,W 712/95,OP 641/2,4M0 133 843 B,C 30 030,AP 139/6,4M0 819 439 A,CUK 2939,K 1350A,D5
Audi,TT,2014,2024,CZDA,petrol,04E 115 561 H,W 712/95,OP 641/2,5Q0 129 620 B,C 26 009,AP 139/3,5Q0 819 653,CUK 26 009,K 1311A,Same as A3
Audi,Q2,2017,2024,DKRF,petrol,04E 115 561 H,W 712/95,OP 641/2,04C 129 620 C,C 25 070,AP 139/5,5Q0 819 653,CUK 26 009,K 1311A,Same as VW T-Cross
Audi,Q2,2017,2024,CZDA,petrol,04E 115 561 H,W 712/95,OP 641/2,5Q0 129 620 B,C 26 009,AP 139/3,5Q0 819 653,CUK 26 009,K 1311A,
Audi,Q7,2015,2024,CZPA,petrol,06L 115 562,HU 6013 z,OE 688/3,4M0 133 843 B,C 30 030,AP 139/6,4M0 819 439 A,CUK 2939,K 1350A,
Audi,Q7,2015,2024,DFGA,diesel,03N 115 562,HU 7012 z,OE 688/1,4M0 133 843 B,C 30 030,AP 139/6,4M0 819 439 A,CUK 2939,K 1350A,
Audi,Q8,2019,2024,CZPA,petrol,06L 115 562,HU 6013 z,OE 688/3,4M0 133 843 B,C 30 030,AP 139/6,4M0 819 439 A,CUK 2939,K 1350A,Same as Q7
Audi,Q8 e-tron,2023,2024,,electric,,,,,,,4M0 819 439 A,CUK 2939,K 1350A,EV cabin filter only
Volvo,XC90,2015,2024,B4204T23,petrol,31372212,HU 711/51 x,OE 665/2,31370089,C 30 017,AP 035/5,31407748,CUK 2939,K 1350A,Same oil filter as XC60
Volvo,XC90,2015,2024,D4204T14,diesel,31372212,HU 711/51 x,OE 665/2,31370089,C 30 017,AP 035/5,31407748,CUK 2939,K 1350A,
Volvo,S60,2019,2024,B4204T47,petrol,31372212,HU 711/51 x,OE 665/2,31370089,C 30 017,AP 035/5,31390880,CUK 2939,K 1350A,Gen 3 same filters as XC40
Volvo,S60,2019,2024,D4204T14,diesel,31372212,HU 711/51 x,OE 665/2,31370089,C 30 017,AP 035/5,31390880,CUK 2939,K 1350A,
Volvo,S60,2010,2018,B4204T11,petrol,31372212,HU 711/51 x,OE 665/2,31370089,C 30 017,AP 035/5,31390880,CUK 2939,K 1350A,Gen 2
Volvo,V60,2018,2024,B4204T47,petrol,31372212,HU 711/51 x,OE 665/2,31370089,C 30 017,AP 035/5,31390880,CUK 2939,K 1350A,
Volvo,S90,2016,2024,B4204T23,petrol,31372212,HU 711/51 x,OE 665/2,31370089,C 30 017,AP 035/5,31407748,CUK 2939,K 1350A,Same as XC90
Volvo,V90,2016,2024,B4204T23,petrol,31372212,HU 711/51 x,OE 665/2,31370089,C 30 017,AP 035/5,31407748,CUK 2939,K 1350A,
Volvo,V40 Cross Country,2013,2019,B4204T11,petrol,31372212,HU 711/51 x,OE 665/2,31370089,C 30 017,AP 035/5,31390880,CUK 2939,K 1350A,Same as V40
Volvo,EX30,2024,2024,,electric,,,,,,,32296694,CUK 26 023,K 1432,EV cabin filter only
Volvo,EX90,2024,2024,,electric,,,,,,,32346498,CUK 2939,K 1350A,EV cabin filter only
Seat,Ateca,2016,2024,CZDA,petrol,04E 115 561 H,W 712/95,OP 641/2,5Q0 129 620 B,C 26 009,AP 139/3,5Q0 819 653,CUK 26 009,K 1311A,Same as VW Tiguan platform
Seat,Ateca,2016,2024,DFGA,diesel,03N 115 562,HU 7012 z,OE 688/1,5Q0 129 620 B,C 26 009,AP 139/3,5Q0 819 653,CUK 26 009,K 1311A,
Seat,Tarraco,2019,2024,CZDA,petrol,04E 115 561 H,W 712/95,OP 641/2,5Q0 129 620 B,C 26 009,AP 139/3,5Q0 819 653,CUK 26 009,K 1311A,Same as Skoda Kodiaq
Seat,Tarraco,2019,2024,DFGA,diesel,03N 115 562,HU 7012 z,OE 688/1,5Q0 129 620 B,C 26 009,AP 139/3,5Q0 819 653,CUK 26 009,K 1311A,
Seat,Alhambra,2010,2020,CZDA,petrol,04E 115 561 H,W 712/95,OP 641/2,3C0 129 620,C 30 030,AP 139/6,7H0 819 631,CUK 2939,K 1350A,Same as VW Sharan
Seat,Altea,2004,2015,CZCA,petrol,04E 115 561 H,W 712/95,OP 641/2,5Q0 129 620 B,C 26 009,AP 139/3,1K0 819 653 A,CUK 26 009,K 1311A,
Cupra,Born,2022,2024,,electric,,,,,,,1EA 819 641,CUK 26 009,K 1311A,EV - same MEB cabin filter
BMW,M4,2021,2024,S58B30,petrol,11 42 8 575 211,HU 6015 z,OE 688/6,13 71 8 519 129,C 25 070,AP 139/5,64 11 9 321 875,CUK 26 023,K 1432,Same as M3
BMW,i5,2023,2024,,electric,,,,,,,64 11 9 321 875,CUK 26 023,K 1432,EV cabin filter
BMW,i7,2022,2024,,electric,,,,,,,64 11 9 321 875,CUK 26 023,K 1432,EV cabin filter
BMW,iX2,2024,2024,,electric,,,,,,,64 31 9 194 098,CUK 26 009,K 1311A,Same cabin as X2/X1
DS,DS4,2011,2018,EP6,petrol,1109.CK,W 75/3,OP 575/3,1444.VZ,C 25 040,AP 058/5,6479.C2,CUK 26 009,K 1311A,Same as Peugeot 308
Hyundai,Creta,2016,2024,G4FG,petrol,26300-35505,W 811/80,OP 617,28113-A5800,C 28 014,AP 177/4,97133-B2000,CUK 24004,K 1329A,Same as i30 2012-2016
Kia,Carnival,2015,2024,D4HB,diesel,26300-35505,W 811/80,OP 617,28113-2P300,C 28 028,AP 182/3,97133-2E210,CUK 2532,K 1329A,Same as Sorento
Land Rover,Range Rover Sport,2014,2024,PT204,petrol,LR073669,HU 6004 x,OE 682/4,LR122592,C 27 050,AP 035/7,LR117485,CUK 26 023,K 1432,Same as Velar
MG,5,2020,2024,15S4G,petrol,10405642,W 811/80,OP 617,10405878,C 22 020,AP 120/5,10242940,CU 22 011,K 1350,Same as ZS
Porsche,Cayenne,2018,2024,DCBA,petrol,06L 115 562,HU 6013 z,OE 688/3,95B 129 620 A,C 30 030,AP 139/6,95B 819 631,CUK 2939,K 1350A,VW Group
GWM,Haval H6,2021,2024,GW4C20B,petrol,1017100GG010,W 811/80,OP 617,1109120XKZ36A,C 30 017,AP 035/5,8104300XKZ36A,CU 22 011,K 1350,Chinese OEM - verify
Geely,Emgrand,2020,2024,JLC-4G15,petrol,1016050811,W 811/80,OP 617,1016012681,C 22 020,AP 120/5,8022003200,CU 22 011,K 1350,Same filter family as Coolray
Tesla,Model S,2012,2024,,electric,,,,,,,1035125-00-A,FP 6724,,EV cabin filter only - different from Model 3/Y
