make,model,year_from,year_to,engine_code,oil_filter_oem,oil_filter_mann,oil_filter_filtron,air_filter_oem,air_filter_mann,air_filter_filtron,cabin_filter_oem,cabin_filter_mann,cabin_filter_filtron
Toyota,Corolla,2008,2018,1ZR-FE,04152-YZZA6,HU 6006 z,OE 685/2,17801-YZZ05,C 25 040,AP 142/9,87139-YZZ20,CU 1919,K 1210
Toyota,Corolla,2008,2018,2ZR-FE,04152-YZZA6,HU 6006 z,OE 685/2,17801-YZZ05,C 25 040,AP 142/9,87139-YZZ20,CU 1919,K 1210
Toyota,Corolla,2019,2024,2ZR-FXE,04152-YZZA6,HU 6006 z,OE 685/2,17801-21060,C 2442,AP 142/9,87139-12010,CUK 2442,K 1311A
Toyota,Corolla,2019,2024,M20A-FKS,04152-YZZA1,HU 7019 z,OE 688/2,17801-F0050,C 27 030,AP 183/3,87139-12010,CUK 2442,K 1311A
Toyota,Yaris,2010,2014,1NZ-FE,04152-YZZA6,HU 6006 z,OE 685/2,17801-21060,C 2442,AP 142/9,87139-52040,CU 1829,K 1210
Toyota,Yaris,2015,2020,1NR-FE,04152-YZZA6,HU 6006 z,OE 685/2,17801-0Y040,C 22 018,AP 142/8,87139-52040,CU 1829,K 1210
Toyota,Yaris,2021,2024,M15A-FKS,04152-YZZA1,HU 7019 z,OE 688/2,17801-77050,C 22 019,AP 183/4,87139-52040,CU 1829,K 1210
Toyota,Yaris,2021,2024,M15A-FXE,04152-YZZA1,HU 7019 z,OE 688/2,17801-77050,C 22 019,AP 183/4,87139-52040,CU 1829,K 1210
Toyota,RAV4,2013,2018,2AR-FE,04152-31090,HU 7019 z,OE 688/2,17801-38011,C 30 017,AP 177/6,87139-0R030,CUK 2862,K 1316A
Toyota,RAV4,2019,2024,A25A-FKS,04152-YZZA1,HU 7019 z,OE 688/2,17801-F0050,C 27 030,AP 183/3,87139-0R030,CUK 2862,K 1316A
Toyota,RAV4,2019,2024,A25A-FXS,04152-YZZA1,HU 7019 z,OE 688/2,17801-F0050,C 27 030,AP 183/3,87139-0R030,CUK 2862,K 1316A
Toyota,Camry,2012,2017,2AR-FE,04152-31090,HU 7019 z,OE 688/2,17801-38011,C 30 017,AP 177/6,87139-06080,CUK 2862,K 1316A
Toyota,Camry,2018,2024,A25A-FKS,04152-YZZA1,HU 7019 z,OE 688/2,17801-F0050,C 27 030,AP 183/3,87139-06080,CUK 2862,K 1316A
Toyota,C-HR,2017,2024,2ZR-FXE,04152-YZZA6,HU 6006 z,OE 685/2,17801-21060,C 2442,AP 142/9,87139-F4010,CUK 2442,K 1311A
Toyota,C-HR,2017,2024,M20A-FKS,04152-YZZA1,HU 7019 z,OE 688/2,17801-F0050,C 27 030,AP 183/3,87139-F4010,CUK 2442,K 1311A
Toyota,Land Cruiser,2010,2021,1GR-FE,90915-30002,W 68/3,OP 621,17801-38051,C 31 018,AP 189,87139-60040,CUK 2145,K 1230
Toyota,Hilux,2015,2024,2GD-FTV,04152-38020,HU 7019 z,OE 688/2,17801-0L090,C 32 005,AP 183/5,87139-0K070,CUK 2862,K 1316A
Toyota,Hilux,2015,2024,1GD-FTV,04152-38020,HU 7019 z,OE 688/2,17801-0L090,C 32 005,AP 183/5,87139-0K070,CUK 2862,K 1316A
Toyota,Fortuner,2016,2024,2GD-FTV,04152-38020,HU 7019 z,OE 688/2,17801-0L090,C 32 005,AP 183/5,87139-0K070,CUK 2862,K 1316A
Toyota,Corolla Cross,2022,2024,2ZR-FXE,04152-YZZA6,HU 6006 z,OE 685/2,17801-21060,C 2442,AP 142/9,87139-12010,CUK 2442,K 1311A
Toyota,Corolla Cross,2022,2024,M20A-FKS,04152-YZZA1,HU 7019 z,OE 688/2,17801-F0050,C 27 030,AP 183/3,87139-12010,CUK 2442,K 1311A
Hyundai,i20,2012,2020,G4FA,26300-35505,W 811/80,OP 617,28113-1J000,C 28 011,AP 177/1,97133-D1000,CUK 2532,K 1329A
Hyundai,i20,2021,2024,G4LC,26300-35505,W 811/80,OP 617,28113-L1000,C 27 021,AP 177/7,97133-L1000,CUK 25012,K 1432A
Hyundai,i30,2012,2016,G4FD,26300-35505,W 811/80,OP 617,28113-A5800,C 28 014,AP 177/4,97133-B2000,CUK 24004,K 1329A
Hyundai,i30,2017,2024,G4FJ,26300-35505,W 811/80,OP 617,28113-J9100,C 27 021,AP 177/7,97133-J9100,CUK 25012,K 1432A
Hyundai,i30,2017,2024,G4LD,26300-35505,W 811/80,OP 617,28113-J9100,C 27 021,AP 177/7,97133-J9100,CUK 25012,K 1432A
Hyundai,i30,2021,2024,G4FP,26300-35505,W 811/80,OP 617,28113-J9100,C 27 021,AP 177/7,97133-J9100,CUK 25012,K 1432A
Hyundai,Tucson,2010,2015,G4FD,26300-35505,W 811/80,OP 617,28113-2S000,C 28 028,AP 182/3,97133-2E250,CUK 2532,K 1329A
Hyundai,Tucson,2016,2020,G4FJ,26300-35505,W 811/80,OP 617,28113-D3300,C 28 041,AP 182/5,97133-D3000,CUK 25012,K 1432A
Hyundai,Tucson,2021,2024,G4FP,26300-35505,W 811/80,OP 617,28113-L1500,C 28 042,AP 182/6,97133-L1000,CUK 25012,K 1432A
Hyundai,Tucson,2021,2024,G4NL,26300-35505,W 811/80,OP 617,28113-L1500,C 28 042,AP 182/6,97133-L1000,CUK 25012,K 1432A
Hyundai,Kona,2018,2024,G4LD,26300-35505,W 811/80,OP 617,28113-J9100,C 27 021,AP 177/7,97133-J9100,CUK 25012,K 1432A
Hyundai,Ioniq,2017,2022,G4LE,26300-35505,W 811/80,OP 617,28113-G2200,C 26 023,AP 177/5,97133-G2000,CUK 25012,K 1432A
Hyundai,Santa Fe,2013,2018,G4KE,26300-35505,W 811/80,OP 617,28113-2P300,C 28 028,AP 182/3,97133-2E250,CUK 2532,K 1329A
Hyundai,Santa Fe,2019,2024,G4KL,26300-35505,W 811/80,OP 617,28113-S1100,C 28 042,AP 182/6,97133-S1000,CUK 25012,K 1432A
Hyundai,Elantra,2016,2024,G4FG,26300-35505,W 811/80,OP 617,28113-A5800,C 28 014,AP 177/4,97133-F2000,CUK 25012,K 1432A
Hyundai,Bayon,2021,2024,G4LC,26300-35505,W 811/80,OP 617,28113-L1000,C 27 021,AP 177/7,97133-L1000,CUK 25012,K 1432A
Kia,Sportage,2010,2015,G4FD,26300-35505,W 811/80,OP 617,28113-2S000,C 28 028,AP 182/3,97133-2E250,CUK 2532,K 1329A
Kia,Sportage,2016,2021,G4FJ,26300-35505,W 811/80,OP 617,28113-D3300,C 28 041,AP 182/5,97133-D3000,CUK 25012,K 1432A
Kia,Sportage,2022,2024,G4FP,26300-35505,W 811/80,OP 617,28113-S1100,C 28 042,AP 182/6,97133-S1000,CUK 25012,K 1432A
Kia,Picanto,2012,2024,G4LA,26300-35505,W 811/80,OP 617,28113-07100,C 24 015,AP 108/7,97133-B5000,CUK 2316,K 1316
Kia,Picanto,2018,2024,G3LC,26300-35505,W 811/80,OP 617,28113-J9000,C 24 016,AP 108/8,97133-B5000,CUK 2316,K 1316
