make,model
אאודי,'אוט 1600 A4 אודי
אאודי,'אוט 1800 A6 אודי
אאודי,'אוט 2000 A6 אודי
אאודי,'אוט 2600 A4 אודי
אאודי,'אוט 2600 A6 אודי
אאודי,'אוט 3700 A8 אודי
אאודי,'כ2_AUDI-A4 8D20LK
אאודי,'כ2_AUDI-A4 8D20Y4
אאודי,'כ2_AUDI-A4 8D20Y8
אאודי,'כר2 8D2064
אאודי,'כר2 8D2068
אאודי,'כר2_8D20C4
אאודי,'כר2_8D20HK
אאודי,'כר2_8D50HK
אאודי,'כר2_8D50Y4
אאודי,'כר2_8D50Y8
אאודי,'כר6+_4D2G6A
אאודי,1600 A4 אודי
אאודי,1800 A4 אודי
אאודי,2B20QK
אאודי,35CFU
אאודי,42-4S30AE
אאודי,42301B
אאודי,42301T
אאודי,42302B
אאודי,42302T
אאודי,4230NE
אאודי,4230NT
אאודי,4A2AIG
אאודי,4A2C2Y
אאודי,4A2C3Y
אאודי,4A2C7Y
אאודי,4A2CMY
אאודי,4A5RCA
אאודי,4A5RRA
אאודי,4B202H
אאודי,4B202L
אאודי,4B206H
אאודי,4B207Z
אאודי,4B20AH
אאודי,4B20BH
אאודי,4B20CH
אאודי,4B20HK
אאודי,4B20LK
אאודי,4B20QH
אאודי,4B20QK
אאודי,4B20QZ
אאודי,4B20RK
אאודי,4B20SH
אאודי,4B20TK
אאודי,4B20TZ
אאודי,4B20XK
אאודי,4B20Y4
אאודי,4B20YH
אאודי,4B2OQZ
אאודי,4B401Z
אאודי,4B50Y4
אאודי,4BH0FZ
אאודי,4BH0XZ
אאודי,4BHO7Z
אאודי,4BHOXZ
אאודי,4D26MK
אאודי,4D2G2A
אאודי,4D2G2K
אאודי,4D2G6K
אאודי,4D2G6Z
אאודי,4D2GFZ
אאודי,4D2GGZ
אאודי,4D2GHK
אאודי,4D2GHZ
אאודי,4D8GGZ
אאודי,4E201L
אאודי,4E202L
אאודי,4E204L
אאודי,4E205H
אאודי,4E205L
אאודי,4E208H
אאודי,4E20FL
אאודי,4E2SSL
אאודי,4E801L
אאודי,4E805H
אאודי,4E808H
אאודי,4E80CL
אאודי,4E80FL
אאודי,4E8OCL
אאודי,4F201L
אאודי,4F203L
אאודי,4F205L
אאודי,4F206H
אאודי,4F208H
אאודי,4F20DL
אאודי,4F20FH
אאודי,4F20NH
אאודי,4F20NL
אאודי,4F20QH
אאודי,4F20RH
אאודי,4F20TH
אאודי,4F20VL
אאודי,4F20WH
אאודי,4F20WL
אאודי,4F20YL
אאודי,4F2RUL
אאודי,4F2SSL
אאודי,4F5RUL
אאודי,4G201Y
אאודי,4G205H
אאודי,4G205Y
אאודי,4G206Y
אאודי,4G207H
אאודי,4G20JY
אאודי,4G2S3Y
אאודי,4G5RRA
אאודי,4GA01Y
אאודי,4GA05Y
אאודי,4GA06Y
אאודי,4GARRA
אאודי,4GAS3Y
אאודי,4GC02Y
אאודי,4GC06G
אאודי,4GC08G
אאודי,4GC08Y
אאודי,4GCSFY
אאודי,4GDRAA
אאודי,4GF02Y
אאודי,4GF06G
אאודי,4GF08G
אאודי,4GF08Y
אאודי,4GFRAA
אאודי,4GFSFY
אאודי,4H20AA
אאודי,4H20CA
אאודי,4H20VA
אאודי,4H2SSA
אאודי,4H80AA
אאודי,4H80CA
אאודי,4H80GA
אאודי,4H80VA
אאודי,4HC01A
אאודי,4HC06G
אאודי,4HC0CA
אאודי,4HCS5A
אאודי,4HCSSA
אאודי,4HL01A
אאודי,4HL0CA
אאודי,4HLPCA
אאודי,4KA02Y
אאודי,4KA07Y
אאודי,4KA0MY
אאודי,4KA0QY
אאודי,4KARCA
אאודי,4KARRA
אאודי,4LB0EL
אאודי,4LB0GA
אאודי,4LB0ML
אאודי,4LBODL
אאודי,4LBOEL
אאודי,4LBOML
אאודי,4LBOPL
אאודי,4MGSW1
אאודי,4MTRR2
אאודי,4N20DA
אאודי,4N20HA
אאודי,4N2SSA
אאודי,4N80DA
אאודי,4NC0DA
אאודי,4NC0HA
אאודי,4NCSSA
אאודי,4NL0HA
אאודי,4S30AE
אאודי,4S90AE
אאודי,4SPRAF
אאודי,4SPRDE
אאודי,4SPREE
אאודי,4SPREF
אאודי,4SRREF
אאודי,8 D 20 HA
אאודי,8B-F53CAY
אאודי,8D204K
אאודי,8D204Z
אאודי,8D2064
אאודי,8D2068
אאודי,8D20C4
אאודי,8D20C8
אאודי,8D20F4
אאודי,8D20FK
אאודי,8D20H4
אאודי,8D20HK
אאודי,8D20LK
אאודי,8D20UZ
אאודי,8D20Y4
אאודי,8D20Y8
אאודי,8D2OUK
אאודי,8D504K
אאודי,8D50C4
אאודי,8D50C8
אאודי,8D50F4
אאודי,8D50FK
אאודי,8D50H4
אאודי,8D50HK
אאודי,8D50LK
אאודי,8D50UZ
אאודי,8D50Y4
אאודי,8D50Y8
אאודי,8D5OFK
אאודי,8E2014
אאודי,8E201H
אאודי,8E20A4
אאודי,8E20AH
אאודי,8E20BH
אאודי,8E20DH
