api_prefix,api_pattern,model,generation,years_approx,notes
176,starts_with,A-Class,W176,2013-2018,
177,starts_with,A-Class,W177,2019-2024,
118,starts_with,CLA,C118,2020-2024,CLA Coupe
117,starts_with,CLA,C117,2013-2019,CLA Coupe old gen
5J5,starts_with,CLA,C118,2020-2024,CLA new internal code
5J8,starts_with,CLA,C118,2020-2024,
156,starts_with,GLA,X156,2014-2019,GLA old gen
247,starts_with,GLA/GLB,H247/X247,2020-2024,GLA H247 or GLB X247
246,starts_with,B-Class,W246,2012-2018,
202,starts_with,C-Class,W202,1993-2000,
203,starts_with,C-Class,W203,2000-2007,
204,starts_with,C-Class,W204,2007-2014,
205,starts_with,C-Class,W205,2014-2021,
206,starts_with,C-Class,W206,2022-2024,
207,starts_with,E-Class Coupe,C207,2009-2017,
208,starts_with,E-Class Coupe,C238,2017-2024,CLE/E Coupe new
238,starts_with,E-Class Coupe,C238,2017-2024,E-Class Coupe/Cabrio
210,starts_with,E-Class,W210,1996-2003,
211,starts_with,E-Class,W211,2003-2009,
212,starts_with,E-Class,W212,2009-2016,
213,starts_with,E-Class,W213,2016-2024,
216,starts_with,S-Class Coupe,C216,2006-2013,CL-Class/S Coupe
217,starts_with,S-Class Coupe,C217,2014-2021,S-Class Coupe
218,starts_with,CLS,C218,2011-2018,CLS Shooting Brake
219,starts_with,CLS,C219,2004-2010,
257,starts_with,CLS,C257,2018-2024,CLS new gen
283,starts_with,CLS,C257,2018-2024,CLS variant codes
221,starts_with,S-Class,W221,2005-2013,
222,starts_with,S-Class,W222,2013-2020,
223,starts_with,S-Class,W223,2021-2024,
230,starts_with,SL,R230,2001-2011,
231,starts_with,SL,R231,2012-2020,
232,starts_with,SL,R232,2022-2024,SL new gen
233,starts_with,AMG GT,X290/C192,2018-2024,AMG GT 4-door or new
235,starts_with,SLC,R172,2016-2020,
171,starts_with,SLK,R171,2004-2011,
172,starts_with,SLK/SLC,R172,2011-2020,
190,starts_with,SL,R190,2012-2020,SL variant
197,starts_with,SLS/AMG GT,C197/R190,2010-2024,
164,starts_with,M-Class/GLE,W164,2005-2011,ML old gen
166,starts_with,GLE,W166,2012-2018,
167,starts_with,GLE,W167,2019-2024,
292,starts_with,GLE Coupe,C292,2015-2019,
293,starts_with,GLE Coupe,C167,2020-2024,
295,starts_with,GLS,X167,2020-2024,
297,starts_with,GLS,X167,2020-2024,GLS variant codes
251,starts_with,R-Class,W251,2006-2013,
253,starts_with,GLC,X253,2016-2022,
254,starts_with,GLC,X254,2023-2024,GLC new gen
463,starts_with,G-Class,W463/W463A,1990-2024,G-Wagen
274,starts_with,G-Class,W463A,2018-2024,G-Class variant
243,starts_with,EQE SUV,X294,2023-2024,
415,starts_with,Citan,W415,2012-2021,
444,starts_with,V-Class,W447,2014-2024,V-Class variant
447,starts_with,V-Class/Vito,W447,2014-2024,
639,starts_with,Viano/Vito,W639,2003-2014,
906,starts_with,Sprinter,W906,2006-2018,
907,starts_with,Sprinter,W907,2018-2024,
290,starts_with,Sprinter,W907,2018-2024,Sprinter variant codes
470,starts_with,V-Class,W447,2014-2024,V-Class EQV
0J5,starts_with,C-Class,W204,2007-2014,Older Israeli-market code format for C-Class
0J8,starts_with,C-Class,W204,2007-2014,
0J1,starts_with,C-Class,W204,2007-2014,
0G8,starts_with,C-Class,W204,2007-2014,
WJ,starts_with,C-Class,W205/W206,2014-2024,Newer Israeli code
WK,starts_with,C-Class,W205/W206,2014-2024,
WM,starts_with,G-Class,W463A,2018-2024,
WC,starts_with,G-Class,W463A,2018-2024,
WH,starts_with,G-Class,W463A,2018-2024,
YC,starts_with,G-Class,W463A,2018-2024,
ZF,starts_with,E-Class,W212/W213,2009-2024,Israeli code for E-Class
ZA,starts_with,E-Class,W213,2016-2024,
1J,starts_with,S-Class,W222/W223,2013-2024,Israeli code for S-Class
1K,starts_with,S-Class,W222/W223,2013-2024,
2J,starts_with,S-Class,W223,2021-2024,
2K,starts_with,S-Class,W223,2021-2024,
3F,starts_with,GLE,W167,2019-2024,Israeli code for GLE
3G,starts_with,GLE,W167,2019-2024,
3K,starts_with,GLE,W167,2019-2024,
3M,starts_with,GLE,W167,2019-2024,
4F,starts_with,GLS,X167,2020-2024,Israeli code for GLS
4N,starts_with,GLS,X167,2020-2024,
6G,starts_with,GLC,X253/X254,2016-2024,Israeli code for GLC
6F,starts_with,GLC,X253/X254,2016-2024,
6X,starts_with,GLC,X254,2023-2024,
7X,starts_with,SL/AMG,R232,2022-2024,Israeli code for SL/AMG
8P,starts_with,AMG GT,C192,2023-2024,
9M,starts_with,EQE,V295,2023-2024,Israeli code for EQE sedan
9N,starts_with,EQE,V295/X294,2023-2024,EQE sedan/SUV
KJ,starts_with,GLC,X253/X254,2016-2024,Another GLC code format
KM,starts_with,GLC,X254,2023-2024,GLC new gen
MJ,starts_with,GLE,W167,2019-2024,Another GLE code format
MK,starts_with,GLE,W167,2019-2024,
NJ,starts_with,EQS SUV,X296,2023-2024,
