source_file,row,make,model,engine,filter_type,csv_oem,status,corrected_oem,error_type,verification_source,notes
filter_specs.csv,2,Toyota,Corolla,1ZR-FE,oil_filter,04152-YZZA6,VERIFIED_EXISTS,,,Spareto OE lookup,
filter_specs.csv,2,Toyota,Corolla,1ZR-FE,air_filter,17801-YZZ05,VERIFIED_EXISTS,,,Spareto OE lookup,
filter_specs.csv,2,Toyota,Corolla,1ZR-FE,cabin_filter,87139-YZZ20,VERIFIED_EXISTS,,,Spareto OE lookup,
filter_specs.csv,3,Toyota,Corolla,2ZR-FE,oil_filter,04152-YZZA6,VERIFIED_EXISTS,,,Spareto OE lookup,
filter_specs.csv,3,Toyota,Corolla,2ZR-FE,air_filter,17801-YZZ05,VERIFIED_EXISTS,,,Spareto OE lookup,
filter_specs.csv,3,Toyota,Corolla,2ZR-FE,cabin_filter,87139-YZZ20,VERIFIED_EXISTS,,,Spareto OE lookup,
filter_specs.csv,4,Toyota,Corolla,2ZR-FXE,oil_filter,04152-YZZA6,VERIFIED_EXISTS,,,Spareto OE lookup,
filter_specs.csv,4,Toyota,Corolla,2ZR-FXE,air_filter,17801-21060,VERIFIED_EXISTS,,,Spareto OE lookup,
filter_specs.csv,4,Toyota,Corolla,2ZR-FXE,cabin_filter,87139-12010,VERIFIED_EXISTS,,,Spareto OE lookup,
filter_specs.csv,5,Toyota,Corolla,M20A-FKS,oil_filter,04152-YZZA1,VERIFIED_EXISTS,,,Spareto OE lookup,
filter_specs.csv,5,Toyota,Corolla,M20A-FKS,air_filter,17801-F0050,VERIFIED_EXISTS,,,Spareto OE lookup,
filter_specs.csv,5,Toyota,Corolla,M20A-FKS,cabin_filter,87139-12010,VERIFIED_EXISTS,,,Spareto OE lookup,
filter_specs.csv,6,Toyota,Yaris,1NZ-FE,oil_filter,04152-YZZA6,VERIFIED_EXISTS,,,Spareto OE lookup,
filter_specs.csv,6,Toyota,Yaris,1NZ-FE,air_filter,17801-21060,VERIFIED_EXISTS,,,Spareto OE lookup,
filter_specs.csv,6,Toyota,Yaris,1NZ-FE,cabin_filter,87139-52040,VERIFIED_EXISTS,,,Spareto OE lookup,
filter_specs.csv,7,Toyota,Yaris,1NR-FE,oil_filter,04152-YZZA6,VERIFIED_EXISTS,,,Spareto OE lookup,
filter_specs.csv,7,Toyota,Yaris,1NR-FE,air_filter,17801-0Y040,VERIFIED_EXISTS,,,Spareto OE lookup,
filter_specs.csv,7,Toyota,Yaris,1NR-FE,cabin_filter,87139-52040,VERIFIED_EXISTS,,,Spareto OE lookup,
filter_specs.csv,8,Toyota,Yaris,M15A-FKS,oil_filter,04152-YZZA1,VERIFIED_EXISTS,,,Spareto OE lookup,
filter_specs.csv,8,Toyota,Yaris,M15A-FKS,air_filter,17801-77050,VERIFIED_EXISTS,,,Spareto OE lookup,
filter_specs.csv,8,Toyota,Yaris,M15A-FKS,cabin_filter,87139-52040,VERIFIED_EXISTS,,,Spareto OE lookup,
filter_specs.csv,9,Toyota,Yaris,M15A-FXE,oil_filter,04152-YZZA1,VERIFIED_EXISTS,,,Spareto OE lookup,
filter_specs.csv,9,Toyota,Yaris,M15A-FXE,air_filter,17801-77050,VERIFIED_EXISTS,,,Spareto OE lookup,
filter_specs.csv,9,Toyota,Yaris,M15A-FXE,cabin_filter,87139-52040,VERIFIED_EXISTS,,,Spareto OE lookup,
filter_specs.csv,10,Toyota,RAV4,2AR-FE,oil_filter,04152-31090,VERIFIED_EXISTS,,,Spareto OE lookup,
filter_specs.csv,10,Toyota,RAV4,2AR-FE,air_filter,17801-38011,VERIFIED_EXISTS,,,Spareto OE lookup,
filter_specs.csv,10,Toyota,RAV4,2AR-FE,cabin_filter,87139-0R030,VERIFIED_EXISTS,,,Spareto OE lookup,
filter_specs.csv,11,Toyota,RAV4,A25A-FKS,oil_filter,04152-YZZA1,VERIFIED_EXISTS,,,Spareto OE lookup,
filter_specs.csv,11,Toyota,RAV4,A25A-FKS,air_filter,17801-F0050,VERIFIED_EXISTS,,,Spareto OE lookup,
filter_specs.csv,11,Toyota,RAV4,A25A-FKS,cabin_filter,87139-0R030,VERIFIED_EXISTS,,,Spareto OE lookup,
filter_specs.csv,12,Toyota,RAV4,A25A-FXS,oil_filter,04152-YZZA1,VERIFIED_EXISTS,,,Spareto OE lookup,
filter_specs.csv,12,Toyota,RAV4,A25A-FXS,air_filter,17801-F0050,VERIFIED_EXISTS,,,Spareto OE lookup,
filter_specs.csv,12,Toyota,RAV4,A25A-FXS,cabin_filter,87139-0R030,VERIFIED_EXISTS,,,Spareto OE lookup,
filter_specs.csv,13,Toyota,Camry,2AR-FE,oil_filter,04152-31090,VERIFIED_EXISTS,,,Spareto OE lookup,
filter_specs.csv,13,Toyota,Camry,2AR-FE,air_filter,17801-38011,VERIFIED_EXISTS,,,Spareto OE lookup,
filter_specs.csv,13,Toyota,Camry,2AR-FE,cabin_filter,87139-06080,VERIFIED_EXISTS,,,Spareto OE lookup,
filter_specs.csv,14,Toyota,Camry,A25A-FKS,oil_filter,04152-YZZA1,VERIFIED_EXISTS,,,Spareto OE lookup,
filter_specs.csv,14,Toyota,Camry,A25A-FKS,air_filter,17801-F0050,VERIFIED_EXISTS,,,Spareto OE lookup,
filter_specs.csv,14,Toyota,Camry,A25A-FKS,cabin_filter,87139-06080,VERIFIED_EXISTS,,,Spareto OE lookup,
filter_specs.csv,15,Toyota,C-HR,2ZR-FXE,oil_filter,04152-YZZA6,VERIFIED_EXISTS,,,Spareto OE lookup,
filter_specs.csv,15,Toyota,C-HR,2ZR-FXE,air_filter,17801-21060,VERIFIED_EXISTS,,,Spareto OE lookup,
filter_specs.csv,15,Toyota,C-HR,2ZR-FXE,cabin_filter,87139-F4010,VERIFIED_EXISTS,,,Spareto OE lookup,
filter_specs.csv,16,Toyota,C-HR,M20A-FKS,oil_filter,04152-YZZA1,VERIFIED_EXISTS,,,Spareto OE lookup,
filter_specs.csv,16,Toyota,C-HR,M20A-FKS,air_filter,17801-F0050,VERIFIED_EXISTS,,,Spareto OE lookup,
filter_specs.csv,16,Toyota,C-HR,M20A-FKS,cabin_filter,87139-F4010,VERIFIED_EXISTS,,,Spareto OE lookup,
filter_specs.csv,17,Toyota,Land Cruiser,1GR-FE,oil_filter,90915-30002,VERIFIED_EXISTS,,,Spareto OE lookup,
filter_specs.csv,17,Toyota,Land Cruiser,1GR-FE,air_filter,17801-38051,VERIFIED_EXISTS,,,Spareto OE lookup,
filter_specs.csv,17,Toyota,Land Cruiser,1GR-FE,cabin_filter,87139-60040,WRONG_CORRECTED,87139-60030,wrong_last_digits (60040->60030),Toyota Parts Express (2024-2025 Land Cruiser),Toyota Land Cruiser cabin filter. Close - last digit off.
filter_specs.csv,18,Toyota,Hilux,2GD-FTV,oil_filter,04152-38020,VERIFIED_EXISTS,,,Spareto OE lookup,
filter_specs.csv,18,Toyota,Hilux,2GD-FTV,air_filter,17801-0L090,LIKELY_FABRICATED,,Not found in any source,,Real Hilux numbers are 17801-0C010 or 17801-0L040. '0L090' suffix not found anywhere.
filter_specs.csv,18,Toyota,Hilux,2GD-FTV,cabin_filter,87139-0K070,VERIFIED_EXISTS,,,Spareto OE lookup,
filter_specs.csv,19,Toyota,Hilux,1GD-FTV,oil_filter,04152-38020,VERIFIED_EXISTS,,,Spareto OE lookup,
filter_specs.csv,19,Toyota,Hilux,1GD-FTV,air_filter,17801-0L090,LIKELY_FABRICATED,,Not found in any source,,Real Hilux numbers are 17801-0C010 or 17801-0L040. '0L090' suffix not found anywhere.
filter_specs.csv,19,Toyota,Hilux,1GD-FTV,cabin_filter,87139-0K070,VERIFIED_EXISTS,,,Spareto OE lookup,
filter_specs.csv,20,Toyota,Fortuner,2GD-FTV,oil_filter,04152-38020,VERIFIED_EXISTS,,,Spareto OE lookup,
filter_specs.csv,20,Toyota,Fortuner,2GD-FTV,air_filter,17801-0L090,LIKELY_FABRICATED,,Not found in any source,,Real Hilux numbers are 17801-0C010 or 17801-0L040. '0L090' suffix not found anywhere.
filter_specs.csv,20,Toyota,Fortuner,2GD-FTV,cabin_filter,87139-0K070,VERIFIED_EXISTS,,,Spareto OE lookup,
filter_specs.csv,21,Toyota,Corolla Cross,2ZR-FXE,oil_filter,04152-YZZA6,VERIFIED_EXISTS,,,Spareto OE lookup,
filter_specs.csv,21,Toyota,Corolla Cross,2ZR-FXE,air_filter,17801-21060,VERIFIED_EXISTS,,,Spareto OE lookup,
filter_specs.csv,21,Toyota,Corolla Cross,2ZR-FXE,cabin_filter,87139-12010,VERIFIED_EXISTS,,,Spareto OE lookup,
filter_specs.csv,22,Toyota,Corolla Cross,M20A-FKS,oil_filter,04152-YZZA1,VERIFIED_EXISTS,,,Spareto OE lookup,
filter_specs.csv,22,Toyota,Corolla Cross,M20A-FKS,air_filter,17801-F0050,VERIFIED_EXISTS,,,Spareto OE lookup,
filter_specs.csv,22,Toyota,Corolla Cross,M20A-FKS,cabin_filter,87139-12010,VERIFIED_EXISTS,,,Spareto OE lookup,
filter_specs.csv,23,Hyundai,i20,G4FA,oil_filter,26300-35505,VERIFIED_EXISTS,,,Spareto OE lookup,
filter_specs.csv,23,Hyundai,i20,G4FA,air_filter,28113-1J000,VERIFIED_EXISTS,,,Spareto OE lookup,
filter_specs.csv,23,Hyundai,i20,G4FA,cabin_filter,97133-D1000,VERIFIED_EXISTS,,,Spareto OE lookup,
filter_specs.csv,24,Hyundai,i20,G4LC,oil_filter,26300-35505,VERIFIED_EXISTS,,,Spareto OE lookup,
filter_specs.csv,24,Hyundai,i20,G4LC,air_filter,28113-L1000,VERIFIED_EXISTS,,,Spareto OE lookup,
filter_specs.csv,24,Hyundai,i20,G4LC,cabin_filter,97133-L1000,VERIFIED_EXISTS,,,Spareto OE lookup,
filter_specs.csv,25,Hyundai,i30,G4FD,oil_filter,26300-35505,VERIFIED_EXISTS,,,Spareto OE lookup,
filter_specs.csv,25,Hyundai,i30,G4FD,air_filter,28113-A5800,VERIFIED_EXISTS,,,Spareto OE lookup,
filter_specs.csv,25,Hyundai,i30,G4FD,cabin_filter,97133-B2000,VERIFIED_EXISTS,,,Spareto OE lookup,
filter_specs.csv,26,Hyundai,i30,G4FJ,oil_filter,26300-35505,VERIFIED_EXISTS,,,Spareto OE lookup,
filter_specs.csv,26,Hyundai,i30,G4FJ,air_filter,28113-J9100,WRONG_CORRECTED,28113-A9100,wrong_middle (J9100->A9100),hyundaioempartsdirect.com,Hyundai i30 air filter. Or 28113-S0100 for i30N.
filter_specs.csv,26,Hyundai,i30,G4FJ,cabin_filter,97133-J9100,LIKELY_FABRICATED,,Not found in any source,,Not found. 97133 prefix is correct for Hyundai cabin filters.
filter_specs.csv,27,Hyundai,i30,G4LD,oil_filter,26300-35505,VERIFIED_EXISTS,,,Spareto OE lookup,
filter_specs.csv,27,Hyundai,i30,G4LD,air_filter,28113-J9100,WRONG_CORRECTED,28113-A9100,wrong_middle (J9100->A9100),hyundaioempartsdirect.com,Hyundai i30 air filter. Or 28113-S0100 for i30N.
filter_specs.csv,27,Hyundai,i30,G4LD,cabin_filter,97133-J9100,LIKELY_FABRICATED,,Not found in any source,,Not found. 97133 prefix is correct for Hyundai cabin filters.
filter_specs.csv,28,Hyundai,i30,G4FP,oil_filter,26300-35505,VERIFIED_EXISTS,,,Spareto OE lookup,
filter_specs.csv,28,Hyundai,i30,G4FP,air_filter,28113-J9100,WRONG_CORRECTED,28113-A9100,wrong_middle (J9100->A9100),hyundaioempartsdirect.com,Hyundai i30 air filter. Or 28113-S0100 for i30N.
filter_specs.csv,28,Hyundai,i30,G4FP,cabin_filter,97133-J9100,LIKELY_FABRICATED,,Not found in any source,,Not found. 97133 prefix is correct for Hyundai cabin filters.
filter_specs.csv,29,Hyundai,Tucson,G4FD,oil_filter,26300-35505,VERIFIED_EXISTS,,,Spareto OE lookup,
filter_specs.csv,29,Hyundai,Tucson,G4FD,air_filter,28113-2S000,VERIFIED_EXISTS,,,Spareto OE lookup,
filter_specs.csv,29,Hyundai,Tucson,G4FD,cabin_filter,97133-2E250,VERIFIED_EXISTS,,,Spareto OE lookup,
filter_specs.csv,30,Hyundai,Tucson,G4FJ,oil_filter,26300-35505,VERIFIED_EXISTS,,,Spareto OE lookup,
filter_specs.csv,30,Hyundai,Tucson,G4FJ,air_filter,28113-D3300,VERIFIED_EXISTS,,,Spareto OE lookup,
filter_specs.csv,30,Hyundai,Tucson,G4FJ,cabin_filter,97133-D3000,VERIFIED_EXISTS,,,Spareto OE lookup,
filter_specs.csv,31,Hyundai,Tucson,G4FP,oil_filter,26300-35505,VERIFIED_EXISTS,,,Spareto OE lookup,
filter_specs.csv,31,Hyundai,Tucson,G4FP,air_filter,28113-L1500,WRONG_CORRECTED,28113-L1100 or 28113-P0400,wrong_suffix (L1500 not found),"hyundaioempartsdirect.com, amazon.com OEM","Hyundai Tucson air filter. L1100 for 2022, P0400 for 2022-2025."
filter_specs.csv,31,Hyundai,Tucson,G4FP,cabin_filter,97133-L1000,VERIFIED_EXISTS,,,Spareto OE lookup,
filter_specs.csv,32,Hyundai,Tucson,G4NL,oil_filter,26300-35505,VERIFIED_EXISTS,,,Spareto OE lookup,
filter_specs.csv,32,Hyundai,Tucson,G4NL,air_filter,28113-L1500,WRONG_CORRECTED,28113-L1100 or 28113-P0400,wrong_suffix (L1500 not found),"hyundaioempartsdirect.com, amazon.com OEM","Hyundai Tucson air filter. L1100 for 2022, P0400 for 2022-2025."
filter_specs.csv,32,Hyundai,Tucson,G4NL,cabin_filter,97133-L1000,VERIFIED_EXISTS,,,Spareto OE lookup,
filter_specs.csv,33,Hyundai,Kona,G4LD,oil_filter,26300-35505,VERIFIED_EXISTS,,,Spareto OE lookup,
filter_specs.csv,33,Hyundai,Kona,G4LD,air_filter,28113-J9100,WRONG_CORRECTED,28113-A9100,wrong_middle (J9100->A9100),hyundaioempartsdirect.com,Hyundai i30 air filter. Or 28113-S0100 for i30N.
filter_specs.csv,33,Hyundai,Kona,G4LD,cabin_filter,97133-J9100,LIKELY_FABRICATED,,Not found in any source,,Not found. 97133 prefix is correct for Hyundai cabin filters.
filter_specs.csv,34,Hyundai,Ioniq,G4LE,oil_filter,26300-35505,VERIFIED_EXISTS,,,Spareto OE lookup,
filter_specs.csv,34,Hyundai,Ioniq,G4LE,air_filter,28113-G2200,WRONG_CORRECTED,28113-G2700,wrong_suffix (G2200->G2700),"hyundaioempartsdirect.com, amazon.com OEM",Hyundai Ioniq air filter.
