make,model,year_from,year_to,engine_code,fuel_type,oil_filter_oem,oil_filter_mann,oil_filter_filtron,air_filter_oem,air_filter_mann,air_filter_filtron,cabin_filter_oem,cabin_filter_mann,cabin_filter_filtron,confidence,notes
Lexus,IS,2014,2020,2AR-FSE,petrol,04152-31090,HU 7019 z,OE 688/2,17801-38011,C 30 017,AP 177/6,87139-30070,CUK 2145,K 1230,HIGH,Toyota oil filter family
Lexus,IS,2021,2024,A25A-FKS,petrol,04152-YZZA1,HU 7019 z,OE 688/2,17801-F0050,C 27 030,AP 183/3,87139-30070,CUK 2145,K 1230,HIGH,
Lexus,NX,2015,2021,8AR-FTS,petrol,04152-YZZA1,HU 7019 z,OE 688/2,17801-38011,C 30 017,AP 177/6,87139-48050,CUK 2862,K 1316A,HIGH,
Lexus,NX,2022,2024,A25A-FXS,hybrid,04152-YZZA1,HU 7019 z,OE 688/2,17801-F0050,C 27 030,AP 183/3,87139-48050,CUK 2862,K 1316A,HIGH,
Lexus,RX,2016,2022,2GR-FKS,petrol,04152-31090,HU 7019 z,OE 688/2,17801-38011,C 30 017,AP 177/6,87139-48050,CUK 2862,K 1316A,HIGH,
Lexus,RX,2023,2024,A25A-FXS,hybrid,04152-YZZA1,HU 7019 z,OE 688/2,17801-F0050,C 27 030,AP 183/3,87139-48050,CUK 2862,K 1316A,HIGH,
Lexus,ES,2019,2024,A25A-FKS,petrol,04152-YZZA1,HU 7019 z,OE 688/2,17801-F0050,C 27 030,AP 183/3,87139-06080,CUK 2862,K 1316A,HIGH,Same cabin as Camry
Lexus,UX,2019,2024,M20A-FKS,petrol,04152-YZZA1,HU 7019 z,OE 688/2,17801-F0050,C 27 030,AP 183/3,87139-F4010,CUK 2442,K 1311A,HIGH,Same as C-HR
Land Rover,Range Rover Evoque,2012,2018,204PT,petrol,LR073669,HU 6004 x,OE 682/4,LR029773,C 27 028,AP 035/6,LR036369,CUK 2939,K 1350A,HIGH,Ingenium oil filter
Land Rover,Range Rover Evoque,2019,2024,PT204,petrol,LR073669,HU 6004 x,OE 682/4,LR122592,C 27 050,AP 035/7,LR117485,CUK 26 023,K 1432,HIGH,Updated air filter
Land Rover,Discovery Sport,2015,2024,PT204,petrol,LR073669,HU 6004 x,OE 682/4,LR029773,C 27 028,AP 035/6,LR036369,CUK 2939,K 1350A,HIGH,
Land Rover,Discovery Sport,2015,2024,204DTD,diesel,LR073669,HU 6004 x,OE 682/4,LR029773,C 27 028,AP 035/6,LR036369,CUK 2939,K 1350A,HIGH,Same oil filter for petrol+diesel
Land Rover,Range Rover Velar,2017,2024,PT204,petrol,LR073669,HU 6004 x,OE 682/4,LR122592,C 27 050,AP 035/7,LR117485,CUK 26 023,K 1432,HIGH,
Land Rover,Range Rover Velar,2017,2024,204DTA,diesel,LR073669,HU 6004 x,OE 682/4,LR122592,C 27 050,AP 035/7,LR117485,CUK 26 023,K 1432,HIGH,
Jaguar,E-Pace,2018,2024,PT204,petrol,LR073669,HU 6004 x,OE 682/4,LR108435,C 27 028,AP 035/6,T4N6810,CUK 2939,K 1350A,MEDIUM,Oil filter same as LR. Air/cabin need verification
Jaguar,F-Pace,2016,2024,PT204,petrol,LR073669,HU 6004 x,OE 682/4,LR108435,C 27 028,AP 035/6,T4N6810,CUK 2939,K 1350A,MEDIUM,
Jaguar,XE,2015,2024,PT204,petrol,LR073669,HU 6004 x,OE 682/4,LR108435,C 27 028,AP 035/6,T4N6810,CUK 2939,K 1350A,MEDIUM,
Jaguar,XF,2016,2024,PT204,petrol,LR073669,HU 6004 x,OE 682/4,LR108435,C 27 028,AP 035/6,T4N6810,CUK 2939,K 1350A,MEDIUM,
SsangYong,Tivoli,2015,2024,G16DF,petrol,6731840025,HU 7020 z,OE 688/4,2319109100,C 22 020,AP 120/5,6812108100,CU 22 011,K 1350,MEDIUM,Oil filter OEM needs verification
SsangYong,Tivoli,2015,2024,D16DTF,diesel,6731803009,HU 7020 z,OE 688/4,2319109100,C 22 020,AP 120/5,6812108100,CU 22 011,K 1350,MEDIUM,
SsangYong,Korando,2011,2019,D20DTF,diesel,6731840025,HU 7020 z,OE 688/4,2319109000,C 27 004,AP 120/3,6812108100,CU 22 011,K 1350,MEDIUM,
SsangYong,Korando,2020,2024,G15DTF,petrol,6731840025,HU 7020 z,OE 688/4,2319109100,C 22 020,AP 120/5,6812108100,CU 22 011,K 1350,MEDIUM,
SsangYong,Rexton,2018,2024,D22DTR,diesel,6731840025,HU 7020 z,OE 688/4,2319109000,C 27 004,AP 120/3,6812108000,CU 22 011,K 1350,MEDIUM,
Alfa Romeo,Giulietta,2010,2020,940A2.000,petrol,55223416,W 712/22,OP 575/3,55192012,C 25 040,AP 058/5,77366065,CU 20 006,K 1210,HIGH,Fiat filter family
Alfa Romeo,Giulia,2016,2024,55263624,petrol,55223416,W 712/22,OP 575/3,52081805,C 25 040,AP 058/5,77367456,CUK 22 011,K 1350A,HIGH,Same as Fiat Tipo engine
Alfa Romeo,Stelvio,2017,2024,55263624,petrol,55223416,W 712/22,OP 575/3,52081805,C 25 040,AP 058/5,77367456,CUK 22 011,K 1350A,HIGH,
DS,DS3,2010,2019,EB2DT,petrol,9818914980,HU 7033 z,OE 682/6,9802348680,C 22 020,AP 058/7,9809647380,CUK 26 010,K 1311,HIGH,Same as Peugeot/Citroen
DS,DS7 Crossback,2018,2024,EB2ADTS,petrol,9818914980,HU 7033 z,OE 682/6,9818479180,C 22 020,AP 058/7,9809647380,CUK 26 010,K 1311,HIGH,
DS,DS7 Crossback,2018,2024,DV5,diesel,9818914980,HU 7033 z,OE 682/6,9818479180,C 22 020,AP 058/7,9809647380,CUK 26 010,K 1311,HIGH,
Chevrolet,Cruze,2009,2016,F16D4,petrol,55594651,W 712/95,OP 641/2,13272717,C 25 056,AP 139/4,13271190,CUK 26 010,K 1311,HIGH,GM Opel filter family
