api_prefix,api_pattern,model,generation,years_approx,notes
VS,starts_with,S40,Gen 1,1996-2004,
VW,starts_with,V40,Gen 1,1996-2004,
MS,starts_with,S40,Gen 2 (S40/V50),2004-2012,Also S40 gen 2
MK,starts_with,S40,Gen 2 (S40/V50),2004-2012,S40 gen 2 variants
MW,starts_with,V50,Gen 1,2004-2012,
MV,starts_with,XC60,Gen 1,2008-2017,
MZ,starts_with,XC60,Gen 1,2008-2017,
AS,starts_with,S60,Gen 1,2000-2009,
RS,starts_with,S60,Gen 2,2010-2018,
FS,starts_with,S60,Gen 3,2019-2024,
FW,starts_with,V60,Gen 2,2018-2024,
SW,starts_with,V60,Gen 1,2010-2018,
SZ,starts_with,V60 Cross Country,Gen 1,2015-2018,
LS,starts_with,S70,Gen 1,1997-2000,Also used for S80 gen 1 short
LW,starts_with,V70,Gen 1/2,1997-2007,
TS,starts_with,S80,Gen 1/2,1998-2016,
AR,starts_with,S80,Gen 2,2006-2016,
CM,starts_with,V40,Gen 2,2012-2019,New V40
CZ,starts_with,V40 Cross Country,Gen 2,2013-2019,
CT,starts_with,C30,,2006-2013,
CR,starts_with,C70,Gen 2,2006-2013,Convertible
DZ,starts_with,V40,Gen 2,2012-2019,V40 additional codes
BZ,starts_with,XC70,Gen 2,2007-2016,
BW,starts_with,XC70,Gen 2,2007-2016,
UZ,starts_with,XC90,Gen 2,2015-2024,
PS,starts_with,XC40,,2018-2024,
PZ,starts_with,XC40,,2018-2024,XC40 variants
LF,starts_with,XC60,Gen 2,2017-2024,
LC,starts_with,XC60,Gen 2,2017-2024,
ZS,starts_with,S90,,2016-2024,
ZW,starts_with,V90,/V90 CC,2016-2024,
ZX,starts_with,S90,,2016-2024,S90 variants
ZZ,starts_with,V90,,2016-2024,
XZ,starts_with,XC40,Recharge/EV,2020-2024,XC40 Electric
XK,starts_with,XC40,Recharge/EV,2020-2024,XC40 Recharge
TF,starts_with,EX30,,2024,Electric EX30
TR,starts_with,S80,Gen 2,2006-2016,S80 additional codes
NK,starts_with,V60 Cross Country,Gen 2,2019-2024,
PE,starts_with,EX30,,2024,Electric
MC,starts_with,C30,,2006-2013,C30 additional codes
CX,starts_with,V40,Gen 2,2012-2019,
H6,starts_with,XC90,Gen 1,2002-2014,
2Z,starts_with,EX90,,2024,Electric EX90
S40,contains,S40,,1996-2012,Readable format
S60,contains,S60,,2000-2024,
S70,contains,S70,,1997-2000,
S80,contains,S80,,1998-2016,
S90,contains,S90,,2016-2024,
V40,contains,V40,,1996-2019,
V50,contains,V50,,2004-2012,
V60,contains,V60,,2010-2024,
V70,contains,V70,,1997-2016,
V90,contains,V90,,2016-2024,
XC40,contains,XC40,,2018-2024,
XC60,contains,XC60,,2008-2024,
XC70,contains,XC70,,2000-2016,
XC90,contains,XC90,,2002-2024,
C30,contains,C30,,2006-2013,
C70,contains,C70,,1997-2013,
850,contains,850,,1992-1997,
940,contains,940,,1990-1998,
960,contains,960,,1990-1998,
85,starts_with,850,,1992-1997,850 sedan and wagon (854/855)
94,starts_with,940,,1990-1998,940 series (944/945)
S ,starts_with,S Series,,1997-2024,Catches "S 70 GLE" and "S 90_3.0" readable names
