stem,model,det_idx,start_s,end_s,peak_prob,verdict_hit_or_fp
2024-10-01_05-57-44_0004783,matched,0,0.18,0.218,0.776,
2024-10-01_05-57-44_0004783,matched,1,1.012,1.038,0.631,
2024-10-01_05-57-44_0004783,matched,2,1.123,1.157,0.824,
2024-10-01_05-57-44_0004783,matched,3,1.251,1.285,0.824,
2024-10-01_05-57-44_0004783,matched,4,1.644,1.678,0.817,
2024-10-01_05-57-44_0004783,hard_neg,0,0.184,0.214,0.731,
2024-10-01_05-57-44_0004783,hard_neg,1,1.004,1.038,0.758,
2024-10-01_05-57-44_0004783,hard_neg,2,1.119,1.157,0.835,
2024-10-01_05-57-44_0004783,hard_neg,3,1.247,1.285,0.835,
2024-10-01_05-57-44_0004783,hard_neg,4,1.644,1.682,0.857,
2024-10-01_01-03-15_0004134,first_cnn,0,1.014,1.061,0.876,
2024-10-01_01-03-15_0004134,matched,0,1.025,1.063,0.748,
2024-10-01_01-03-15_0004134,matched,1,1.166,1.204,0.735,
2024-10-01_01-03-15_0004134,matched,2,2.07,2.104,0.81,
2024-10-01_01-03-15_0004134,hard_neg,0,1.05,1.068,0.681,
2024-10-01_01-03-15_0004134,hard_neg,1,1.87,1.891,0.61,
2024-10-01_01-03-15_0004134,hard_neg,2,2.066,2.104,0.823,
2024-10-01_01-03-15_0004134,hard_neg,3,2.949,2.983,0.78,
2024-10-01_08-58-52_0004954,first_cnn,0,1.018,1.031,0.959,
2024-10-01_08-58-52_0004954,matched,0,0.022,0.073,0.697,
2024-10-01_08-58-52_0004954,matched,1,0.253,0.274,0.65,
2024-10-01_08-58-52_0004954,matched,2,0.329,0.342,0.611,
2024-10-01_08-58-52_0004954,matched,3,0.556,0.568,0.73,
2024-10-01_08-58-52_0004954,matched,4,0.846,0.914,0.7,
2024-10-01_08-58-52_0004954,matched,5,0.995,1.063,0.694,
2024-10-01_08-58-52_0004954,matched,6,1.277,1.315,0.704,
2024-10-01_08-58-52_0004954,matched,7,1.75,1.836,0.801,
2024-10-01_08-58-52_0004954,matched,8,1.968,1.981,0.612,
2024-10-01_08-58-52_0004954,matched,9,2.232,2.258,0.621,
2024-10-01_08-58-52_0004954,matched,10,2.403,2.586,0.788,
2024-10-01_08-58-52_0004954,matched,11,2.906,2.949,0.659,
2024-10-01_08-58-52_0004954,matched,12,3.295,3.329,0.639,
2024-10-01_08-58-52_0004954,matched,13,3.342,3.376,0.666,
2024-10-01_08-58-52_0004954,matched,14,3.431,3.448,0.647,
2024-10-01_08-58-52_0004954,matched,15,3.5,3.551,0.62,
2024-10-01_08-58-52_0004954,matched,16,3.572,3.585,0.605,
2024-10-01_08-58-52_0004954,hard_neg,0,0.995,1.05,0.667,
2024-10-01_08-58-52_0004954,hard_neg,1,1.78,1.844,0.71,
2024-10-01_08-58-52_0004954,hard_neg,2,2.454,2.586,0.812,
