batch,stem,category,model,hits,fp,miss
1,0000551,noise,first_cnn,0,3,0
1,0000551,noise,matched,0,1,0
1,0000551,noise,hard_neg,0,0,0
1,0001700,noise,first_cnn,0,0,0
1,0001700,noise,matched,0,5,0
1,0001700,noise,hard_neg,0,0,0
1,0001930,noise,first_cnn,0,2,0
1,0001930,noise,matched,0,4,0
1,0001930,noise,hard_neg,0,0,0
1,0004134,usv,first_cnn,0,2,1
1,0004134,usv,matched,1,2,0
1,0004134,usv,hard_neg,1,0,0
1,0004783,usv,first_cnn,0,0,5
1,0004783,usv,matched,5,0,0
1,0004783,usv,hard_neg,3,0,2
1,0004954,usv,first_cnn,3,0,2
1,0004954,usv,matched,3,17,0
1,0004954,usv,hard_neg,0,0,3
