Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0222	0.0307	25000	125000
2	Spectrogram 1	1	0.0819	0.1673	25000	125000
3	Spectrogram 1	1	0.2099	0.4233	25000	125000
4	Spectrogram 1	1	0.4617	0.5513	25000	125000
5	Spectrogram 1	1	0.6067	0.7134	25000	125000
6	Spectrogram 1	1	0.7475	0.8841	25000	125000
7	Spectrogram 1	1	0.9225	1.0974	25000	125000
8	Spectrogram 1	1	1.1315	1.3406	25000	125000
9	Spectrogram 1	1	1.3875	1.6094	25000	125000
10	Spectrogram 1	1	1.6606	1.8099	25000	125000
11	Spectrogram 1	1	1.8739	1.9593	25000	125000
