,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,feature_label
call_length_s,0.27785071326830607,0.32382499425669453,0.12939858538815047,0.12428941700941698,0.6566388981117314,0.553627597370738,0.14264055672208031,0.03480953590303899,-0.16281372747497325,-6.666421962901041e-16,Duration (s)
principal_freq_hz,-0.2636265031622106,-0.26614232657132086,0.5059911474090092,0.1369159629359108,-0.204551538846835,0.19118078362088758,0.7084864246530214,0.06628466550168217,-0.012578227455411706,-3.554850262283445e-16,Principal freq (kHz)
low_freq_hz,-0.45614357450272297,-0.017275962714781434,0.37050063080403955,0.049914175953219654,0.06697205468737076,0.18413272834941802,-0.5055795715644894,0.2704669177097541,0.030881596281049008,0.5326965277330176,Low freq (kHz)
high_freq_hz,0.20285891724032212,-0.340426690856714,0.5779393502879917,0.14787367376722751,0.1515016001695272,-0.11955974587755523,-0.3933036619677532,-0.25207217122235803,0.047319050879948886,-0.47891847067877596,High freq (kHz)
bandwidth_hz,0.4874714957066928,-0.22046748367261834,0.11382312990943104,0.06338886202642684,0.05285633936318487,-0.22263505848974025,0.11602827178558747,-0.3794974339226652,0.008901961257267096,0.6977617844106173,Bandwidth (kHz)
freq_std_dev_hz,0.4707936995414075,-0.2044734513807292,0.0659443197095241,-0.024764054224022048,-0.01073009245455641,-0.16163014857671057,0.018671249020688035,0.838985978768857,0.03311284562314926,1.4438739771189074e-15,Freq SD (kHz)
slope,-0.03190589898621634,0.038733585945073666,-0.21224363391339704,0.9675646483617024,-0.07417341518125911,-0.07622766590550044,-0.03870945807327553,0.05731887042556867,0.01252143815247851,5.5616006978749e-17,Slope
sinuosity,0.24708574216608278,-0.373413770572317,-0.2175029351380758,-0.004703464224876365,-0.4291051007485666,0.7212319447262998,-0.20295386488849895,-0.07592416204483397,0.030326347592487084,-7.166193515706503e-17,Sinuosity
mean_power_db,0.20252812307644644,0.5136677379232522,0.24595944434576306,0.01746032107925187,-0.27117417771674657,0.07716217853256263,0.005761432067299788,-0.025388010464261312,0.7444190497789732,2.7588476572246223e-15,Mean power (dB)
tonality,0.2042527587073538,0.4614204817448039,0.29289769785389447,0.017560501144912505,-0.48318608145891895,-0.033408768059730115,-0.10425507685145338,-0.009573346350411852,-0.6432175463011837,-2.5086496354226136e-15,Tonality
