id,umap_x,umap_y,syllable_type
1.0,6.902933,-5.5057282,Complex
2.0,8.583765,-0.1846173,Chevron
3.0,8.507533,-0.18231009,Down
4.0,8.518704,-0.18430254,Down
5.0,8.516815,-0.18444826,Down
6.0,8.500131,-0.17222954,Down
7.0,8.511897,-0.18904594,Down
8.0,8.514688,-0.1751281,Down
9.0,12.517789,2.9257743,Up
10.0,5.6492953,-5.5824084,Short
11.0,13.179706,3.3485334,Short
12.0,14.194581,4.274691,Short
13.0,2.5993834,-4.1624036,Short
14.0,12.26514,0.7165201,Flat
15.0,12.439958,2.2456088,Flat
16.0,13.498626,4.8183236,Up
17.0,15.566718,3.0054238,Short
18.0,12.444769,3.4355073,Up
19.0,7.738912,-4.341213,Short
20.0,12.325862,4.071267,Flat
21.0,6.08336,-5.392061,Complex
22.0,12.346777,2.1502182,Up
23.0,10.819429,2.7517304,Flat
1.0,13.634334,0.90913373,Short
2.0,15.223589,2.7585695,Short
3.0,12.160567,2.4523408,Short
4.0,15.201799,2.7303708,Up
5.0,14.250189,5.332644,Short
6.0,1.9670349,-4.272602,Short
7.0,7.1163554,-5.405715,Chevron
8.0,2.6402194,-4.0734744,Short
9.0,2.0507927,-3.4380264,Short
10.0,13.030546,-0.18780206,Short
11.0,11.684991,-0.51350415,Short
12.0,13.031552,-0.20210841,Up
13.0,13.213943,3.1977415,Short
14.0,5.436775,-5.8368335,Short
15.0,14.252638,5.3308444,Short
16.0,5.992955,-5.050098,Chevron
17.0,4.822535,-1.5611616,Frequency_Jump
18.0,13.321399,4.396572,Up
19.0,4.0795474,-4.335815,Short
20.0,12.725794,0.9615438,Short
21.0,3.501005,-2.7986536,Short
22.0,11.580932,1.2093691,Down
23.0,13.16287,1.189771,Down
24.0,5.7205644,-5.099726,Short
1.0,3.8549092,-2.8840227,Short
1.0,13.505676,4.6712203,Short
2.0,4.4377894,-2.435649,Short
3.0,5.707835,-5.517689,Complex
4.0,12.553222,5.318948,Flat
5.0,15.557185,2.9506295,Short
6.0,2.9893475,-3.0789874,Short
7.0,13.486025,4.735352,Short
8.0,13.398314,6.36637,Short
9.0,3.4757574,-1.8387654,Complex
10.0,5.712905,-4.797591,Chevron
11.0,6.1384487,-2.1818993,Flat
12.0,7.5569277,-4.687723,Short
13.0,2.6133964,-4.148702,Short
14.0,2.9623833,-3.8161643,Chevron
15.0,3.4764903,-2.0328922,Complex
16.0,2.6497977,-3.5860674,Complex
17.0,2.5176125,-2.7053945,Complex
18.0,2.6108384,-4.1423507,Chevron
19.0,2.5211563,-3.8112452,Short
20.0,3.6199005,-2.6487393,Short
21.0,4.01706,-4.430383,Short
22.0,4.2257442,-3.65124,Chevron
23.0,2.792286,-4.071106,Down
24.0,3.750355,-3.2844026,Complex
25.0,4.925504,-1.7054119,Down
26.0,13.965718,3.68268,Short
27.0,12.212484,2.16668,Up
28.0,5.0668025,-2.6978536,Up
29.0,6.6151767,-4.841609,Chevron
30.0,11.763162,5.0651484,Short
31.0,7.050543,-5.098316,Chevron
32.0,13.522156,3.675299,Short
33.0,9.276459,-0.5962752,Chevron
34.0,11.831744,1.8903079,Up
35.0,15.249124,2.72019,Flat
36.0,9.775351,2.9500341,Flat
37.0,13.530472,5.117538,Short
38.0,9.166666,2.2119362,Down
39.0,12.695385,3.384236,Up
40.0,6.028921,-5.3445344,Complex
41.0,9.264388,0.41302565,Down
42.0,11.591639,0.9035768,Short
43.0,1.795449,-4.440184,Short
44.0,4.2813997,-1.2247634,Chevron
45.0,13.225033,4.335409,Up
46.0,2.136238,-3.033235,Complex
47.0,5.1880426,-5.6169553,Complex
48.0,13.556567,5.2091494,Short
49.0,5.719506,-2.2650568,Chevron
50.0,5.3804297,-5.7822957,Complex
51.0,5.5780225,-5.592959,Complex
52.0,13.049716,1.2694606,Down
53.0,14.164319,3.5280063,Short
54.0,13.581548,6.3469715,Short
55.0,12.541053,3.2237246,Up
56.0,10.988572,3.1635032,Flat
57.0,12.23153,5.173059,Up
58.0,12.147993,5.0373044,Up
59.0,10.2832365,5.4874225,Up
60.0,6.019643,-1.634089,Flat
61.0,4.2060633,-0.9820974,Chevron
62.0,13.9556,5.6550393,Short
63.0,11.133594,5.51129,Flat
64.0,10.341552,5.4807124,Flat
65.0,10.254348,3.9617403,Flat
66.0,5.729468,-1.8620466,Chevron
67.0,4.124945,-2.7592256,Chevron
68.0,4.7095056,-2.7039165,Chevron
69.0,12.418809,5.6806045,Short
70.0,10.240374,3.8152096,Up
71.0,5.0703897,-2.2482674,Chevron
72.0,5.675453,-1.2548509,Flat
73.0,8.227001,3.508925,Flat
74.0,8.810997,2.6936119,Chevron
75.0,12.877239,5.8317614,Short
76.0,5.1819143,-1.1420768,Chevron
77.0,13.234751,2.5738685,Short
78.0,13.415618,2.1696403,Flat
79.0,10.297892,4.432602,Flat
80.0,3.6962805,-2.9316316,Short
81.0,5.0300155,-2.302945,Complex
82.0,5.327749,-2.508296,Chevron
83.0,5.3215437,5.959288,Down
84.0,9.162128,1.4088086,Flat
85.0,2.9411974,-3.5489526,Complex
86.0,5.0292506,-4.340732,Complex
87.0,13.732263,0.8062657,Short
88.0,6.576385,-4.8039412,Complex
89.0,3.1519988,-4.277192,Short
90.0,5.1377835,-1.933034,Flat
91.0,6.0973845,-5.5190964,Complex
92.0,2.0782077,-3.8954391,Short
1.0,6.2579536,-5.3957806,Short
2.0,5.46625,-5.863422,Short
3.0,2.1247346,-4.0707383,Short
4.0,4.1637096,-4.150128,Up
5.0,5.722326,-5.0254517,Chevron
6.0,4.0556846,-1.6431155,Short
7.0,10.01571,2.5751376,Chevron
8.0,10.123361,2.5542295,Down
9.0,4.327486,-4.2268596,Frequency_Jump
10.0,4.6597424,-3.1301794,Chevron
11.0,4.2088413,-1.7735915,Short
12.0,9.129854,-0.8679438,Chevron
13.0,11.873284,2.2197843,Up
14.0,12.1986065,1.1122019,Short
15.0,12.91381,3.870301,Up
16.0,12.62649,3.0455935,Up
17.0,13.083641,4.1078024,Up
18.0,14.216533,5.031763,Short
19.0,5.183135,-3.9594197,Chevron
20.0,7.215139,-5.197294,Short
21.0,4.9946303,-2.6865904,Chevron
22.0,14.255091,5.340922,Short
23.0,5.4083977,-5.5864534,Short
24.0,13.305311,4.39881,Up
25.0,13.836385,4.8041625,Flat
26.0,11.088181,5.4988055,Flat
27.0,14.663187,3.626834,Short
28.0,11.000096,4.4220824,Up
29.0,14.868419,2.4018617,Short
30.0,12.238573,5.1521454,Up
31.0,12.9911175,4.117598,Up
32.0,5.136579,-2.838204,Short
33.0,13.999635,5.6695232,Short
34.0,4.695176,-2.91893,Chevron
35.0,5.1791744,-2.329646,Flat
36.0,3.0409677,-2.2524683,Complex
37.0,12.860415,3.9409456,Flat
38.0,9.011599,2.6724184,Down
39.0,3.3202298,-2.6655464,Complex
40.0,2.559087,-2.9759347,Complex
41.0,11.118919,2.9922042,Up
42.0,10.9768305,3.0371032,Up
43.0,12.179214,4.0893455,Up
44.0,12.761175,6.172422,Short
45.0,3.327158,-3.706369,Chevron
46.0,5.7193446,-2.0593457,Flat
47.0,5.1105304,-1.3534617,Flat
48.0,4.2719383,-3.3091562,Short
49.0,5.287511,-2.49454,Chevron
50.0,3.345293,-2.852354,Complex
51.0,4.3091707,-2.6537726,Chevron
52.0,4.847758,-2.7182872,Chevron
53.0,4.009788,-4.4528184,Short
