,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,feature_label
call_length_s,0.08631813198980222,-0.19833681787597332,0.5642877845898332,0.028562511481740577,0.7882933701922537,-0.005437410334364334,-0.07544926191993673,0.0706985192853108,-0.04299175725150772,-5.807037709399277e-17,Duration (s)
principal_freq_hz,0.05662622649816612,0.571805388525456,0.2972626080827705,0.003761963305513265,0.0035498325377900097,0.14509959071975279,0.7370078560276536,-0.1170472659475104,-0.0592091440859865,2.1825076014092315e-15,Principal freq (kHz)
low_freq_hz,-0.2135114994076648,0.5615211759819072,0.12137898001396134,-0.0771435997049545,0.008128804315355648,0.20576498086564948,-0.45125064582619173,0.3515922479967663,0.015855532029847838,0.49851966848235335,Low freq (kHz)
high_freq_hz,0.34902924048223727,0.34582863268695063,0.3533098292742878,-0.11350885204088512,-0.2216767939901468,-0.09021716666307036,-0.44321045188445163,-0.19410947104916826,0.0726691503127023,-0.569380818237285,High freq (kHz)
bandwidth_hz,0.4668571881356877,-0.12700788277419706,0.21518223244082466,-0.04003883791374341,-0.19929170985674652,-0.2355102214138443,-0.0419144743909195,-0.4372208345862984,0.05120650907883129,0.6536693536947284,Bandwidth (kHz)
freq_std_dev_hz,0.4692138668790327,-0.10408351014885214,0.09752598543331836,-0.02916846847319483,-0.19901687397506335,-0.24216634222627,0.1831606292825899,0.7905634397153208,0.04303755206718174,6.385034652714255e-16,Freq SD (kHz)
slope,-0.05531113193618857,0.04341910758046347,0.14151018796308534,0.9731744619414271,-0.12790306219066727,-0.07742864679894391,-0.07196936503225534,0.017119375981750385,0.011607838235616195,-3.721823046128088e-17,Slope
sinuosity,0.359355907452513,-0.22010759542647415,0.012977920746770337,0.08282317428550613,-0.10571133528461979,0.895923812589907,-0.03599396676248251,0.015403912414408112,-0.000814281682643539,-4.3761380172712283e-16,Sinuosity
mean_power_db,-0.3790701704559377,-0.2337833553233152,0.4123284375219974,-0.10207640376556311,-0.2620892095634432,0.07110698397738716,0.09613367082101668,0.033206382930837414,0.7328884721268388,5.654924199903841e-16,Mean power (dB)
tonality,-0.3285218544014096,-0.25854597463590223,0.4556649368131424,-0.11633109742836326,-0.39220472652317107,0.02444791712403805,-0.006534670339980453,0.04712147570678323,-0.668863609237609,-4.729427501568715e-16,Tonality
