id,umap_x,umap_y,syllable_type
1.0,16.00955,4.5368066,Flat
1.0,16.028439,4.6043696,Flat
1.0,14.601784,5.248367,Flat
1.0,15.93967,4.773626,Flat
1.0,12.580395,7.0444818,Short
1.0,12.74233,5.4104643,Flat
1.0,13.825374,5.3436136,Flat
1.0,14.381857,6.6120443,Complex
2.0,14.234162,5.58124,Flat
1.0,15.8958645,4.669399,Flat
1.0,15.828044,4.6673303,Flat
1.0,16.01294,4.601263,Flat
1.0,15.059497,6.1991425,Complex
1.0,15.530738,4.7025404,Flat
1.0,14.950813,5.022457,Flat
1.0,14.693945,6.88406,Complex
1.0,13.691246,5.5160685,Flat
1.0,15.029743,5.3802114,Short
1.0,14.081606,6.4957247,Short
1.0,14.864823,6.520874,Complex
1.0,14.292611,5.3349915,Flat
1.0,15.9134,4.487076,Flat
1.0,15.424267,5.0337386,Chevron
2.0,15.287973,5.363903,Chevron
1.0,13.62414,7.8184586,Complex
1.0,14.534536,6.7556624,Complex
1.0,14.620768,7.0206823,Complex
1.0,15.7481985,4.563483,Flat
1.0,15.748094,5.146629,Chevron
1.0,15.599236,5.177059,Chevron
1.0,14.360527,5.899111,Complex
2.0,13.617768,7.1020017,Complex
1.0,14.381432,6.7909193,Chevron
1.0,12.738545,5.291709,Short
2.0,14.416973,6.9347982,Complex
1.0,15.204812,4.7701335,Flat
1.0,15.041522,5.9408746,Chevron
1.0,15.700992,4.804681,Down
2.0,13.538004,6.8375874,Short
1.0,13.550942,6.8625603,Chevron
2.0,14.2638645,6.3727007,Chevron
1.0,14.65168,6.067141,Complex
1.0,15.364048,5.7492905,Complex
2.0,15.4041195,5.388089,Chevron
1.0,15.07424,5.505658,Chevron
1.0,13.327083,5.7491174,Flat
1.0,13.123289,5.875279,Short
1.0,12.678724,5.3331814,Short
1.0,14.078003,5.404957,Flat
1.0,14.599042,5.177387,Flat
2.0,13.296903,6.204878,Flat
3.0,14.283338,5.24683,Flat
4.0,14.611093,6.2280307,Complex
1.0,14.16979,6.4728007,Chevron
1.0,15.395921,5.432971,Chevron
1.0,15.583964,4.668196,Flat
1.0,14.725002,5.136527,Flat
1.0,15.70665,5.0987105,Chevron
1.0,16.121952,4.466052,Flat
1.0,14.785014,5.1205654,Down
1.0,15.826316,4.567442,Flat
2.0,15.787433,4.6203823,Flat
3.0,15.853641,4.595408,Flat
1.0,14.682816,7.011512,Complex
1.0,14.601121,6.8451095,Complex
1.0,13.601624,6.024696,Short
1.0,13.873906,6.192801,Chevron
1.0,14.252505,5.280971,Flat
1.0,12.444385,7.0792193,Short
1.0,14.87893,6.6056676,Complex
1.0,12.883475,5.794849,Short
1.0,15.9190035,4.738345,Complex
1.0,13.183266,6.0809627,Short
1.0,14.085564,7.4231515,Complex
1.0,14.076948,6.578767,Chevron
1.0,17.119204,8.4522085,Short
1.0,13.628901,5.293688,Flat
1.0,13.447086,5.292647,Flat
1.0,17.075178,8.425017,Short
2.0,17.160318,8.339248,Short
3.0,17.12445,8.376266,Short
4.0,17.10364,8.435428,Short
5.0,17.034,8.497965,Short
6.0,17.048107,8.390446,Short
7.0,17.106611,8.416829,Short
8.0,17.054361,8.413512,Short
1.0,14.268364,6.5236793,Complex
1.0,16.994759,8.36678,Short
1.0,12.539775,5.3820853,Short
1.0,12.682327,5.262817,Short
1.0,12.490408,5.4387903,Short
1.0,14.330419,7.2074795,Complex
1.0,12.231004,10.276039,Up
1.0,14.35571,10.144783,Chevron
1.0,13.525395,6.75542,Complex
1.0,14.970396,6.142864,Complex
1.0,13.658837,6.633089,Short
1.0,14.76861,5.204685,Flat
1.0,13.7434845,5.332279,Flat
1.0,12.325126,7.313111,Short
1.0,14.304438,9.517788,Complex
1.0,12.660605,5.3419247,Short
2.0,13.551315,5.7192025,Short
3.0,12.525011,5.4817615,Short
1.0,15.173772,4.7642484,Flat
1.0,13.094796,5.205067,Short
1.0,14.504748,7.8619056,Complex
1.0,14.612589,7.9730425,Complex
2.0,13.944464,7.626719,Complex
1.0,13.650614,6.5321264,Chevron
1.0,14.491793,6.7576184,Complex
1.0,15.075078,5.616155,Chevron
1.0,14.329556,8.654126,Short
1.0,14.2414875,7.613406,Short
