call_id,path,top1_class,top1_idx,top1_prob,high_confidence,softmax_12
131208_1400_m2fm2_chunk_054,data/lab_cnn_training/held_out_844/patches/131208_1400_m2fm2_chunk_054_0824ms.png,Flat,6,0.5363325,False,"[0.00395, 0.00258, 0.01452, 0.29762, 0.00651, 0.10588, 0.53633, 0.00128, 0.02422, 0.00339, 0.00301, 0.00071]"
131211_1800_m2fm3_chunk_067,data/lab_cnn_training/held_out_844/patches/131211_1800_m2fm3_chunk_067_1507ms.png,Noise,0,0.4870432,False,"[0.48704, 0.00531, 0.02448, 0.24417, 0.01665, 0.06645, 0.11267, 0.00419, 0.01894, 0.00756, 0.01023, 0.00231]"
131211_1800_m1fm4_chunk_247,data/lab_cnn_training/held_out_844/patches/131211_1800_m1fm4_chunk_247_0321ms.png,Noise,0,0.8213036,False,"[0.8213, 0.00365, 0.01098, 0.07304, 0.00557, 0.03359, 0.03205, 0.00114, 0.00927, 0.00443, 0.00468, 0.00029]"
131217_1400_m4fm3_chunk_313,data/lab_cnn_training/held_out_844/patches/131217_1400_m4fm3_chunk_313_0116ms.png,Short,3,0.81814235,False,"[0.07222, 0.00129, 0.00346, 0.81814, 0.00176, 0.04771, 0.04292, 0.00063, 0.00965, 0.00077, 0.00123, 0.00022]"
131211_1800_m1fm4_chunk_196,data/lab_cnn_training/held_out_844/patches/131211_1800_m1fm4_chunk_196_1234ms.png,Noise,0,0.38436636,False,"[0.38437, 0.00433, 0.0289, 0.30851, 0.01949, 0.0577, 0.14581, 0.00376, 0.02119, 0.01126, 0.01231, 0.00237]"
131218_1000_m3fm3_chunk_044,data/lab_cnn_training/held_out_844/patches/131218_1000_m3fm3_chunk_044_0099ms.png,Noise,0,0.42312065,False,"[0.42312, 0.00359, 0.03347, 0.27129, 0.03225, 0.0729, 0.12476, 0.003, 0.00937, 0.01264, 0.01175, 0.00186]"
131204_1800_m5fm5_chunk_202,data/lab_cnn_training/held_out_844/patches/131204_1800_m5fm5_chunk_202_0748ms.png,Noise,0,0.34848267,False,"[0.34848, 0.00383, 0.03469, 0.3341, 0.03351, 0.06984, 0.12744, 0.00379, 0.01308, 0.01628, 0.0129, 0.00205]"
131211_1000_m4fm2_chunk_072,data/lab_cnn_training/held_out_844/patches/131211_1000_m4fm2_chunk_072_1580ms.png,Short,3,0.4743165,False,"[0.04477, 0.00347, 0.02692, 0.47432, 0.00813, 0.04648, 0.37476, 0.00219, 0.00839, 0.00427, 0.00528, 0.00103]"
131205_1000_m2fm2_chunk_143,data/lab_cnn_training/held_out_844/patches/131205_1000_m2fm2_chunk_143_1063ms.png,Noise,0,0.36370564,False,"[0.36371, 0.00397, 0.04513, 0.28209, 0.04488, 0.07258, 0.13846, 0.0039, 0.01232, 0.01686, 0.01374, 0.00237]"
131211_1800_m1fm4_chunk_072,data/lab_cnn_training/held_out_844/patches/131211_1800_m1fm4_chunk_072_0978ms.png,Noise,0,0.37480652,False,"[0.37481, 0.004, 0.03972, 0.27761, 0.03806, 0.07146, 0.14469, 0.00398, 0.01021, 0.01835, 0.01485, 0.00228]"
131205_1400_m2fm2_chunk_295,data/lab_cnn_training/held_out_844/patches/131205_1400_m2fm2_chunk_295_0918ms.png,Short,3,0.9386801,True,"[0.0056, 0.00027, 0.00276, 0.93868, 0.00017, 0.00418, 0.0474, 0.0001, 0.00066, 5e-05, 0.00012, 2e-05]"
131211_1800_m2fm3_chunk_123,data/lab_cnn_training/held_out_844/patches/131211_1800_m2fm3_chunk_123_0415ms.png,Noise,0,0.3250959,False,"[0.3251, 0.00549, 0.0495, 0.22936, 0.03778, 0.09714, 0.19149, 0.00553, 0.01939, 0.01821, 0.01766, 0.00335]"
131211_1800_m1fm4_chunk_156,data/lab_cnn_training/held_out_844/patches/131211_1800_m1fm4_chunk_156_0756ms.png,Flat,6,0.72568625,False,"[0.0195, 0.00324, 0.02299, 0.16687, 0.00655, 0.02955, 0.72569, 0.00216, 0.01294, 0.00398, 0.00521, 0.00133]"
131205_1400_m1fm1_chunk_024,data/lab_cnn_training/held_out_844/patches/131205_1400_m1fm1_chunk_024_1332ms.png,Short,3,0.46590808,False,"[0.0254, 0.00518, 0.00994, 0.46591, 0.00614, 0.04482, 0.40509, 0.00384, 0.02182, 0.00395, 0.00542, 0.00248]"
