shape_label,Noise,Step up,Down-FM,Short,Chevron,Up-FM,Flat,Two steps,Step down,Complex,Reverse Chevron,Multi-steps
Noise,23,0,0,2,0,0,3,0,0,0,0,0
Step up,0,3,4,1,0,0,0,0,1,3,7,0
Down-FM,0,1,10,5,0,0,4,0,0,1,1,0
Short,0,0,0,2,0,0,1,0,0,0,0,0
Chevron,0,0,1,0,0,0,0,0,0,3,0,0
Up-FM,1,0,0,1,0,5,3,0,0,0,0,0
Flat,0,1,0,4,0,1,16,0,0,0,1,0
Two steps,0,0,0,2,0,0,1,1,2,1,1,0
Step down,0,0,1,1,0,0,3,1,3,0,1,0
Complex,0,0,1,0,0,2,1,1,0,4,3,0
Reverse Chevron,0,2,1,1,0,0,1,0,0,1,15,0
Multi-steps,0,13,0,1,0,1,2,0,2,4,1,2
unclear,0,9,0,1,0,3,1,0,1,1,2,0
