stem,n_events,max_confidence
2024-10-01_00-29-35_0004042,1,0.8992550373077393
2024-10-01_17-31-35_0005733,1,0.8988626599311829
2024-10-01_19-23-58_0006477,2,0.8986186981201172
2024-10-01_15-24-16_0005269,2,0.8985874056816101
2024-10-01_03-07-28_0004535,2,0.896610677242279
2024-09-30_18-22-31_0002217,1,0.8957326412200928
2024-10-01_01-39-33_0004243,1,0.8956868648529053
2024-09-30_12-28-58_0000551,1,0.8956257104873657
2024-10-01_14-12-30_0005201,1,0.8949974775314331
2024-10-01_00-29-33_0004041,1,0.8946291208267212
2024-09-30_13-40-11_0000863,1,0.893170177936554
2024-09-30_18-30-47_0002273,1,0.8925392031669617
2024-09-30_17-11-57_0001700,2,0.8917335271835327
2024-10-01_03-02-21_0004494,1,0.8877068758010864
2024-09-30_22-11-14_0003355,1,0.8875324726104736
2024-09-30_16-16-51_0001439,1,0.8846466541290283
2024-10-01_18-36-10_0006113,1,0.8825316429138184
2024-10-01_19-12-40_0006394,1,0.8785760402679443
2024-09-30_13-54-41_0000947,2,0.8781992197036743
2024-09-30_15-25-53_0001253,1,0.873180091381073
2024-09-30_18-03-47_0002096,1,0.8711509704589844
2024-10-01_00-07-17_0003946,1,0.8695880174636841
2024-10-01_17-46-45_0005839,1,0.8684012293815613
2024-09-30_11-22-40_0000060,1,0.8682993650436401
2024-09-30_14-10-34_0000982,1,0.8682666420936584
2024-09-30_16-41-01_0001493,2,0.8672053813934326
2024-09-30_11-29-43_0000150,1,0.8658095598220825
2024-09-30_11-25-56_0000111,1,0.865372896194458
2024-10-01_12-19-50_0005106,2,0.8650439381599426
2024-09-30_23-11-29_0003655,1,0.8640946745872498
2024-09-30_22-36-23_0003502,5,0.8640776872634888
2024-10-01_18-29-16_0006086,1,0.8631294965744019
2024-09-30_11-31-14_0000166,1,0.8630493879318237
2024-09-30_17-32-22_0001845,1,0.862411379814148
2024-10-01_15-25-42_0005284,1,0.8604429364204407
2024-09-30_21-38-50_0003226,1,0.8593707084655762
2024-09-30_23-37-29_0003781,1,0.8592032194137573
2024-09-30_12-19-52_0000494,1,0.8585973978042603
2024-10-01_19-06-00_0006343,3,0.854936420917511
2024-09-30_17-32-28_0001847,1,0.8544706106185913
2024-09-30_18-22-33_0002218,1,0.8543223142623901
2024-09-30_11-55-39_0000365,1,0.8536091446876526
2024-09-30_20-59-51_0002985,1,0.8531506657600403
2024-10-01_18-06-08_0005948,3,0.8528292179107666
2024-09-30_19-20-03_0002522,1,0.8521555066108704
2024-10-01_03-04-01_0004511,1,0.8521536588668823
2024-09-30_12-19-37_0000491,1,0.8511344194412231
2024-10-01_17-18-59_0005656,9,0.8493929505348206
2024-10-01_05-57-44_0004783,3,0.8465607762336731
2024-09-30_18-25-51_0002238,1,0.8395342826843262
2024-09-30_11-27-13_0000125,1,0.8375841379165649
2024-09-30_21-34-29_0003189,1,0.836211621761322
2024-10-01_03-04-42_0004521,1,0.8340417146682739
2024-09-30_16-00-41_0001338,2,0.8335650563240051
2024-09-30_22-35-36_0003493,2,0.8332947492599487
2024-10-01_17-52-29_0005882,1,0.8320810794830322
2024-10-01_01-03-15_0004134,1,0.8319496512413025
2024-10-01_08-58-52_0004954,1,0.8235623836517334
2024-10-01_17-47-11_0005843,1,0.8208888173103333
2024-10-01_19-12-42_0006395,1,0.8160868287086487
2024-10-01_19-44-14_0006561,1,0.8142898678779602
2024-09-30_20-12-41_0002765,1,0.8046985864639282
2024-09-30_17-03-56_0001628,2,0.7936370372772217
2024-09-30_19-00-57_0002431,1,0.7790546417236328
2024-09-30_22-36-29_0003503,1,0.7782853841781616
2024-09-30_17-42-51_0001930,1,0.7768941521644592
2024-09-30_17-45-49_0001960,1,0.7765337824821472
2024-09-30_23-39-35_0003794,1,0.7667697072029114
2024-09-30_18-48-47_0002361,1,0.7570031881332397
2024-10-01_12-20-03_0005107,1,0.6723858714103699
