stem,label,n_events,file_min_flatness,file_mean_flatness,file_max_tonal_fraction,file_max_consec_tonal
2024-09-30_11-22-17_0000053,good_reference,5,0.06280110564137593,0.47926733923554715,0.6625,113
2024-09-30_11-22-19_0000054,good_reference,3,0.04470244772033094,0.39797888468922543,0.7835051546391752,101
2024-09-30_11-24-57_0000096,auto_accept,13,0.0512687776819135,0.43925719644972505,0.8884955752212389,163
2024-09-30_11-27-00_0000124,auto_accept,2,0.09044231356222135,0.481756006066258,0.48026315789473684,31
2024-09-30_11-27-39_0000129,auto_accept,1,0.1679294305715049,0.5208311620169502,0.275,20
2024-09-30_11-34-42_0000199,auto_accept,9,0.0056907597995912084,0.36445618042984457,0.9336099585062241,284
2024-09-30_11-36-17_0000209,auto_accept,10,0.005100829406539008,0.3104992200359141,0.9923954372623575,269
2024-09-30_12-53-29_0000636,auto_accept,2,0.047875146833155774,0.4589498372418484,0.6659574468085107,75
2024-09-30_12-54-28_0000644,auto_accept,8,0.0006106376457342246,0.2980574037418813,0.9411764705882353,152
2024-09-30_13-03-14_0000702,auto_accept,1,0.36684748433332587,0.5420124963311707,0.23,11
2024-09-30_13-04-43_0000719,auto_accept,19,0.009591680291698412,0.37844426075935406,0.8517241379310345,297
2024-09-30_13-33-29_0000826,auto_accept,13,0.018200129744954236,0.38516895906153814,0.8456140350877193,187
2024-09-30_14-23-09_0001016,auto_accept,1,0.16351091614204472,0.4639153147336046,0.475,39
2024-09-30_15-13-39_0001170,auto_accept,8,0.005189424266389272,0.30752968474418085,0.8375,301
2024-09-30_15-21-20_0001219,auto_accept,3,0.0019503510088785055,0.20028671169818527,0.8408163265306122,402
2024-09-30_16-01-11_0001344,auto_accept,4,0.016776162310071868,0.39351618375586506,0.8578125,272
2024-09-30_16-42-52_0001506,auto_accept,10,0.005376758096269449,0.3287142682027751,0.8765625,548
2024-09-30_17-02-20_0001612,auto_accept,2,0.06443859509356435,0.44432181375484103,0.8261363636363637,199
2024-09-30_17-03-06_0001621,auto_accept,1,0.2850613289385483,0.5269571666746314,0.2866666666666667,9
2024-09-30_17-06-19_0001647,auto_accept,9,0.01068324357760054,0.3626128018246039,0.8156862745098039,203
2024-09-30_17-13-53_0001714,auto_accept,3,0.005608076899397317,0.23448760697992896,0.9276190476190476,792
2024-09-30_17-21-16_0001770,auto_accept,5,0.03596965989722185,0.39500172227143515,0.7086956521739131,170
2024-09-30_17-21-21_0001772,auto_accept,1,0.026571308296255595,0.3086144236337414,0.7137931034482758,106
2024-09-30_17-29-29_0001810,auto_accept,2,0.02941040693982328,0.3759661871242064,0.8294117647058824,156
2024-09-30_17-32-17_0001844,auto_accept,10,0.016731440573265925,0.46774035870668274,0.7914285714285715,225
2024-09-30_17-36-22_0001885,auto_accept,3,0.06597374968349784,0.40472373657762534,0.6423076923076924,95
2024-09-30_17-38-32_0001898,auto_accept,2,0.08813645603522396,0.44541901935940886,0.5857142857142857,74
2024-09-30_17-42-21_0001926,auto_accept,8,0.010283797461477848,0.3039223482498356,0.8727272727272727,103
2024-09-30_17-45-49_0001960,1960_problem,1,0.24680572435075862,0.5176572998308282,0.3617021276595745,11
2024-09-30_17-55-15_0002020,auto_accept,3,0.019941297157022628,0.3946825204341112,0.8553191489361702,139
2024-09-30_18-01-00_0002068,auto_accept,4,0.06844505782428428,0.4848704440821005,0.6233333333333333,46
2024-09-30_18-01-59_0002077,auto_accept,9,0.009800675506779403,0.3306316956334642,0.8761904761904762,254
2024-09-30_18-04-47_0002106,auto_accept,3,0.004637668205158502,0.2938548929811727,0.9466666666666667,789
2024-09-30_18-24-17_0002229,auto_accept,6,0.0011817503587429241,0.29094764982809274,0.9683257918552036,322
2024-09-30_18-27-05_0002249,auto_accept,11,0.015734472827887497,0.39359635968603013,0.8540145985401459,132
2024-09-30_18-37-17_0002311,auto_accept,18,0.007208115765316897,0.3692279640150906,0.9152872444011685,326
2024-09-30_18-55-56_0002393,auto_accept,15,0.00237046104557374,0.2985729332626668,0.912472647702407,355
2024-09-30_19-00-57_0002431,1960_problem,1,0.21723385661299677,0.5146114961585944,0.3258426966292135,8
2024-09-30_19-20-03_0002522,1960_problem,1,0.05566507067866898,0.5012417879686951,0.24324324324324326,9
2024-09-30_19-28-29_0002579,auto_accept,11,0.006734895776251725,0.3430781812399186,0.8516129032258064,324
2024-09-30_19-34-20_0002611,auto_accept,4,0.04152326702677547,0.4250892023818597,0.6333333333333333,146
2024-09-30_20-33-07_0002863,auto_accept,3,0.013905124271990693,0.4039463254465998,0.8044444444444444,178
2024-09-30_20-58-01_0002971,auto_accept,5,0.04646397347117818,0.48365061969939954,0.5794117647058824,140
2024-09-30_21-05-00_0003018,auto_accept,2,0.01717121007310898,0.31644921589448793,0.7343358395989975,127
2024-09-30_21-12-14_0003060,auto_accept,2,0.005890478021648242,0.22418365456044917,0.8918367346938776,426
2024-09-30_21-29-07_0003163,auto_accept,4,0.12421191798887049,0.4750121513171234,0.49375,26
2024-09-30_21-45-52_0003260,auto_accept,19,0.0015535266666791593,0.290363491959656,0.968,406
2024-09-30_21-51-03_0003266,auto_accept,3,0.0452583913674462,0.4399830266336158,0.5439024390243903,76
2024-09-30_22-11-32_0003356,auto_accept,9,0.019266156904928017,0.37332518174704243,0.8,258
2024-09-30_22-14-54_0003374,auto_accept,4,0.04594870467206086,0.47287971705261383,0.6653846153846154,69
2024-09-30_22-36-23_0003502,1960_problem,5,0.13750431012307202,0.5449692466955068,0.2222222222222222,5
