stem,label,event_idx,start_col,end_col,max_probability,mean_probability,n_total_columns,n_broadband_columns,n_tonal_columns,tonal_fraction,max_consecutive_tonal,mean_flatness,min_flatness,median_flatness,std_flatness
2024-09-30_17-45-49_0001960,1960_problem,0,2410,2460,0.7765337824821472,0.6571578085422516,50,3,17,0.3617021276595745,11,0.5176572998308282,0.24680572435075862,0.5314918355233412,0.09830252387041923
2024-09-30_19-00-57_0002431,1960_problem,0,2610,2700,0.7790546417236328,0.6867277145385742,90,1,29,0.3258426966292135,8,0.5146114961585944,0.21723385661299677,0.5263268042366765,0.07784178095228386
2024-09-30_19-20-03_0002522,1960_problem,0,2320,2410,0.8521555066108704,0.7908259034156799,90,16,18,0.24324324324324326,9,0.5012417879686951,0.05566507067866898,0.5519777311279725,0.1566446021326511
2024-09-30_22-36-23_0003502,1960_problem,0,2380,2530,0.7916553616523743,0.6538773588836193,150,4,19,0.13013698630136986,3,0.5466119419415142,0.34271947424601173,0.5475075192728815,0.05216461638633846
2024-09-30_22-36-23_0003502,1960_problem,1,4500,4690,0.8640776872634888,0.7739125162363052,190,0,30,0.15789473684210525,5,0.5382680551783778,0.13750431012307202,0.5474135937641932,0.07235947035879116
2024-09-30_22-36-23_0003502,1960_problem,2,6450,6540,0.835379421710968,0.7537025213241577,90,0,14,0.15555555555555556,3,0.5522824522761709,0.43101297029898017,0.5546748716029065,0.049219381495523185
2024-09-30_22-36-23_0003502,1960_problem,3,7850,7990,0.8403122425079346,0.6969059367974599,140,0,19,0.1357142857142857,3,0.5534452514391918,0.4239742708304011,0.5546200574780438,0.04650438381737161
2024-09-30_22-36-23_0003502,1960_problem,4,8010,8100,0.8098625540733337,0.7400675594806672,90,0,20,0.2222222222222222,4,0.5342385326422794,0.29345980169958075,0.5420038607454893,0.05609738252448977
2024-09-30_22-36-29_0003503,1960_problem,0,2440,2470,0.7782853841781616,0.7340364158153534,30,0,2,0.06666666666666667,1,0.5529420167126698,0.4980895110629355,0.5436120578161356,0.038380112353106725
2024-09-30_23-37-29_0003781,1960_problem,0,2340,2450,0.8592032194137573,0.7454225271940231,110,0,18,0.16363636363636364,4,0.5498333890133441,0.45447153067256574,0.5489408762900635,0.04797388783095511
2024-09-30_23-39-35_0003794,1960_problem,0,2360,2430,0.7667697072029114,0.5577535517513752,70,0,5,0.07142857142857142,2,0.5498087141930867,0.41457857249256197,0.5507987982156679,0.041868477624271545
2024-10-01_12-20-03_0005107,1960_problem,0,2270,2290,0.6723858714103699,0.5878878633181254,20,0,3,0.15,2,0.5559392618536048,0.471450093415938,0.5520317011390354,0.04260720108633645
2024-10-01_17-18-59_0005656,1960_problem,0,2370,2550,0.8493929505348206,0.7458724505022952,180,1,36,0.2011173184357542,7,0.5412964483642078,0.17700247954108478,0.5529099047295364,0.06744976265645009
2024-10-01_17-18-59_0005656,1960_problem,1,2820,2850,0.8210905194282532,0.6705954670906067,30,0,2,0.06666666666666667,1,0.56314776453987,0.4966636899682265,0.5627037301169544,0.0406449761259057
2024-10-01_17-18-59_0005656,1960_problem,2,3120,3150,0.8205096125602722,0.6693181619048119,30,0,2,0.06666666666666667,1,0.5631612912789341,0.49666637655659934,0.5626782840045368,0.040644787825580675
2024-10-01_17-18-59_0005656,1960_problem,3,3420,3450,0.8209689259529114,0.6709635704755783,30,0,2,0.06666666666666667,1,0.5631721490000089,0.4967160922496338,0.5627001960988514,0.040640627194503495
2024-10-01_17-18-59_0005656,1960_problem,4,3720,3750,0.8210685849189758,0.6709350049495697,30,0,2,0.06666666666666667,1,0.5632798950833444,0.4967274023330431,0.5626546181185468,0.04059443591916753
2024-10-01_17-18-59_0005656,1960_problem,5,4020,4050,0.8208702206611633,0.6704302132129669,30,0,2,0.06666666666666667,1,0.5633389515897219,0.49684335267908225,0.5626546181185468,0.04050985129446487
2024-10-01_17-18-59_0005656,1960_problem,6,4320,4350,0.8205917477607727,0.6702083349227905,30,0,2,0.06666666666666667,1,0.5633302866163117,0.49679106682413704,0.5626546181185468,0.04050117695370045
2024-10-01_17-18-59_0005656,1960_problem,7,4620,4650,0.8205813765525818,0.6704046577215195,30,0,2,0.06666666666666667,1,0.5633156740115494,0.49676981237415185,0.5625937026800704,0.0405280074217786
