stem,label,is_problem,n_events,file_min_flatness,file_mean_flatness,file_max_tonal_fraction,file_max_consec_tonal
2024-09-30_11-22-17_0000053,auto_accept,0,5,0.06280110564137593,0.47926733923554715,0.6625,113
2024-09-30_11-22-19_0000054,auto_accept,0,3,0.04470244772033094,0.39797888468922543,0.7835051546391752,101
2024-09-30_11-22-21_0000055,auto_accept,0,4,0.1371644022283767,0.5333522012089478,0.3933333333333333,27
2024-09-30_11-22-25_0000056,auto_accept,0,23,0.013286930974797332,0.4219995300502253,0.8764044943820225,174
2024-09-30_11-22-32_0000057,auto_accept,0,2,0.041040246753315204,0.47142603410253714,0.49333333333333335,65
2024-09-30_11-22-34_0000058,auto_accept,0,8,0.05443306010780875,0.47200461470060184,0.5736434108527132,51
2024-09-30_11-22-38_0000059,auto_accept,0,2,0.32237018179657584,0.5329050439538161,0.32941176470588235,14
2024-09-30_11-22-42_0000061,auto_accept,0,15,0.08238575713397776,0.49418693006339365,0.6212765957446809,99
2024-09-30_11-22-49_0000062,auto_accept,0,15,0.030933162088611837,0.4721845205434009,0.668,98
2024-09-30_11-22-55_0000064,auto_accept,0,1,0.2138218525318595,0.48426590638500255,0.42857142857142855,32
2024-09-30_11-23-01_0000066,auto_accept,0,5,0.08867189771971017,0.5022962187533971,0.556,40
2024-09-30_11-23-03_0000067,auto_accept,0,2,0.34390133185096766,0.5357456778376664,0.2222222222222222,8
2024-09-30_11-23-04_0000068,auto_accept,0,22,0.028309650412455763,0.434284748639262,0.9590163934426229,88
2024-09-30_11-23-08_0000069,auto_accept,0,7,0.02514586606321394,0.4604789583790729,0.812206572769953,133
2024-09-30_11-23-11_0000070,auto_accept,0,10,0.05015755906996405,0.496568628996734,0.49473684210526314,40
2024-09-30_11-23-21_0000072,auto_accept,0,12,0.05851573154034586,0.5132995618352655,0.4734982332155477,88
2024-09-30_11-23-31_0000074,auto_accept,0,10,0.08601416616871803,0.5150044633214114,0.6225806451612903,52
2024-09-30_11-23-33_0000075,auto_accept,0,5,0.12651935082351692,0.5069776180099871,0.41333333333333333,29
2024-09-30_11-23-37_0000076,auto_accept,0,6,0.3762338505553922,0.5547257372436584,0.2,6
2024-09-30_11-23-41_0000077,auto_accept,0,10,0.18667371433434007,0.5224668567129152,0.4461538461538462,22
2024-09-30_11-23-51_0000079,auto_accept,0,6,0.04513857344672177,0.46833555868226834,0.5636363636363636,40
2024-09-30_11-23-53_0000080,auto_accept,0,3,0.04220772692476615,0.46500322706839087,0.5291666666666667,78
2024-09-30_11-23-55_0000081,auto_accept,0,5,0.024280022052012695,0.456827640559707,0.6095238095238096,73
2024-09-30_11-23-57_0000082,auto_accept,0,3,0.11675267580977372,0.47536230508145905,0.6555555555555556,26
2024-09-30_11-23-58_0000083,auto_accept,0,6,0.045577364250067275,0.47446839796230766,0.5777777777777777,29
2024-09-30_11-24-05_0000085,auto_accept,0,5,0.33335108485733017,0.5455400566102699,0.19166666666666668,5
2024-09-30_11-24-10_0000086,auto_accept,0,6,0.08110492305251205,0.49933523145808056,0.628,117
2024-09-30_11-24-15_0000087,auto_accept,0,9,0.040124621051158216,0.5006490987802175,0.7222222222222222,56
2024-09-30_11-24-19_0000088,auto_accept,0,4,0.0792512372723481,0.4206098765621682,0.8029197080291971,57
2024-09-30_11-24-29_0000089,auto_accept,0,1,0.31071177767637814,0.5341087039964334,0.26,11
2024-09-30_11-24-31_0000090,auto_accept,0,6,0.011861751941081371,0.4236173258060174,0.9256505576208178,105
2024-09-30_11-24-34_0000091,auto_accept,0,1,0.05374524043810519,0.45846798344245987,0.38461538461538464,22
2024-09-30_11-24-45_0000092,auto_accept,0,5,0.2956143505366385,0.5364013942638015,0.2,5
2024-09-30_11-24-55_0000095,auto_accept,0,6,0.1382381484206537,0.4615535784330574,0.9,55
2024-09-30_11-24-57_0000096,auto_accept,0,13,0.0512687776819135,0.43925719644972505,0.8884955752212389,163
2024-09-30_11-25-05_0000097,auto_accept,0,3,0.2796290718129528,0.5317758593822206,0.2875,19
2024-09-30_11-25-12_0000098,auto_accept,0,8,0.03568998910005752,0.4291020335122445,0.8313725490196079,78
2024-09-30_11-25-16_0000099,auto_accept,0,8,0.04200619360388254,0.508878569903497,0.5421052631578948,87
2024-09-30_11-25-25_0000101,auto_accept,0,6,0.01387018088979814,0.3494303139783264,1.0,120
2024-09-30_11-25-31_0000103,auto_accept,0,7,0.16653952537350886,0.5253857013309047,0.455,25
2024-09-30_11-25-35_0000104,auto_accept,0,4,0.004655416962194276,0.29948592749379443,0.9463869463869464,338
2024-09-30_11-25-37_0000105,auto_accept,0,2,0.10878030567859727,0.46903188432529064,0.74375,28
2024-09-30_11-25-39_0000106,auto_accept,0,1,0.33055251265586,0.5422336777480801,0.24,11
2024-09-30_11-25-40_0000107,auto_accept,0,2,0.0557943113567981,0.4312252823787891,0.7462235649546828,39
2024-09-30_11-25-43_0000108,auto_accept,0,1,0.21405926169462194,0.5020336628468091,0.41,19
2024-09-30_11-26-11_0000112,auto_accept,0,4,0.008263760160685037,0.3610319861688193,0.8670886075949367,126
2024-09-30_11-26-18_0000114,auto_accept,0,6,0.3075830808784125,0.5298728272507666,0.32558139534883723,9
2024-09-30_11-26-25_0000115,auto_accept,0,7,0.024333281873635412,0.44401045064359224,0.7228571428571429,139
2024-09-30_11-26-29_0000116,auto_accept,0,14,0.01458462514185702,0.44993758092064945,0.8571428571428571,108
2024-09-30_11-26-51_0000121,auto_accept,0,5,0.015704982406239236,0.3845044072340326,0.8922413793103449,93
2024-09-30_11-26-54_0000122,auto_accept,0,8,0.007686915577470672,0.4002566208949603,0.7553516819571865,180
