threshold_s,file_aware,n_bouts,n_multi_call_bouts,n_within_bout_pairs,n_cross_bout_pairs,mi_lag1_bits,mi_ci_low_bits,mi_ci_high_bits,marginal_entropy_bits,conditional_entropy_bits,mean_bout_duration_s,mean_calls_per_bout
0.1,True,367,19,34,366,0.866526,0.680378,1.524511,2.310305,1.670208,0.0366,1.0926
0.143,True,291,59,110,290,0.476198,0.39901,0.843878,2.310305,1.833711,0.0778,1.378
0.2,True,245,78,156,244,0.362678,0.323246,0.664365,2.310305,2.074231,0.123,1.6367
0.25,True,224,84,177,223,0.314655,0.277877,0.579212,2.310305,2.096853,0.1558,1.7902
0.4,True,183,84,218,182,0.247092,0.226241,0.485776,2.310305,2.115835,0.259,2.1913
0.6,True,158,75,243,157,0.206277,0.186115,0.434567,2.310305,2.113179,0.3798,2.538
0.8,True,143,73,258,142,0.210115,0.191047,0.444432,2.310305,2.077174,0.4931,2.8042
1.0,True,132,74,269,131,0.196449,0.185794,0.410223,2.310305,2.083336,0.6099,3.0379
2.0,True,126,72,275,125,0.189819,0.173227,0.390172,2.310305,2.097837,0.7041,3.1825
inf,True,125,73,276,124,0.190787,0.177866,0.389604,2.310305,2.093079,0.7303,3.208
