wav_stem,begin_time_s,end_time_s,duration_s,low_freq_khz,high_freq_khz,score
2024-09-30_17-15-30_0001729,1.0045225,1.14664166666667,0.142119166666667,57.8125,76.875,0.663746178150177
2024-09-30_17-19-40_0001758,1.042626,1.351426,0.3088,56.5625,110.3125,0.611180067062378
2024-09-30_17-24-04_0001792,1.01457166666667,1.12657166666667,0.112,47.8125,58.75,0.720728039741516
2024-09-30_17-24-04_0001792,1.16017166666667,1.30257166666667,0.1424,51.25,85,0.689899921417236
2024-09-30_17-24-04_0001792,1.32817166666667,1.57145583333333,0.243284166666667,30.625,92.5,0.697408378124237
2024-09-30_17-24-04_0001792,1.61465583333333,1.75225583333333,0.1376,29.6875,97.1875,0.622356951236725
2024-09-30_17-24-04_0001792,1.79234,2.03554,0.2432,31.25,99.6875,0.643248736858368
2024-09-30_17-24-04_0001792,2.08674,2.17802416666667,0.0912841666666671,30.9375,96.25,0.65234249830246
2024-09-30_17-24-04_0001792,2.19402416666667,2.27562416666667,0.0815999999999999,45.3125,70.3125,0.584917724132538
2024-09-30_17-24-04_0001792,2.31722416666667,2.46922416666667,0.152,32.5,102.1875,0.5848428606987
2024-09-30_17-24-04_0001792,2.52682416666667,2.59722416666667,0.0703999999999998,61.5625,84.6875,0.893574476242065
2024-09-30_17-24-04_0001792,2.64210833333333,2.71410833333333,0.0720000000000001,55.3125,86.5625,0.523455202579498
2024-09-30_17-24-04_0001792,2.76370833333333,2.91410833333333,0.1504,46.25,61.5625,0.586323916912079
2024-09-30_17-24-04_0001792,2.94770833333333,3.1237925,0.176084166666667,31.875,105,0.659886479377747
2024-09-30_17-24-04_0001792,3.1781925,3.2821925,0.104,34.6875,105.3125,0.622054934501648
2024-09-30_17-24-04_0001792,3.2853925,3.3941925,0.1088,45.625,63.125,0.744570255279541
2024-09-30_17-24-04_0001792,3.4469925,3.59587666666667,0.148884166666666,34.6875,102.1875,0.687023401260376
2024-09-30_17-24-04_0001792,3.69187666666667,3.71907666666667,0.0272000000000001,67.5,80,0.726467967033386
2024-09-30_17-24-04_0001792,3.80387666666667,3.83436083333333,0.0304841666666671,66.5625,86.5625,0.675759553909302
2024-09-30_17-24-04_0001792,3.92716083333333,4.06956083333333,0.1424,46.875,76.875,0.677206933498383
2024-09-30_17-35-11_0001872,1.91276083333333,2.03276083333333,0.12,53.75,99.375,0.641789257526398
2024-09-30_18-00-21_0002060,1.03149,1.09709,0.0656000000000001,55.9375,72.5,0.846002757549286
2024-09-30_18-00-21_0002060,1.15949,1.20589,0.0464,66.25,92.1875,0.578126013278961
2024-09-30_18-01-27_0002073,2.49476791666667,2.53956791666667,0.0448,45,69.6875,0.504843890666962
2024-09-30_18-01-27_0002073,2.74092083333333,2.77452083333333,0.0335999999999999,83.125,98.4375,0.611732661724091
2024-09-30_18-01-27_0002073,2.90412083333333,2.92972083333333,0.0255999999999998,87.8125,103.75,0.605798125267029
2024-09-30_18-01-27_0002073,2.96012083333333,2.97772083333333,0.0175999999999998,72.1875,86.875,0.600865185260773
2024-09-30_18-11-15_0002138,0.940928787878788,0.977728787878788,0.0367999999999999,63.125,72.1875,0.79759293794632
2024-09-30_18-11-15_0002138,1.03052878787879,1.06252878787879,0.032,61.5625,79.6875,0.699356138706207
2024-09-30_18-11-15_0002138,1.09452878787879,1.17932878787879,0.0848,50,63.75,0.647683799266815
