stem,tier,n_events,max_confidence,noise_floor_p90
131212_1000_m1fm2_chunk_063,manual_review,3,0.9479784369468689,0.683803403377533
131204_1400_m6fm6_chunk_064,manual_review,12,0.9996743202209473,0.9887302041053772
131211_1000_m3fm1_chunk_068,manual_review,8,0.999828577041626,0.9897119164466858
131205_1400_m5fm5_chunk_056,manual_review,2,0.995407223701477,0.028106631338596342
131204_1800_m4fm4_chunk_027,manual_review,10,0.9999600648880005,0.9990173935890198
131204_1400_m3fm3_chunk_169,manual_review,10,0.999885082244873,0.9958837866783142
131205_1000_m6fm6_chunk_029,manual_review,8,0.9856097102165222,0.9355013132095337
131204_1400_m5fm5_chunk_156,manual_review,8,0.9999977350234985,0.9998499870300293
131217_1400_m3fm2_chunk_285,manual_review,8,0.9996885061264038,0.9786203861236572
131211_1800_m1fm4_chunk_163,manual_review,1,0.8486291766166687,0.04246125370264052
131204_1400_m5fm5_chunk_034,manual_review,1,0.8800641894340515,0.24548055529594418
131211_1800_m2fm3_chunk_025,manual_review,2,0.9574565291404724,0.06574136018753049
131218_1000_m3fm3_chunk_021,manual_review,1,0.8936194777488708,0.9075625896453857
131211_1000_m4fm2_chunk_088,manual_review,3,0.9054372310638428,0.01741982102394104
131205_1400_m1fm1_chunk_024,manual_review,10,0.998571515083313,0.9642508268356323
131204_1400_m5fm5_chunk_115,manual_review,2,0.9477078914642334,0.11712517440319056
131217_1400_m4fm3_chunk_032,manual_review,7,0.9996157884597778,0.9507123470306396
131204_1400_m1fm1_chunk_107,manual_review,9,0.9993776679039001,0.9735672950744628
131204_1400_m6fm6_chunk_060,manual_review,11,0.9999960660934448,0.9929889917373658
131208_1400_m6fm6_chunk_086,manual_review,12,0.999976396560669,0.9990965247154235
131212_1000_m1fm2_chunk_030,manual_review,5,0.9218918085098267,0.8292336821556091
131204_1800_m1fm1_chunk_033,manual_review,11,0.9993731379508972,0.9897263526916504
131212_1000_m1fm2_chunk_193,manual_review,1,0.878694474697113,0.0945576712489128
131208_1400_m4fm4_chunk_161,manual_review,1,0.8642498850822449,0.06432212889194489
131204_1800_m5fm5_chunk_283,manual_review,1,0.8892083764076233,0.29677028059959404
131211_1800_m6fm6_chunk_142,manual_review,1,0.8981168270111084,0.6186241507530211
131208_1400_m2fm2_chunk_008,manual_review,13,0.9997171759605408,0.9897404074668884
131208_1400_m2fm2_chunk_302,manual_review,1,0.7987194657325745,0.1085238441824913
131218_1000_m2fm2_chunk_192,manual_review,1,0.8963355422019958,0.06922962814569472
131204_1400_m1fm1_chunk_108,manual_review,5,0.9996539354324341,0.9795371055603027
131204_1800_m1fm1_chunk_076,auto_reject,0,0.0,0.014916620962321757
131205_1400_m1fm1_chunk_305,auto_reject,0,0.0,0.015663658827543253
131208_1000_m5fm5_chunk_231,auto_reject,0,0.0,0.02349567338824272
131217_1400_m6fm6_chunk_307,auto_reject,0,0.0,0.07878707051277158
131211_1800_m6fm6_chunk_234,auto_reject,0,0.0,0.0747346624732017
131208_1400_m2fm2_chunk_188,auto_reject,0,0.0,0.038950291275978086
131211_1000_m5fm5_chunk_169,auto_reject,0,0.0,0.15059920251369477
131208_1400_m2fm2_chunk_169,auto_reject,0,0.0,0.008761242777109145
131205_1800_m3fm3_chunk_180,auto_reject,0,0.0,0.012281753122806547
131205_1000_m2fm2_chunk_083,auto_reject,0,0.0,0.015313796885311603
131209_1000_m3fm3_chunk_306,auto_reject,0,0.0,0.9999275207519531
131211_1000_m3fm1_chunk_278,auto_reject,0,0.0,0.023952036723494528
131205_1400_m2fm2_chunk_282,auto_reject,0,0.0,0.016860120743513105
131205_1400_m4fm4_chunk_056,auto_reject,0,0.0,0.00975141059607267
131210_1000_m3fm2_chunk_098,auto_reject,0,0.0,0.02547968029975891
131205_1400_m4fm4_chunk_172,auto_reject,0,0.0,0.02492458000779152
131211_1000_m2fm1_chunk_254,auto_reject,0,0.0,0.014757077023386952
131208_1400_m5fm5_chunk_200,auto_reject,0,0.0,0.022289372608065603
131204_1400_m4fm4_chunk_288,auto_reject,0,0.0,0.13164946436882013
131204_1800_m3fm3_chunk_286,auto_reject,0,0.0,0.1251052111387252
131211_1800_m5fm5_chunk_079,auto_reject,0,0.0,0.07346460521221157
131208_1400_m4fm4_chunk_028,auto_reject,0,0.0,0.02005051858723163
131212_1000_m5fm5_chunk_240,auto_reject,0,0.0,0.12362000942230222
131205_1400_m1fm1_chunk_279,auto_reject,0,0.0,0.44821240901947024
131210_1000_m3fm2_chunk_316,auto_reject,0,0.0,0.010513668321073056
131218_1000_m1fm1_chunk_209,auto_reject,0,0.0,0.05897642076015471
131204_1800_m6fm6_chunk_195,auto_reject,0,0.0,0.10954577326774595
131208_1400_m3fm3_chunk_023,auto_reject,0,0.0,0.012965525873005387
131218_1000_m2fm2_chunk_205,auto_reject,0,0.0,0.08043161183595654
131217_1400_m5fm5_chunk_003,auto_reject,0,0.0,0.06925840824842451
