ngram,ngram_codes,n,observed,expected,z_score,p_value
Complex → Complex → Complex → Complex → Complex,"(4, 4, 4, 4, 4)",5,15,0.0,67.56,0.0
Frequency_Jump → Frequency_Jump → Frequency_Jump → Frequency_Jump → Frequency_Jump,"(5, 5, 5, 5, 5)",5,6,0.0,60.2,0.0
Down → Down → Down → Down → Down,"(1, 1, 1, 1, 1)",5,42,0.4,52.48,0.0
Short → Short → Short → Short → Short,"(3, 3, 3, 3, 3)",5,21,0.1,50.53,0.0
Complex → Complex → Complex → Complex,"(4, 4, 4, 4)",4,25,0.2,48.9,0.0
Short → Complex → Complex → Complex → Complex,"(3, 4, 4, 4, 4)",5,3,0.0,42.46,0.0
Frequency_Jump → Frequency_Jump → Frequency_Jump → Frequency_Jump,"(5, 5, 5, 5)",4,11,0.1,30.23,0.0
Down → Down → Down → Down,"(1, 1, 1, 1)",4,72,4.1,29.72,0.0
Short → Short → Short → Short,"(3, 3, 3, 3)",4,39,1.4,28.72,0.0
Complex → Complex → Complex,"(4, 4, 4)",3,47,3.2,23.12,0.0
Frequency_Jump → Frequency_Jump → Frequency_Jump → Frequency_Jump → Flat,"(5, 5, 5, 5, 0)",5,3,0.0,21.29,0.0
Flat → Flat → Flat → Flat → Flat,"(0, 0, 0, 0, 0)",5,96,11.8,20.47,0.0
Down → Down → Down,"(1, 1, 1)",3,142,29.6,20.33,0.0
Short → Up → Up → Up,"(3, 6, 6, 6)",4,2,0.0,20.0,0.0
Short → Short → Short → Short → Up,"(3, 3, 3, 3, 6)",5,3,0.0,19.06,0.0
Short → Short → Short,"(3, 3, 3)",3,81,12.8,18.7,0.0
Frequency_Jump → Frequency_Jump → Frequency_Jump,"(5, 5, 5)",3,27,2.1,17.67,0.0
Flat → Flat → Flat → Flat,"(0, 0, 0, 0)",4,182,44.3,17.44,0.0
Flat → Flat → Flat,"(0, 0, 0)",3,388,171.0,16.91,0.0
Complex → Complex → Short → Complex → Short,"(4, 4, 3, 4, 3)",5,2,0.0,16.33,0.0
Down → Frequency_Jump → Frequency_Jump → Frequency_Jump → Frequency_Jump,"(1, 5, 5, 5, 5)",5,2,0.0,16.33,0.0
Frequency_Jump → Frequency_Jump → Frequency_Jump → Flat → Flat,"(5, 5, 5, 0, 0)",5,6,0.1,16.23,0.0
Flat → Flat,"(0, 0)",2,930,660.7,14.8,0.0
Complex → Complex,"(4, 4)",2,130,44.7,14.39,0.0
Up → Short → Up → Up,"(6, 3, 6, 6)",4,2,0.0,14.14,0.0
Up → Up → Up → Short,"(6, 6, 6, 3)",4,2,0.0,14.14,0.0
Short → Short → Short → Up → Short,"(3, 3, 3, 6, 3)",5,2,0.0,14.14,0.0
Up → Frequency_Jump → Frequency_Jump → Frequency_Jump → Flat,"(6, 5, 5, 5, 0)",5,2,0.0,14.14,0.0
Short → Frequency_Jump → Frequency_Jump → Complex → Complex,"(3, 5, 5, 4, 4)",5,1,0.0,14.11,0.0
Up → Complex → Complex → Complex → Up,"(6, 4, 4, 4, 6)",5,1,0.0,14.11,0.0
Short → Up → Short → Short → Complex,"(3, 6, 3, 3, 4)",5,1,0.0,14.11,0.0
Chevron → Up → Frequency_Jump → Frequency_Jump → Frequency_Jump,"(2, 6, 5, 5, 5)",5,1,0.0,14.11,0.0
Complex → Up → Complex → Short → Short,"(4, 6, 4, 3, 3)",5,1,0.0,14.11,0.0
Complex → Down → Short → Up → Up,"(4, 1, 3, 6, 6)",5,1,0.0,14.11,0.0
Down → Complex → Complex → Up → Up,"(1, 4, 4, 6, 6)",5,1,0.0,14.11,0.0
Down → Down → Complex → Up → Up,"(1, 1, 4, 6, 6)",5,1,0.0,14.11,0.0
Down → Chevron → Frequency_Jump → Frequency_Jump → Up,"(1, 2, 5, 5, 6)",5,1,0.0,14.11,0.0
Down → Short → Up → Up → Chevron,"(1, 3, 6, 6, 2)",5,1,0.0,14.11,0.0
Complex → Complex → Short → Frequency_Jump → Up,"(4, 4, 3, 5, 6)",5,1,0.0,14.11,0.0
Chevron → Chevron → Chevron → Chevron → Chevron,"(2, 2, 2, 2, 2)",5,10,0.5,12.92,0.0
Up → Short → Short → Chevron → Short,"(6, 3, 3, 2, 3)",5,2,0.0,12.65,0.0
Short → Up → Up → Short → Short,"(3, 6, 6, 3, 3)",5,2,0.0,12.65,0.0
Flat → Flat → Short → Up → Up,"(0, 0, 3, 6, 6)",5,2,0.0,12.65,0.0
Down → Down,"(1, 1)",2,359,204.6,12.46,0.0
Frequency_Jump → Frequency_Jump → Flat → Flat → Flat,"(5, 5, 0, 0, 0)",5,10,0.6,12.34,0.0
Frequency_Jump → Frequency_Jump → Frequency_Jump → Flat,"(5, 5, 5, 0)",4,9,0.6,11.65,0.0
Down → Complex → Complex → Complex → Complex,"(1, 4, 4, 4, 4)",5,2,0.0,11.55,0.0
Short → Short,"(3, 3)",2,221,113.7,11.39,0.0
Short → Short → Up → Short → Short,"(3, 3, 6, 3, 3)",5,2,0.0,10.69,0.0
Frequency_Jump → Chevron → Flat → Frequency_Jump → Frequency_Jump,"(5, 2, 0, 5, 5)",5,2,0.0,10.69,0.0
Complex → Complex → Complex → Up,"(4, 4, 4, 6)",4,3,0.1,10.45,0.0
Chevron → Frequency_Jump → Chevron → Complex → Chevron,"(2, 5, 2, 4, 2)",5,3,0.1,10.38,0.0
Frequency_Jump → Frequency_Jump,"(5, 5)",2,98,35.4,10.05,0.0
Chevron → Down → Down → Complex → Up,"(2, 1, 1, 4, 6)",5,2,0.0,10.0,0.0
Short → Up → Up → Chevron → Short,"(3, 6, 6, 2, 3)",5,1,0.0,9.95,0.0
Frequency_Jump → Up → Short → Up → Flat,"(5, 6, 3, 6, 0)",5,1,0.0,9.95,0.0
Down → Complex → Up → Up → Chevron,"(1, 4, 6, 6, 2)",5,1,0.0,9.95,0.0
Complex → Down → Short → Short → Up,"(4, 1, 3, 3, 6)",5,1,0.0,9.95,0.0
Flat → Short → Up → Short → Up,"(0, 3, 6, 3, 6)",5,1,0.0,9.95,0.0
Up → Up → Up → Chevron → Flat,"(6, 6, 6, 2, 0)",5,1,0.0,9.95,0.0
Frequency_Jump → Complex → Chevron → Frequency_Jump → Up,"(5, 4, 2, 5, 6)",5,1,0.0,9.95,0.0
Complex → Frequency_Jump → Frequency_Jump → Frequency_Jump → Frequency_Jump,"(4, 5, 5, 5, 5)",5,1,0.0,9.95,0.0
Chevron → Frequency_Jump → Frequency_Jump → Frequency_Jump → Frequency_Jump,"(2, 5, 5, 5, 5)",5,1,0.0,9.95,0.0
Complex → Complex → Complex → Complex → Up,"(4, 4, 4, 4, 6)",5,1,0.0,9.95,0.0
Up → Up → Up → Flat → Chevron,"(6, 6, 6, 0, 2)",5,1,0.0,9.95,0.0
Short → Up → Flat → Up → Up,"(3, 6, 0, 6, 6)",5,1,0.0,9.95,0.0
Frequency_Jump → Frequency_Jump → Up → Complex → Complex,"(5, 5, 6, 4, 4)",5,1,0.0,9.95,0.0
Up → Up → Chevron → Short → Chevron,"(6, 6, 2, 3, 2)",5,1,0.0,9.95,0.0
