epoch,total,nt,recon,kl,lc,deriv,w_recon,w_beta,w_deriv
0,5.18617,2.91024,121402.92997,6.30296,2.27592,708307.84778,0.0000,0.0000,0.0000
1,4.77043,2.51992,121375.29007,5.88150,2.25051,710068.87645,0.0000,0.0000,0.0000
2,3.99071,2.36529,121964.30972,4.83383,1.62543,711383.24710,0.0000,0.0000,0.0000
3,3.39252,2.13391,121981.03842,4.15163,1.25861,710974.55396,0.0000,0.0000,0.0000
4,3.72127,2.08878,121834.34842,4.56898,1.63249,710304.29253,0.0000,0.0000,0.0000
5,2.98244,1.83001,121967.80682,3.52954,1.15242,711870.62919,0.0000,0.0000,0.0000
6,2.44541,1.65622,122083.18967,2.76878,0.78919,711426.60229,0.0000,0.0000,0.0000
7,2.21346,1.57507,122156.41318,2.37309,0.63839,712317.13756,0.0000,0.0000,0.0000
8,2.22480,1.54092,122110.67618,2.39050,0.68388,712281.77996,0.0000,0.0000,0.0000
9,2.13240,1.48316,122117.03516,2.20032,0.64924,711846.24613,0.0000,0.0000,0.0000
10,1.86763,1.40467,122249.38317,1.74937,0.46296,712836.71505,0.0000,0.0000,0.0000
11,2716.05826,3.52908,39233.51243,1477.80971,18.50810,518448.56685,0.0025,0.0025,0.0050
12,5211.50567,3.03197,6779.13818,2393.58025,5.24403,515736.62315,0.0050,0.0050,0.0100
13,7790.13145,2.78701,3219.52703,1853.40494,3.61760,516378.66656,0.0075,0.0075,0.0150
14,10355.79980,3.68291,2652.83319,725.06305,8.65767,515484.02320,0.0100,0.0100,0.0200
15,12958.34996,3.60988,2835.29091,842.56270,41.78667,514679.20087,0.0125,0.0125,0.0250
16,15360.24198,3.37332,5852.12749,709.18204,105.42156,505100.92606,0.0150,0.0150,0.0300
17,17320.09236,3.35353,9084.99483,516.70741,190.04637,484533.21778,0.0175,0.0175,0.0350
18,19111.85597,3.40372,9486.29116,439.40892,233.07083,466921.69716,0.0200,0.0200,0.0400
19,20939.14454,3.45639,9363.53805,423.52212,251.71873,454750.21706,0.0225,0.0225,0.0450
20,22782.58894,3.42909,9661.15265,406.21286,260.51453,445339.21609,0.0250,0.0250,0.0500
21,24473.82505,3.48006,9927.59903,394.43506,263.59889,434961.64224,0.0275,0.0275,0.0550
22,26182.91084,3.46346,10066.19605,380.21699,267.77218,426638.05880,0.0300,0.0300,0.0600
23,27868.68866,3.47552,10416.51490,367.49235,254.35305,419390.47600,0.0325,0.0325,0.0650
24,29327.65578,3.47434,10551.26427,361.12343,266.37084,409655.38587,0.0350,0.0350,0.0700
25,30858.14558,3.47781,10617.35006,352.20338,266.87696,402352.41720,0.0375,0.0375,0.0750
26,32419.62863,3.52003,10906.04168,346.04442,269.28362,396209.27867,0.0400,0.0400,0.0800
27,33729.98155,3.53310,11062.90303,345.49578,273.18853,387863.55912,0.0425,0.0425,0.0850
28,35224.03256,3.51089,10959.88460,343.34663,274.13811,382641.52014,0.0450,0.0450,0.0900
29,36476.97898,3.57071,11086.54760,342.40874,281.68702,375251.01393,0.0475,0.0475,0.0950
30,37869.17757,3.55050,11193.07785,339.25443,270.86422,370181.45417,0.0500,0.0500,0.1000
31,37147.92820,3.58656,10907.38700,340.88840,278.16122,363037.65923,0.0500,0.0500,0.1000
32,36423.62995,3.58978,10811.70417,337.48195,277.39349,355851.86670,0.0500,0.0500,0.1000
33,35790.53311,3.61055,10679.29452,331.97134,276.44514,349599.13571,0.0500,0.0500,0.1000
34,35018.46297,3.59953,10255.49344,325.80960,263.58469,342222.12943,0.0500,0.0500,0.1000
35,34354.55428,3.61319,9963.55591,313.92747,257.03269,335800.33602,0.0500,0.0500,0.1000
36,33912.45850,3.64465,9626.30905,318.37801,266.83948,331447.39505,0.0500,0.0500,0.1000
37,33181.85128,3.62289,9580.07825,313.07709,263.56852,324200.01385,0.0500,0.0500,0.1000
38,32702.82082,3.64430,9315.39108,307.55572,261.19236,319568.36340,0.0500,0.0500,0.1000
39,32212.07453,3.65735,9458.72067,307.12239,260.66759,314594.56991,0.0500,0.0500,0.1000
40,31782.70674,3.63760,9325.35391,306.34398,257.89124,310395.92413,0.0500,0.0500,0.1000
41,31390.32364,3.64973,9272.20450,298.68686,250.17001,306579.58843,0.0500,0.0500,0.1000
42,30795.16409,3.66037,9152.25618,291.99993,243.74511,300755.45264,0.0500,0.0500,0.1000
