label,Short,Flat,Up,Down,Chevron,Complex,Frequency_Jump
Cluster_1,5,5,0,1,18,9,3
Cluster_2,7,0,0,1,10,16,0
Cluster_3,18,9,0,15,50,34,21
Cluster_4,8,18,12,1,36,29,11
Cluster_5,3,142,0,17,35,7,110
Cluster_6,8,18,0,53,46,32,20
Cluster_7,3,58,0,85,46,34,49
Cluster_8,27,2,4,2,28,20,10
Cluster_9,9,7,0,18,42,27,3
Cluster_10,7,135,4,1,27,12,24
Cluster_11,8,14,0,46,52,51,19
Cluster_12,17,22,3,10,41,31,23
Cluster_13,0,76,0,0,34,2,7
Cluster_14,12,7,0,25,44,25,8
Cluster_15,252,300,92,322,201,41,7
Cluster_16,50,184,5,20,41,50,2
Cluster_17,9,121,0,26,45,26,63
Cluster_18,8,4,0,38,37,28,13
Cluster_19,6,7,0,29,37,23,9
Cluster_20,1,0,0,0,0,8,0
Cluster_21,17,20,10,1,34,12,31
Cluster_22,12,146,0,29,52,23,87
Cluster_23,152,101,32,189,52,27,9
Cluster_24,8,74,5,1,34,17,19
Cluster_25,1,498,0,279,32,10,13
Cluster_26,8,27,2,6,36,12,9
Cluster_27,457,525,99,170,202,81,9
