label,Short,Flat,Up,Down,Chevron,Complex,Frequency_Jump
Cluster_1,0,0,0,0,2,5,0
Cluster_2,4,0,0,0,0,1,1
Cluster_3,0,0,0,0,1,0,0
Cluster_4,0,0,0,0,1,0,0
Cluster_5,0,1,0,0,1,3,0
Cluster_6,86,26,22,4,5,5,0
Cluster_7,1,0,0,0,1,3,1
Cluster_8,33,39,0,5,19,27,0
Cluster_9,1,0,0,0,1,2,0
Cluster_10,8,0,0,0,1,0,0
Cluster_11,2,0,0,0,3,4,0
Cluster_12,2,0,0,0,1,4,0
Cluster_13,3,0,0,0,0,0,0
Cluster_14,3,1,3,0,4,3,2
Cluster_15,0,0,0,0,2,0,0
Cluster_16,0,0,0,0,1,0,0
Cluster_17,0,0,0,0,1,0,0
Cluster_18,1,0,0,0,0,1,0
Cluster_19,2,0,0,0,0,0,0
Cluster_20,0,21,6,3,11,6,1
Cluster_21,4,0,0,0,4,1,0
Cluster_22,37,32,25,12,15,2,0
Cluster_23,1,0,0,0,2,3,0
Cluster_24,0,0,0,0,1,0,0
Cluster_25,15,0,0,0,1,0,1
Cluster_26,0,0,0,1,2,2,0
Cluster_27,0,0,0,0,0,1,0
Cluster_28,3,0,0,2,3,2,0
Cluster_29,0,0,0,0,2,1,0
Cluster_30,2,0,0,0,0,5,0
Cluster_31,2,1,0,0,4,7,0
