cohort,stratum,archetype,mean,ci_lo,ci_hi
lab_131204,LAB,0,0.23858700797327853,0.23662852021744535,0.2406649558241431
lab_131204,LAB,1,0.2497187598525879,0.24782354339650145,0.2515835594762757
lab_131204,LAB,2,0.24236105011551715,0.24034921293913256,0.24425033075434716
lab_131204,LAB,3,0.17336516060331303,0.17163319662270443,0.17519960926246658
lab_131204,LAB,4,0.09596802145530316,0.09463966343108873,0.09733883856969862
5970,WILD(noise-floor),0,0.3047100903142697,0.29972587034149767,0.309863916255615
5970,WILD(noise-floor),1,0.16643109710916465,0.16217248013976476,0.1703627450110187
5970,WILD(noise-floor),2,0.2502349641899874,0.24561877384284445,0.2548366079066601
5970,WILD(noise-floor),3,0.1800828143035543,0.17526078444007828,0.1848160415343269
5970,WILD(noise-floor),4,0.09854103408302559,0.09544591117815235,0.10157749782956041
3452,WILD(noise-floor),0,0.2323555258971202,0.20812187935978185,0.25449478378751766
3452,WILD(noise-floor),1,0.3491141516476533,0.3210416789610888,0.37662825603922123
3452,WILD(noise-floor),2,0.2725219999551713,0.2546463906189233,0.29153107305289905
3452,WILD(noise-floor),3,0.10250332392745044,0.08626246323775219,0.1213951462016052
3452,WILD(noise-floor),4,0.043504998572604724,0.033438059198258,0.05386964594200213
9252,WILD(noise-floor),0,0.2497691692877219,0.23166859162114825,0.2676546949260098
9252,WILD(noise-floor),1,0.311346701086226,0.2943267606279118,0.3283811213773347
9252,WILD(noise-floor),2,0.281572203883407,0.26443926043802557,0.2987602217767365
9252,WILD(noise-floor),3,0.10057994236252513,0.08885055512697083,0.11194710742636949
9252,WILD(noise-floor),4,0.05673198338011964,0.04807871168671265,0.06670673855966337
